number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-1.0858367801047466,2025-11-21 12:53:51.082931,2025-11-21 13:49:52.758484,0 days 00:56:01.675553,0.0018189099411850382,0.00368903381877996,102,COMPLETE
1,-0.9767500948367333,2025-11-21 12:53:51.083350,2025-11-21 13:50:06.955744,0 days 00:56:15.872394,0.20107401883009038,0.003279689457450038,90,COMPLETE
2,-2.239034890729978,2025-11-21 12:53:51.083876,2025-11-21 13:49:46.810534,0 days 00:55:55.726658,0.16336350371159492,0.0005791737705506365,123,COMPLETE
3,-20.014175397776803,2025-11-21 12:53:51.084556,2025-11-21 13:49:03.693486,0 days 00:55:12.608930,0.0019812677031547238,0.07333010635399086,178,COMPLETE
4,-2.940871514181411,2025-11-21 12:53:51.085891,2025-11-21 13:50:12.002569,0 days 00:56:20.916678,0.4623421111818972,0.0001797615636556178,89,COMPLETE
5,-2.01653183363738,2025-11-21 12:53:51.086206,2025-11-21 13:50:34.630977,0 days 00:56:43.544771,0.5696229326515895,0.0004854573290735099,63,COMPLETE
6,-0.6670594951732624,2025-11-21 12:53:51.086840,2025-11-21 13:49:27.566866,0 days 00:55:36.480026,0.07489351764472105,0.009372609912173268,130,COMPLETE
7,-1.2498533664403852,2025-11-21 12:53:51.087378,2025-11-21 13:50:37.276311,0 days 00:56:46.188933,0.008773951279714058,0.03173089501941475,53,COMPLETE
8,-3.5636752432491763,2025-11-21 12:53:51.087715,2025-11-21 13:49:03.116471,0 days 00:55:12.028756,0.012104004959551813,0.00016383837164716015,154,COMPLETE
9,-2.047959117364828,2025-11-21 12:53:51.088395,2025-11-21 13:49:42.603248,0 days 00:55:51.514853,0.010795321026599164,0.0019081697412634629,129,COMPLETE
10,-1.9420563066646084,2025-11-21 12:53:51.088885,2025-11-21 13:50:27.085134,0 days 00:56:35.996249,0.15751333566708633,0.0012877974645168358,75,COMPLETE
