number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
0,-19.480668582169084,2025-12-06 07:08:09.180451,2025-12-06 07:41:58.665059,0 days 00:33:49.484608,0.06859520216927834,0.0036903569790908302,196,1,COMPLETE
1,-25.247405797295546,2025-12-06 07:08:09.180944,2025-12-06 07:43:24.360193,0 days 00:35:15.179249,0.011811559836258891,0.016614248659886244,116,1,COMPLETE
2,-25.171106363364675,2025-12-06 07:08:09.181611,2025-12-06 07:44:58.926672,0 days 00:36:49.745061,0.0018767281671604203,0.0003342741328938726,43,1,COMPLETE
3,-17.021134908094936,2025-12-06 07:08:09.182009,2025-12-06 07:43:50.218565,0 days 00:35:41.036556,0.0028270321226452275,0.023892134587099503,72,1,COMPLETE
4,-8.966332171507906,2025-12-06 07:08:09.183064,2025-12-06 07:42:58.364863,0 days 00:34:49.181799,0.0012969121162346173,0.0022898301799179443,133,1,COMPLETE
5,-6.3297991658921235,2025-12-06 07:08:09.183320,2025-12-06 07:42:58.512860,0 days 00:34:49.329540,0.004017439191166364,0.007693443425514893,158,1,COMPLETE
6,-30.72076536343724,2025-12-06 07:08:09.184035,2025-12-06 07:44:20.232599,0 days 00:36:11.048564,0.1873048665574122,0.009676483084467384,46,1,COMPLETE
7,-7.967887400105082,2025-12-06 07:08:09.184666,2025-12-06 07:44:06.792603,0 days 00:35:57.607937,0.06299032790690746,0.0014390106181041552,75,1,COMPLETE
8,-13.717245547553318,2025-12-06 07:08:09.185246,2025-12-06 07:42:13.182044,0 days 00:34:03.996798,0.04667077585424372,0.08025269131330334,177,1,COMPLETE
9,-10.052742676514947,2025-12-06 07:08:09.186232,2025-12-06 07:42:45.442531,0 days 00:34:36.256299,0.004743782966051372,0.04518668989144255,152,1,COMPLETE
10,-25.775465536415503,2025-12-06 07:08:09.187029,2025-12-06 07:43:00.978164,0 days 00:34:51.791135,0.011460810841237798,0.0005410268238926737,140,1,COMPLETE
11,-9.729806379181897,2025-12-06 07:08:09.187413,2025-12-06 07:42:02.461260,0 days 00:33:53.273847,0.026944251941468045,0.005217467605394287,182,1,COMPLETE
12,-13.123992889149038,2025-12-06 07:08:09.187852,2025-12-06 07:42:29.844029,0 days 00:34:20.656177,0.1415988464753803,0.0002588650935618228,172,1,COMPLETE
13,-22.047152713594116,2025-12-06 07:08:09.188205,2025-12-06 07:42:40.348174,0 days 00:34:31.159969,0.0013891842657004331,0.0005366100321627512,150,1,COMPLETE
14,-1.9867890996345086,2025-12-06 07:08:09.189097,2025-12-06 07:44:04.493269,0 days 00:35:55.304172,0.734231561772695,0.0076550817267434,70,1,COMPLETE
15,-6.657670801432291,2025-12-06 07:08:09.190098,2025-12-06 07:44:49.980263,0 days 00:36:40.790165,0.015359208500711747,0.0010681958820753744,40,1,COMPLETE
16,-16.69306833899134,2025-12-06 07:08:09.190839,2025-12-06 07:42:59.684490,0 days 00:34:50.493651,0.004859090820972537,0.04613094679889343,139,1,COMPLETE
17,-10.134954615316413,2025-12-06 07:08:09.191329,2025-12-06 07:43:33.920459,0 days 00:35:24.729130,0.15292729024697546,0.00041378897108705636,117,1,COMPLETE
18,-10.240309868427234,2025-12-06 07:08:09.191678,2025-12-06 07:43:02.291258,0 days 00:34:53.099580,0.21320858944096463,0.00534407438747792,142,1,COMPLETE
19,-16.99816173357788,2025-12-06 07:08:09.192301,2025-12-06 07:44:21.815529,0 days 00:36:12.623228,0.0032691427835052577,0.0011981216801091692,55,1,COMPLETE
20,-23.324217226428008,2025-12-06 07:08:09.192611,2025-12-06 07:44:08.319213,0 days 00:35:59.126602,0.23001567794806577,0.00012278370660355521,86,1,COMPLETE
21,-11.464603596305068,2025-12-06 07:08:09.192981,2025-12-06 07:43:38.395340,0 days 00:35:29.202359,0.10402923270591719,0.016253897278487042,108,1,COMPLETE
22,-17.337333634388724,2025-12-06 07:08:09.193454,2025-12-06 07:42:39.620404,0 days 00:34:30.426950,0.21056458540968853,0.04403543618741324,163,1,COMPLETE
23,-26.8606128305947,2025-12-06 07:08:09.193942,2025-12-06 07:43:22.875782,0 days 00:35:13.681840,0.005638903502016803,0.00022764188406986712,92,1,COMPLETE
24,-32.3332995651945,2025-12-06 07:08:09.194405,2025-12-06 07:43:03.958586,0 days 00:34:54.764181,0.18237679027474704,0.09651592454030941,132,1,COMPLETE
25,-6.298909288306193,2025-12-06 07:41:58.666669,2025-12-06 08:02:07.905674,0 days 00:20:09.239005,0.5879658191047442,0.0010075174174561828,30,1,COMPLETE
26,-4.097915458486627,2025-12-06 07:42:02.462666,2025-12-06 08:02:24.144671,0 days 00:20:21.682005,0.8488497378498195,0.009170371862278592,7,1,COMPLETE
27,-4.801218435119905,2025-12-06 07:42:13.183888,2025-12-06 08:02:30.469396,0 days 00:20:17.285508,0.6588083657722756,0.007678301147530837,1,1,COMPLETE
28,-23.79055619124249,2025-12-06 07:42:29.846072,2025-12-06 08:02:08.747428,0 days 00:19:38.901356,0.017040495185817763,0.007765788462550269,22,1,COMPLETE
