number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
0,-6.825443122960677,2025-11-22 07:14:37.115662,2025-11-22 10:28:51.210944,0 days 03:14:14.095282,0.7956508041206631,0.0004855762060804483,191,1,COMPLETE
1,-0.39024652209867655,2025-11-22 07:14:37.116116,2025-11-22 10:29:29.106277,0 days 03:14:51.990161,0.22815099042774592,0.002889770585035494,163,1,COMPLETE
2,-7.578338613026767,2025-11-22 07:14:37.116757,2025-11-22 10:30:56.913140,0 days 03:16:19.796383,0.6368964119643248,0.00020840353010071906,70,1,COMPLETE
3,-8.891104868538312,2025-11-22 07:14:37.117232,2025-11-22 10:31:31.429334,0 days 03:16:54.312102,0.0063603217437032495,0.0014980816055672889,12,1,COMPLETE
4,-7.394724097025554,2025-11-22 07:14:37.117638,2025-11-22 10:31:07.848893,0 days 03:16:30.731255,0.3041573806386783,0.06895099937679879,54,1,COMPLETE
5,-6.5607606169209465,2025-11-22 07:14:37.119214,2025-11-22 10:31:20.557337,0 days 03:16:43.438123,0.05565407792897064,0.0007271605815367179,36,1,COMPLETE
6,-5.2234093671942645,2025-11-22 07:14:37.119668,2025-11-22 10:29:16.905310,0 days 03:14:39.785642,0.02230427759360459,0.004968470711034369,162,1,COMPLETE
7,-1.3668108131726495,2025-11-22 07:14:37.120392,2025-11-22 10:30:29.005255,0 days 03:15:51.884863,0.2393689242214679,0.0007875213735634559,118,1,COMPLETE
8,-3.8040388456559096,2025-11-22 07:14:37.120789,2025-11-22 10:30:50.135443,0 days 03:16:13.014654,0.5272733703919823,0.036075692972903306,78,1,COMPLETE
9,-4.529705953571158,2025-11-22 07:14:37.121136,2025-11-22 10:29:27.066158,0 days 03:14:49.945022,0.005447561753173786,0.03383635210482725,156,1,COMPLETE
10,-2.680632743805796,2025-11-22 07:14:37.121754,2025-11-22 10:29:57.975373,0 days 03:15:20.853619,0.006642789179597939,0.01719812514413036,110,1,COMPLETE
