number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-0.3192566585807824,2025-11-21 12:53:51.082513,2025-11-21 13:49:20.760435,0 days 00:55:29.677922,0.36112918686842865,0.007098324999898109,184,COMPLETE
1,-5.613732760827603,2025-11-21 12:53:51.083313,2025-11-21 13:50:34.125380,0 days 00:56:43.042067,0.00476723014422841,0.0005201131726439161,98,COMPLETE
2,-0.23562368409619658,2025-11-21 12:53:51.083650,2025-11-21 13:51:54.947901,0 days 00:58:03.864251,0.1831179864048825,0.01916743088167415,8,COMPLETE
3,-32.37435566644226,2025-11-21 12:53:51.084310,2025-11-21 13:50:52.040731,0 days 00:57:00.956421,0.0024187900019496124,0.07410806958114383,78,COMPLETE
4,0.07354239539687774,2025-11-21 12:53:51.084992,2025-11-21 13:50:08.612451,0 days 00:56:17.527459,0.008511556009885107,0.014871093618428807,145,COMPLETE
5,-0.4676169006231007,2025-11-21 12:53:51.085402,2025-11-21 13:49:31.540223,0 days 00:55:40.454821,0.10841311336552349,0.0015138752282647765,170,COMPLETE
6,-36.399565598654746,2025-11-21 12:53:51.086041,2025-11-21 13:51:40.058024,0 days 00:57:48.971983,0.005729132786373859,0.0852277337088755,27,COMPLETE
7,-0.8545506878010888,2025-11-21 12:53:51.086710,2025-11-21 13:50:08.858032,0 days 00:56:17.771322,0.040446422989452946,0.029961043431783553,145,COMPLETE
8,-0.22236243071765385,2025-11-21 12:53:51.087292,2025-11-21 13:51:57.366615,0 days 00:58:06.279323,0.05214706488806697,0.023075815294589082,19,COMPLETE
9,-2.520442149837307,2025-11-21 12:53:51.088482,2025-11-21 13:51:33.070303,0 days 00:57:41.981821,0.002778417279081668,0.00061418434364194,41,COMPLETE
10,-4.8227446534319,2025-11-21 12:53:51.089003,2025-11-21 13:50:11.497503,0 days 00:56:20.408500,0.001076120512634703,0.00021846323354480745,134,COMPLETE
11,-0.16528126869163895,2025-11-21 12:53:51.089852,2025-11-21 13:50:59.490911,0 days 00:57:08.401059,0.5130554558390391,0.0026029846256445228,83,COMPLETE
12,-3.957539433635192,2025-11-21 12:53:51.090461,2025-11-21 13:50:20.359542,0 days 00:56:29.269081,0.0011366012237424294,0.00015203880822526556,102,COMPLETE
13,-1.7561216989802033,2025-11-21 12:53:51.090867,2025-11-21 13:49:39.759740,0 days 00:55:48.668873,0.18099321971330531,0.0015478003963325438,162,COMPLETE
14,-1.3958632240416562,2025-11-21 12:53:51.091274,2025-11-21 13:49:11.936026,0 days 00:55:20.844752,0.0031440234745045235,0.01707575745207539,197,COMPLETE
15,-1.791065162372739,2025-11-21 12:53:51.092230,2025-11-21 13:51:50.974610,0 days 00:57:59.882380,0.005797754670420767,0.001002252898918375,11,COMPLETE
16,-0.9706364740213095,2025-11-21 12:53:51.092722,2025-11-21 13:49:41.090862,0 days 00:55:49.998140,0.003689208859149888,0.03050030351037026,160,COMPLETE
17,-1.7168686247069391,2025-11-21 12:53:51.093414,2025-11-21 13:49:44.129276,0 days 00:55:53.035862,0.3329374815916162,0.0007947657131147415,168,COMPLETE
18,0.21108813018097078,2025-11-21 12:53:51.093817,2025-11-21 13:51:01.368031,0 days 00:57:10.274214,0.7129840566409549,0.04201391697047206,83,COMPLETE
19,-3.2036132129407062,2025-11-21 12:53:51.094257,2025-11-21 13:51:48.590988,0 days 00:57:57.496731,0.0010362962980856258,0.00011040348898816062,45,COMPLETE
20,-3.5657822553226093,2025-11-21 12:53:51.094657,2025-11-21 13:51:06.731395,0 days 00:57:15.636738,0.4391272542272864,0.0002881877252359908,86,COMPLETE
21,-1.326541055210334,2025-11-21 12:53:51.095067,2025-11-21 13:50:49.252892,0 days 00:56:58.157825,0.17524314222060203,0.002636127741871953,93,COMPLETE
22,-2.9872899220209765,2025-11-21 12:53:51.095474,2025-11-21 13:51:02.394533,0 days 00:57:11.299059,0.004282746494363994,0.00023982313667353817,76,COMPLETE
23,-0.8572147538071914,2025-11-21 12:53:51.095874,2025-11-21 13:51:54.625936,0 days 00:58:03.530062,0.009534641622670212,0.008439567297921783,39,COMPLETE
24,0.03977312413917725,2025-11-21 12:53:51.096212,2025-11-21 13:50:59.326195,0 days 00:57:08.229983,0.04498623688029581,0.05273153035310792,86,COMPLETE
25,-24.15628551193051,2025-11-21 13:49:11.942469,2025-11-21 14:31:34.865274,0 days 00:42:22.922805,0.01547067601367808,0.059962033841019745,117,COMPLETE
26,-1.589259359817283,2025-11-21 13:49:20.762452,2025-11-21 14:31:32.785850,0 days 00:42:12.023398,0.016963469983852196,0.057926299571845474,118,COMPLETE
27,-1.0645830737451794,2025-11-21 13:49:31.541877,2025-11-21 14:35:39.673725,0 days 00:46:08.131848,0.016508579085430648,0.05046125624641147,117,COMPLETE
28,-0.3082104082732186,2025-11-21 13:49:39.763347,2025-11-21 14:42:58.389567,0 days 00:53:18.626220,0.6960928796254837,0.007691084642462809,60,COMPLETE
29,-1.721212209672998,2025-11-21 13:49:41.092664,2025-11-21 14:42:59.431149,0 days 00:53:18.338485,0.8689648622367435,0.010275299073848224,59,COMPLETE
30,-2.5424030488418192,2025-11-21 13:49:44.130511,2025-11-21 14:42:42.607044,0 days 00:52:58.476533,0.06369782059121847,0.009819415394472486,64,COMPLETE
31,-0.6503022088664389,2025-11-21 13:50:08.614425,2025-11-21 14:45:24.151506,0 days 00:55:15.537081,0.08340436208468198,0.009963680556108767,63,COMPLETE
32,-0.9290768077158174,2025-11-21 13:50:08.859316,2025-11-21 14:45:24.415252,0 days 00:55:15.555936,0.8020277765102279,0.008792264288682277,67,COMPLETE
33,-0.8387618361915103,2025-11-21 13:50:11.499997,2025-11-21 14:45:30.834123,0 days 00:55:19.334126,0.8938911551680336,0.009580175322210262,62,COMPLETE
34,-1.6944549428349296,2025-11-21 13:50:20.361337,2025-11-21 14:45:28.167546,0 days 00:55:07.806209,0.09075137018987148,0.009800538942916564,68,COMPLETE
35,-0.4758773835058455,2025-11-21 13:50:34.127257,2025-11-21 14:45:23.957876,0 days 00:54:49.830619,0.07577359476860353,0.007696720317270076,66,COMPLETE
36,-0.3497423027578753,2025-11-21 13:50:49.255337,2025-11-21 14:45:30.657009,0 days 00:54:41.401672,0.8635475221961207,0.008493268796166246,58,COMPLETE
37,-0.9802804788904768,2025-11-21 13:50:52.042000,2025-11-21 14:45:34.423697,0 days 00:54:42.381697,0.0668721860313463,0.00918804997869489,67,COMPLETE
38,-1.418868148519009,2025-11-21 13:50:59.328068,2025-11-21 14:47:53.068006,0 days 00:56:53.739938,0.7980399321687658,0.01155343243141224,65,COMPLETE
39,-1.7454442269294104,2025-11-21 13:50:59.491871,2025-11-21 14:47:37.972180,0 days 00:56:38.480309,0.8152388268491882,0.01066368739911822,70,COMPLETE
40,-0.321143064169179,2025-11-21 13:51:01.372450,2025-11-21 14:47:51.287550,0 days 00:56:49.915100,0.8045105218197931,0.005829122872693252,62,COMPLETE
41,-0.5300002392208752,2025-11-21 13:51:02.395788,2025-11-21 14:48:01.302470,0 days 00:56:58.906682,0.7857637121055869,0.011224634218806302,59,COMPLETE
42,-1.0458190347854543,2025-11-21 13:51:06.733225,2025-11-21 14:47:46.777224,0 days 00:56:40.043999,0.8667048251098196,0.00965472554381939,62,COMPLETE
43,-1.411190622023846,2025-11-21 13:51:33.071825,2025-11-21 14:48:22.323533,0 days 00:56:49.251708,0.7270474613434608,0.009790178857948991,57,COMPLETE
44,-0.48744616907477517,2025-11-21 13:51:40.059880,2025-11-21 14:48:15.493840,0 days 00:56:35.433960,0.09087281239460956,0.010460812064169038,64,COMPLETE
45,-0.8686377141903889,2025-11-21 13:51:48.592618,2025-11-21 14:48:15.684798,0 days 00:56:27.092180,0.06920674709998256,0.008009279581741215,62,COMPLETE
46,-0.8167608697686676,2025-11-21 13:51:50.977250,2025-11-21 14:48:08.264945,0 days 00:56:17.287695,0.8747538312609773,0.010015985179419457,61,COMPLETE
47,-0.5778295219050504,2025-11-21 13:51:54.627041,2025-11-21 14:48:23.731480,0 days 00:56:29.104439,0.06340256811365692,0.010094743086023398,59,COMPLETE
48,0.07784729855096251,2025-11-21 13:51:54.948947,2025-11-21 14:48:23.644041,0 days 00:56:28.695094,0.793536318492248,0.009769705012600976,59,COMPLETE
49,-0.40461796446863457,2025-11-21 13:51:57.368712,2025-11-21 14:48:18.799523,0 days 00:56:21.430811,0.06550194296570405,0.009529958288947222,63,COMPLETE
50,-1.7541643061179066,2025-11-21 14:31:32.787641,2025-11-21 14:58:35.876509,0 days 00:27:03.088868,0.4415614321363685,0.03395723358150601,86,COMPLETE
51,-0.7696026199117861,2025-11-21 14:31:34.866654,2025-11-21 14:58:16.135038,0 days 00:26:41.268384,0.44547371226698834,0.004303266537972386,105,COMPLETE
52,-2.109362181497521,2025-11-21 14:35:39.675483,2025-11-21 14:58:21.770451,0 days 00:22:42.094968,0.36897829103058954,0.004192816707095068,104,COMPLETE
