number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
0,-0.6913343265034025,2025-12-06 07:08:09.179999,2025-12-06 07:46:04.479066,0 days 00:37:55.299067,0.18284921840195104,3.472001843211322e-06,1,11,COMPLETE
1,-0.5533620356822148,2025-12-06 07:08:09.180654,2025-12-06 07:47:34.417031,0 days 00:39:25.236377,0.016092033456120106,7.955504621354306e-06,1,21,COMPLETE
2,-3.1867542873182053,2025-12-06 07:08:09.181051,2025-12-06 07:47:02.544748,0 days 00:38:53.363697,0.018905543292540107,0.0001822631923592925,1,21,COMPLETE
3,-2.0656222793284256,2025-12-06 07:08:09.182260,2025-12-06 07:47:10.319822,0 days 00:39:01.137562,0.025076844257026394,3.103946828096066e-05,1,21,COMPLETE
4,-1.8381106795626752,2025-12-06 07:08:09.182874,2025-12-06 07:47:42.034356,0 days 00:39:32.851482,0.020304002984357007,6.148375626251417e-05,1,21,COMPLETE
5,-0.765988996642834,2025-12-06 07:08:09.183459,2025-12-06 07:45:36.435828,0 days 00:37:27.252369,0.12683831367366763,4.6613358171954114e-05,1,11,COMPLETE
6,-0.1133671341588675,2025-12-06 07:08:09.184135,2025-12-06 07:47:55.682484,0 days 00:39:46.498349,0.0013218548233801472,1.5961977987274536e-06,1,21,COMPLETE
7,-0.6328475456840049,2025-12-06 07:08:09.185425,2025-12-06 07:45:22.922025,0 days 00:37:13.736600,0.16060121468558097,4.105048734900755e-06,1,1,COMPLETE
8,-0.9501693742532609,2025-12-06 07:08:09.186005,2025-12-06 07:45:04.404396,0 days 00:36:55.218391,0.4102563507127568,6.032106893821662e-06,1,1,COMPLETE
9,-1.0134857477857742,2025-12-06 07:08:09.186774,2025-12-06 07:45:53.391608,0 days 00:37:44.204834,0.0017117569865869248,3.641847807929182e-06,1,11,COMPLETE
10,-0.19321980694751328,2025-12-06 07:08:09.187217,2025-12-06 07:46:48.796035,0 days 00:38:39.608818,0.0285746392778977,4.61277048727909e-06,1,21,COMPLETE
11,-1.066247283313754,2025-12-06 07:08:09.188228,2025-12-06 07:46:12.053111,0 days 00:38:02.864883,0.0021765551901300885,0.0001301998093925144,1,11,COMPLETE
