number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
0,1.0248430208562165,2025-11-22 07:14:37.116245,2025-11-22 09:17:00.753300,0 days 02:02:23.637055,0.5436519027318135,2.7707618125461058e-05,1,21,COMPLETE
1,-1.0423979702801671,2025-11-22 07:14:37.116832,2025-11-22 09:15:06.723269,0 days 02:00:29.606437,0.0012670506392867974,0.0007630121305560479,1,1,COMPLETE
2,0.5633340777164336,2025-11-22 07:14:37.117317,2025-11-22 09:15:33.203364,0 days 02:00:56.086047,0.02103867372636267,4.841432379643753e-05,1,11,COMPLETE
3,-5.836415942124495,2025-11-22 07:14:37.118117,2025-11-22 09:16:37.961083,0 days 02:02:00.842966,0.5672025608748855,0.000930487057823155,1,21,COMPLETE
4,0.7599022489504826,2025-11-22 07:14:37.118612,2025-11-22 09:15:21.251315,0 days 02:00:44.132703,0.03448899069126661,5.20643593966588e-06,1,11,COMPLETE
5,-2.0824114465376216,2025-11-22 07:14:37.119372,2025-11-22 09:16:19.575227,0 days 02:01:42.455855,0.012947400682894872,0.0007691563436454837,1,21,COMPLETE
6,-0.3460033466814178,2025-11-22 07:14:37.120164,2025-11-22 09:14:54.292266,0 days 02:00:17.172102,0.02818687494296802,1.3126023515359973e-06,1,1,COMPLETE
7,-0.7246451001773361,2025-11-22 07:14:37.120838,2025-11-22 09:15:17.817558,0 days 02:00:40.696720,0.022732550811723044,2.006204800462035e-06,1,1,COMPLETE
8,-0.3884881384854882,2025-11-22 07:14:37.121424,2025-11-22 09:15:59.918171,0 days 02:01:22.796747,0.05310868256688845,1.5892429644603497e-05,1,21,COMPLETE
9,0.8701175894311527,2025-11-22 07:14:37.121964,2025-11-22 09:17:05.246217,0 days 02:02:28.124253,0.026293496331859092,0.0002153791470478019,1,21,COMPLETE
10,0.34385218672791956,2025-11-22 07:14:37.122481,2025-11-22 09:16:59.370841,0 days 02:02:22.248360,0.0027629839970927904,1.8538396388329645e-05,1,21,COMPLETE
11,-0.5787883882212458,2025-11-22 07:14:37.123342,2025-11-22 09:15:19.812983,0 days 02:00:42.689641,0.03139052605383085,9.417740773392607e-05,1,11,COMPLETE
12,-0.5956303432931254,2025-11-22 07:14:37.123961,2025-11-22 09:15:04.381683,0 days 02:00:27.257722,0.3619306156283634,0.00031029972682136697,1,1,COMPLETE
13,-0.09770143303048251,2025-11-22 07:14:37.125082,2025-11-22 09:15:36.235635,0 days 02:00:59.110553,0.0011938266110320824,1.201661986159189e-05,1,1,COMPLETE
14,0.9370653898549051,2025-11-22 07:14:37.126065,2025-11-22 09:16:31.835321,0 days 02:01:54.709256,0.1405212728250212,0.00011528931598446143,1,21,COMPLETE
15,-0.4872704135143616,2025-11-22 07:14:37.126482,2025-11-22 09:16:02.890737,0 days 02:01:25.764255,0.004151231922626099,0.00012308817091542137,1,11,COMPLETE
16,0.15796817231817248,2025-11-22 07:14:37.126880,2025-11-22 09:15:19.675320,0 days 02:00:42.548440,0.0014873868059199439,6.674052861148331e-05,1,1,COMPLETE
17,-0.6758601653724352,2025-11-22 07:14:37.127271,2025-11-22 09:15:02.839360,0 days 02:00:25.712089,0.6678930962918042,1.0518130040055832e-06,1,1,COMPLETE
18,-0.04582291647101779,2025-11-22 07:14:37.127659,2025-11-22 09:15:26.176012,0 days 02:00:49.048353,0.0010276449964639741,0.0005771109817854007,1,1,COMPLETE
19,0.9232883611118937,2025-11-22 07:14:37.128086,2025-11-22 09:15:47.749018,0 days 02:01:10.620932,0.10203130729252975,1.1531557050565235e-05,1,11,COMPLETE
20,0.8965414793955598,2025-11-22 07:14:37.128481,2025-11-22 09:15:07.740223,0 days 02:00:30.611742,0.0037816936713240446,4.398672571269147e-05,1,1,COMPLETE
