number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
0,0.2691280105207502,2025-11-21 12:53:51.082793,2025-11-21 13:51:49.656671,0 days 00:57:58.573878,0.04655742198960367,1.8220611429195826e-05,1,COMPLETE
1,-0.7258953186583557,2025-11-21 12:53:51.083517,2025-11-21 13:51:52.288427,0 days 00:58:01.204910,0.004178666821029322,0.000654075711470023,11,COMPLETE
2,-0.00458099063146355,2025-11-21 12:53:51.083912,2025-11-21 13:51:59.796741,0 days 00:58:08.712829,0.004304480342266581,2.6558924744654748e-05,1,COMPLETE
3,-0.01803199449181019,2025-11-21 12:53:51.084495,2025-11-21 13:52:06.132001,0 days 00:58:15.047506,0.06344018851783799,2.1760995433310387e-05,11,COMPLETE
4,-0.8156125743814939,2025-11-21 12:53:51.085061,2025-11-21 13:53:03.905090,0 days 00:59:12.820029,0.00416711313780202,0.00042003353033838047,21,COMPLETE
5,-0.22282250865695905,2025-11-21 12:53:51.085664,2025-11-21 13:51:48.129929,0 days 00:57:57.044265,0.504692522809045,0.0009306656605402774,11,COMPLETE
6,-0.0385570786608125,2025-11-21 12:53:51.086601,2025-11-21 13:53:04.890414,0 days 00:59:13.803813,0.04001255033002348,9.518617005821711e-05,21,COMPLETE
7,0.0887583611114602,2025-11-21 12:53:51.087087,2025-11-21 13:51:35.337466,0 days 00:57:44.250379,0.28372700040036136,2.8908681354240483e-05,11,COMPLETE
8,-0.1076544845205169,2025-11-21 12:53:51.088292,2025-11-21 13:52:12.703414,0 days 00:58:21.615122,0.006112688388176343,1.4601562345399635e-05,1,COMPLETE
9,0.07672033499388778,2025-11-21 12:53:51.088663,2025-11-21 13:51:48.994059,0 days 00:57:57.905396,0.03178308764130255,4.882255181851185e-06,11,COMPLETE
10,-0.10819511318244972,2025-11-21 12:53:51.089210,2025-11-21 13:53:26.479630,0 days 00:59:35.390420,0.0698446505836058,4.846427969345568e-06,21,COMPLETE
11,-1.1654851750779325,2025-11-21 12:53:51.089900,2025-11-21 13:51:59.384670,0 days 00:58:08.294770,0.0019428815932630763,0.00024010924885586334,11,COMPLETE
12,-0.5006599352847434,2025-11-21 12:53:51.090272,2025-11-21 13:52:29.881902,0 days 00:58:38.791630,0.005366455354837547,2.059236255574457e-06,11,COMPLETE
13,-0.7453615054557012,2025-11-21 12:53:51.091086,2025-11-21 13:53:19.299041,0 days 00:59:28.207955,0.34398734335170034,0.0004295939204130483,21,COMPLETE
14,-0.15998037285390543,2025-11-21 12:53:51.092685,2025-11-21 13:51:52.690265,0 days 00:58:01.597580,0.06236233225632772,4.002576390789735e-06,11,COMPLETE
15,-0.22188496366204122,2025-11-21 12:53:51.093095,2025-11-21 13:51:55.250256,0 days 00:58:04.157161,0.004853890503388697,0.0009466192209133009,11,COMPLETE
16,-0.5446948285179081,2025-11-21 12:53:51.093462,2025-11-21 13:51:54.527602,0 days 00:58:03.434140,0.04590291076597032,1.8317322551420402e-06,11,COMPLETE
17,0.35106762884661546,2025-11-21 12:53:51.093876,2025-11-21 13:53:19.873742,0 days 00:59:28.779866,0.005329085870118534,9.992922021792146e-06,21,COMPLETE
