,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.    0.   12.5  12.5  12.5  12.5  16.25 16.25 16.25 17.5
 17.5  17.5  17.5  18.75 25.   20.   20.   25.   25.   25.   25.   25.
 32.5  31.25 31.25 32.5  32.5  32.5  32.5  33.75]","[1807.20939789 2000.50375406 1735.20273863 1744.26951952 1599.16208857
 1447.74279095 1743.11933877 1843.81347494 1590.14171119 1304.21297525
 1588.94696381 1614.46426481 1627.53925121 1820.43629432 1398.83085729
 1455.82842275 1574.31333415 1264.85130785 1870.73315203 1410.47937907
 1633.61555526 1278.93462076 1325.6279889  1487.53993643  886.68764017
 1338.21134599 1113.67240669  819.6029459  2099.84116325 1793.19545455
 1924.26448905 2135.30786139]","[1814.86348604 2006.91003536 1740.22242326 1749.6641565  1605.27635438
 1452.67577988 1748.46475067 1851.4840091  1596.32250888 1309.46128506
 1595.17271905 1620.43322595 1633.2675499  1828.17594107 1402.05976848
 1461.11184921 1580.65495945 1270.2395589  1878.52107061 1414.2481658
 1639.48466657 1284.41071646 1330.7822157  1493.97488699  889.48317628
 1343.05652477 1117.23625899  823.07154359 2106.85328208 1800.53855482
 1931.6303887  2143.58533619]"
1,10,90.0,0.05,"[ 0.    0.    0.    0.   11.25 11.25 11.25 13.75 16.25 16.25 16.25 16.25
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 30.   30.   31.25 31.25 32.5  32.5  33.75 33.75]","[1764.86795948 1960.11146118 1693.24772004 1720.87185157 1588.01868707
 1453.81078086 1717.37010219 1766.91953794 1551.73783661 1277.71156373
 1545.3702067  1576.8261167  1572.96812633 1762.45314434 1365.11647991
 1401.74041108 1512.77515162 1252.44378608 1810.23869768 1494.10068807
 1578.26870316 1256.07925288 1322.6098282  1463.39426972  951.96184536
 1375.24847622 1161.93297379  860.23536071 2099.84116325 1793.19545455
 1870.40513633 2135.30786139]","[1771.08036476 1967.00152831 1697.32288737 1725.11608018 1594.25319566
 1458.96907063 1721.49332416 1773.19769776 1558.12803182 1283.00331216
 1551.72723158 1583.27133749 1579.43042106 1768.69154566 1369.52824771
 1404.91400842 1519.01838373 1257.80962573 1817.96906539 1500.7046833
 1584.7829126  1261.5336739  1327.76613308 1468.99957926  955.70599896
 1379.64991211 1165.34491292  863.36009896 2106.85328208 1800.53855482
 1878.20303302 2143.58533619]"
2,10,90.0,0.075,"[ 0.    0.    0.    0.   11.25 11.25 11.25 12.5  16.25 16.25 16.25 15.
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 28.75 28.75 30.   30.   30.   30.   31.25 32.5 ]","[1752.34123879 1941.92085187 1684.56086439 1692.90296737 1575.65445388
 1441.42645653 1701.82687496 1756.38649527 1536.04857297 1263.70917142
 1528.02073662 1587.04400481 1544.12948696 1735.87912354 1363.83420193
 1381.65962722 1457.65235514 1222.34274557 1761.73528704 1464.95068831
 1523.05198875 1232.30087917 1282.34613846 1435.79847919  981.80728344
 1395.67314995 1189.4254548   916.22324905 2196.11064984 1903.33570421
 1976.30941493 2183.10346767]","[1758.1558349  1948.95951376 1689.13278096 1696.96705646 1582.07143912
 1446.15916988 1705.48542902 1762.24881    1542.44790937 1268.95798844
 1534.40591037 1593.39091228 1550.56477701 1741.15659574 1368.34974649
 1385.84232694 1463.38671808 1227.66238504 1767.94364194 1470.64935842
 1529.53992694 1237.72704811 1287.78376216 1440.34789421  986.10660813
 1399.21490327 1193.96384472  918.39358584 2205.37905514 1910.94175544
 1983.07811452 2192.35378208]"
3,10,92.0,0.025,"[ 0.    0.    0.    0.   11.25 10.   10.   10.   15.   12.5  12.5  11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   25.   20.   25.
 31.25 30.   32.5  25.   28.75 28.75 28.75 27.5 ]","[1857.71105938 2031.25592686 1835.52249951 1806.23647781 1609.53909146
 1588.54076779 1850.38741349 1937.57637868 1557.09891072 1529.3880453
 1692.29916149 1869.14300629 1609.6145338  2050.25913024 1609.2425783
 1688.77885243 1818.0790689  1592.60840101 2106.33882575 1832.63538839
 1864.02239345 1491.12201575 1716.1372632  1675.12524736 1041.69457751
 1562.05690918 1284.68339268 1111.54580498 2242.08678571 1956.16389328
 2078.04113294 2357.51639675]","[1865.61250232 2036.44172481 1843.27453514 1813.88036048 1615.62464493
 1594.82369253 1857.83187541 1944.76292623 1563.74614708 1535.79671521
 1696.59507104 1876.94057027 1615.52082487 2055.12031285 1615.22438125
 1693.17890345 1825.73354564 1598.86204435 2113.66497875 1840.29058474
 1871.88829132 1497.61421002 1720.38405678 1680.2276352  1046.05386733
 1568.54963459 1290.04680001 1115.13805771 2251.35651875 1963.16375675
 2084.20796239 2365.58237487]"
4,10,92.0,0.05,"[ 0.    0.    0.    0.   10.   10.   10.   10.   15.   11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 18.75 25.
 30.   30.   30.   25.   30.   30.   30.   28.75]","[1803.64429485 2004.68376786 1811.8504899  1791.30268467 1609.64126855
 1556.17537717 1799.38525262 1911.17078285 1546.31853834 1529.50758789
 1687.69057821 1829.65108471 1597.93912968 1971.66493015 1595.68443482
 1646.26477218 1799.75196392 1485.03005431 2018.47624062 1796.74728809
 1830.71183192 1624.81282056 1690.30018109 1668.76798383 1117.31441076
 1611.23332902 1387.54060853 1164.649866   2196.11064984 1903.33570421
 2027.16065372 2317.05390621]","[1811.54595488 2010.98404422 1819.59628029 1798.57587029 1615.77842097
 1562.64657437 1806.81853164 1918.68258645 1552.9907345  1535.9055496
 1692.3001625  1837.40497154 1604.07941417 1978.500494   1601.85354688
 1651.8362433  1807.34212562 1491.32796443 2024.26068686 1804.20755885
 1838.5178437  1630.75729113 1694.78178374 1674.03434231 1120.7789742
 1617.2608301  1391.48527842 1168.17844267 2205.37905514 1910.94175544
 2032.5546429  2325.54184644]"
5,10,92.0,0.075,"[ 0.    0.    0.    0.   10.    8.75  8.75  8.75 16.25 11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 17.5  25.
 27.5  28.75 28.75 25.   28.75 28.75 28.75 27.5 ]","[1794.51591712 1972.91178221 1776.01242119 1757.95537466 1615.55218975
 1561.76608366 1780.01822605 1888.55981904 1518.43607786 1498.87607258
 1664.69412914 1788.40166715 1577.10046386 1919.29911998 1577.38089737
 1602.56606333 1753.25248512 1446.53444675 1941.27482484 1747.81607322
 1745.43001092 1585.73109116 1662.97927186 1627.5770744  1182.13775563
 1636.45049512 1421.5003266  1175.16921924 2242.08678571 1956.16389328
 2078.04113294 2357.51639675]","[1802.16968806 1979.71440859 1782.73603298 1763.96418199 1621.62516311
 1568.231663   1786.90760116 1896.33091857 1525.04375442 1505.25180207
 1670.28256373 1795.56589421 1583.8723558  1926.7835516  1583.79420185
 1608.67730474 1759.10701389 1451.57625221 1948.40281719 1753.43962136
 1751.01980485 1592.14608807 1668.5127875  1633.42517922 1186.39122163
 1642.16916904 1425.34834857 1179.15668377 2251.35651875 1963.16375675
 2084.20796239 2365.58237487]"
6,10,94.0,0.025,"[ 0.    0.    0.    0.   20.   10.   10.   12.5  20.   20.   20.   17.5
 22.5  18.75 18.75 18.75 25.   20.   17.5  20.   25.   25.   25.   25.
 27.5  26.25 26.25 25.   27.5  27.5  27.5  25.  ]","[2270.41793994 2089.55113715 1935.35800344 1979.85617967 1774.69393121
 1613.51004884 1972.46035653 2037.52717361 1852.22620806 1362.37925759
 1663.45639414 1803.26986985 1805.28099311 2197.62799395 1572.95096326
 1668.56705943 1924.70193    1576.13343362 2308.68973949 1888.77689082
 2058.28686757 1611.72543298 1675.59555108 1924.353135   1393.39471462
 1927.71031144 1706.39496347 1356.99180242 2286.34297367 2007.17755353
 2127.52691061 2434.04781153]","[2279.38946314 2096.24386822 1942.7597015  1986.61826669 1781.35236752
 1619.47135937 1979.31764657 2042.39658929 1860.00727784 1366.87592179
 1668.80512644 1810.84628737 1812.99862305 2206.83093786 1579.27967071
 1673.66243466 1932.08244649 1582.57502027 2317.23368339 1896.35965224
 2063.56038453 1617.86243506 1680.66375401 1931.79681928 1397.0351432
 1935.09969612 1710.09213943 1361.59638413 2295.15118212 2013.41135829
 2135.5267821  2440.15126288]"
7,10,94.0,0.05,"[ 0.    0.    0.    0.   17.5  11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   17.5  18.75 25.   18.75 18.75 20.   25.   25.   25.   25.
 26.25 28.75 25.   25.   27.5  26.25 26.25 25.  ]","[2191.10666222 2115.72305497 1970.36348583 1973.7024573  1806.91346428
 1607.76798865 2005.15753059 2070.3226072  1802.79297628 1401.23911365
 1685.34746138 1798.60966672 1815.16227386 2141.40412471 1649.35639054
 1679.91719531 1912.27835029 1603.88788142 2268.37504525 1870.08045709
 2017.48477658 1671.13938646 1644.30513922 1903.56489706 1437.36612506
 1854.41709408 1710.62706945 1368.57396448 2286.34297367 2058.28568569
 2175.40882653 2434.04781153]","[2200.38449097 2123.30599578 1977.58538269 1980.50544191 1814.60576419
 1613.79979217 2011.48123627 2076.13207802 1810.41816486 1404.39772513
 1689.91301487 1806.10484436 1822.95935315 2149.89900616 1654.76176146
 1684.6776125  1919.79715552 1610.00558444 2277.37138859 1877.75222229
 2023.37047021 1676.40231656 1649.95405335 1911.28592272 1441.89860308
 1862.23586309 1714.52402222 1373.02983068 2295.15118212 2063.50853797
 2184.64843892 2440.15126288]"
8,10,94.0,0.075,"[ 0.    0.    0.    0.   16.25 11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   18.75 18.75 21.25 20.   18.75 18.75 25.   25.   21.25 21.25
 25.   25.   26.25 25.   26.25 26.25 26.25 25.  ]","[2121.29916063 2120.43566461 1982.73622738 1972.50547366 1789.13811464
 1615.02090575 2023.39587552 2066.84162507 1739.28462491 1393.94948124
 1702.69341977 1789.43259946 1718.51399961 2103.58594611 1610.59218596
 1634.23027346 1934.05091839 1501.06905527 2182.85020712 1809.98677677
 1957.33278104 1581.9227023  1747.06169158 1949.28535097 1457.38404149
 1936.65047076 1697.18547899 1394.72555595 2328.39833056 2058.28568569
 2175.40882653 2434.04781153]","[2129.12897189 2128.18686465 1989.64108572 1979.32413311 1796.34752234
 1620.98207851 2028.98470909 2072.49914607 1744.59162756 1397.54634566
 1706.26005397 1796.64649795 1722.83275217 2110.71605521 1616.53100847
 1639.95009506 1941.35083653 1507.4732921  2192.11861439 1817.6214633
 1964.34738256 1588.42779414 1752.7114682  1956.45928598 1462.66320077
 1943.90218136 1701.15502317 1398.2964292  2336.76796573 2063.50853797
 2184.64843892 2440.15126288]"
9,10,96.0,0.025,"[ 0.    0.    0.    0.   16.25 10.   10.   10.   17.5  15.   15.   15.
 20.   16.25 15.   15.   22.5  16.25 16.25 15.   18.75 17.5  17.5  17.5
 25.   25.   20.   22.5  26.25 25.   25.   25.  ]","[2356.82804648 2072.68851129 1905.62221628 1923.62707502 1961.78032578
 1591.5332452  1831.66763683 2024.68540947 2014.45702907 1394.22087745
 1626.14431824 1735.739022   1935.17608385 2016.19158831 1521.02669442
 1615.66187782 1998.49271793 1676.91785109 2240.0662326  1948.55646281
 2323.86435292 1995.7315741  1963.59536773 2248.28933446 1719.87890351
 2182.19961117 2080.48925358 1729.66741896 2328.39833056 2108.3732347
 2222.27447345 2434.04781153]","[2364.89487645 2078.66128789 1912.14313669 1931.14129494 1968.70610064
 1597.8173853  1838.10957084 2030.27276248 2020.45594436 1397.89930438
 1631.58637056 1740.97798386 1942.48715246 2022.24251199 1527.41625888
 1621.74906523 2004.91853603 1682.12506183 2249.22103578 1955.49027355
 2332.30426141 2002.3152579  1970.56207323 2257.52660712 1724.22172394
 2191.50106358 2086.8194797  1734.49546536 2336.76796573 2115.68975479
 2231.57926843 2440.15126288]"
