,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.   13.75 15.   13.75 17.5  16.25 17.5  25.   25.   25.
 31.25 32.5  31.25 33.75 32.5  32.5 ]","[1870.0406714  1791.00388372 1910.62206695 1485.38152617 1520.97381814
 1312.26354983 1731.5105636  1637.90470333 1739.43277909 1012.02662148
 1143.2367431  1355.8175566  1258.09516637  791.22871326 1156.20400467
 1661.29778628 2378.2310406  1661.29778628]","[1877.79035302 1798.25550777 1918.12542121 1491.63832089 1527.3011503
 1317.42861676 1736.54396255 1643.62764739 1744.78706348 1016.45598348
 1145.90005162 1360.57177015 1263.39487043  794.60086718 1159.36682015
 1666.67904312 2385.94366858 1666.67904312]"
1,10,90.0,0.05,"[ 0.    0.    0.   12.5  13.75 12.5  16.25 16.25 16.25 21.25 25.   25.
 31.25 31.25 30.   33.75 32.5  32.5 ]","[1809.12574926 1738.23467788 1855.46219554 1463.90933171 1502.62949576
 1299.29755175 1705.74011002 1581.49678936 1689.82801416 1092.93400956
 1136.18379534 1325.58042693 1275.25811523  830.76490433 1203.22256014
 1661.29778628 2378.2310406  1661.29778628]","[1816.76654512 1743.50367754 1863.22888047 1469.42245943 1508.94718578
 1304.60687355 1709.45468812 1587.90100638 1694.21245276 1096.90292908
 1138.91877306 1330.68927053 1280.56567347  834.16614798 1208.32888375
 1666.67904312 2385.94366858 1666.67904312]"
2,10,90.0,0.075,"[ 0.    0.    0.   12.5  12.5  11.25 15.   16.25 16.25 21.25 17.5  21.25
 30.   31.25 31.25 32.5  30.   30.  ]","[1779.96635572 1695.64193632 1824.6488017  1429.28637736 1488.58637958
 1307.08251155 1691.55457751 1507.98117388 1640.76438849 1072.27042649
 1260.90001026 1422.58795559 1363.73953132  832.02381171 1224.01279025
 1661.29778628 2453.35404318 1661.29778628]","[1786.79403169 1699.66941581 1832.46749992 1433.4342769  1494.8517679
 1312.42634607 1695.88299876 1514.45112764 1647.30813165 1076.54366523
 1266.29213379 1426.62531944 1368.29073015  835.52562964 1229.28831151
 1666.67904312 2460.3111435  1666.67904312]"
3,10,92.0,0.025,"[ 0.    0.    0.   12.5  10.   10.   15.   15.   15.   25.   25.   25.
 30.   28.75 26.25 28.75 27.5  27.5 ]","[2060.99203793 1972.35409582 2066.12658113 1697.07295497 1851.43729826
 1594.76480431 1976.01791895 1909.38104732 1991.70839176 1153.42677959
 1353.26845014 1494.58716921 1527.51872942  981.45825062 1549.79576199
 1741.56731421 2520.79895077 1661.29778628]","[2066.36352133 1979.18754387 2071.74989795 1700.98994662 1859.29744568
 1600.97364797 1982.80060834 1917.08128249 1998.30096477 1156.52814903
 1358.05077584 1501.01993332 1533.97356748  985.65010057 1556.29652014
 1746.95421293 2530.20787421 1666.67904312]"
4,10,92.0,0.05,"[ 0.    0.    0.   10.   10.   10.   16.25 15.   15.   25.   18.75 25.
 28.75 30.   27.5  28.75 28.75 25.  ]","[1992.53766579 1925.7392404  2010.22214481 1725.26135943 1789.83841455
 1551.20139364 1897.13916362 1797.68891428 1917.97121342 1134.69605381
 1520.15798341 1511.50027936 1571.98188525 1027.30705903 1505.85558066
 1741.56731421 2488.13564719 1705.76646728]","[1999.13608393 1933.11260092 2016.39008049 1729.84954524 1797.14911274
 1557.63691466 1904.83284471 1805.39552089 1925.41073845 1137.494497
 1526.64162994 1517.9466085  1578.48938263 1031.55885867 1512.29139971
 1746.95421293 2496.46441777 1709.38568081]"
5,10,92.0,0.075,"[ 0.    0.    0.   10.    8.75  8.75 16.25 15.   16.25 25.   17.5  17.5
 27.5  28.75 28.75 28.75 28.75 28.75]","[1944.6524353  1870.86941753 1962.58646992 1682.17948291 1747.499847
 1548.9049127  1853.60185492 1735.92654387 1811.48266627 1110.03924956
 1511.5129519  1709.60438028 1631.73594303 1096.76861976 1513.54479789
 1741.56731421 2488.13564719 1661.29778628]","[1951.79400493 1878.64774242 1969.53108426 1686.92007915 1752.65667418
 1555.35978777 1861.39773578 1741.38519819 1819.23173788 1113.76289732
 1517.98660214 1713.47932061 1637.50945107 1100.55848355 1519.97233438
 1746.95421293 2496.46441777 1666.67904312]"
6,10,94.0,0.025,"[ 0.    0.    0.   18.75 12.5  13.75 21.25 21.25 20.   25.   22.5  22.5
 26.25 27.5  26.25 25.   25.   26.25]","[2339.90503566 2026.86308196 2152.15793128 1673.17314737 1923.74252018
 1606.51942184 2168.55948741 1966.31732253 2075.97381127 1261.96698557
 1663.80678004 1761.98830853 1825.47943119 1265.11065521 1805.6334879
 1907.53306482 2579.56057561 1661.29778628]","[2348.13290511 2032.26614615 2160.95282476 1678.20342632 1931.00835502
 1612.55534941 2177.7564265  1973.18786936 2082.05827825 1267.33854093
 1669.19995698 1768.19628747 1833.26873755 1270.33532582 1813.34718961
 1915.09095259 2590.47606213 1666.67904312]"
7,10,94.0,0.05,"[ 0.    0.    0.   17.5  13.75 13.75 20.   20.   20.   25.   22.5  21.25
 26.25 26.25 26.25 25.   26.25 26.25]","[2271.65056901 2073.26274076 2148.34450366 1678.86113231 1888.98747533
 1583.13067882 2157.39460432 1962.75826191 2031.44516662 1263.08148131
 1638.78774672 1797.92691805 1835.94826561 1348.55813123 1814.71155212
 1907.53306482 2551.13224744 1661.29778628]","[2280.59907391 2079.20465938 2157.04512667 1683.693072   1896.7069852
 1589.46531687 2166.42196143 1969.69338705 2036.6478472  1268.44946388
 1644.5054755  1805.47500306 1843.74815025 1353.18301564 1822.46905983
 1915.09095259 2561.54427202 1666.67904312]"
8,10,94.0,0.075,"[ 0.    0.    0.   17.5  13.75 13.75 20.   18.75 18.75 22.5  21.25 21.25
 26.25 26.25 25.   26.25 26.25 25.  ]","[2222.44829296 2066.34303177 2153.95218741 1654.05558165 1849.31374442
 1542.93989087 2094.99278267 1933.77240522 2013.65234645 1311.86621954
 1647.5810457  1756.48400908 1870.85906596 1380.12142319 1831.35491841
 1853.26692063 2551.13224744 1705.76646728]","[2231.75422775 2071.99584709 2162.83018582 1659.49414486 1857.08098336
 1549.37652093 2101.83291562 1941.04287969 2019.66098035 1317.08016496
 1653.18728868 1762.4669189  1878.6825937  1384.29654879 1839.12828414
 1861.04098081 2561.54427202 1709.38568081]"
9,10,96.0,0.025,"[ 0.    0.    0.   17.5  12.5  12.5  18.75 16.25 15.   20.   16.25 17.5
 25.   21.25 22.5  25.   25.   25.  ]","[2516.25294498 1957.25390165 1899.75816134 1807.09852444 1762.53201214
 1492.02383469 2349.06829423 2047.46337967 2230.77291968 1555.16735288
 1931.23085025 2031.27448743 2115.19224798 1737.85363591 2110.77192003
 1907.53306482 2579.56057561 1705.76646728]","[2525.06931754 1965.47882396 1908.40247083 1814.75535683 1768.65410196
 1498.2772839  2356.42325952 2052.05220731 2240.03688705 1561.64202889
 1938.57258709 2036.50298796 2122.81400675 1743.01461383 2118.24208678
 1915.09095259 2590.47606213 1709.38568081]"
