,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.   13.75 15.   13.75 17.5  16.25 17.5  25.   25.   25.
 31.25 32.5  31.25 33.75 32.5  32.5 ]","[1756.97324736 1775.67218015 1758.47024811 1697.15148753 1677.50265933
 1692.06837471 1683.31813985 1722.85170843 1681.35640316 1440.1495163
 1446.67721546 1442.75714393 1022.83332791  991.82313951 1026.89963715
 1945.64368992 1996.56114519 1996.56114519]","[1756.97324736 1775.67218015 1758.47024811 1697.15148753 1677.50265933
 1692.06837471 1683.31813985 1722.85170843 1681.35640316 1440.1495163
 1446.67721546 1442.75714393 1022.83332791  991.82313951 1026.89963715
 1945.64368992 1996.56114519 1996.56114519]"
1,10,90.0,0.05,"[ 0.    0.    0.   12.5  13.75 12.5  16.25 16.25 16.25 21.25 25.   25.
 31.25 31.25 30.   33.75 32.5  32.5 ]","[1690.67932128 1720.89044503 1699.45898082 1646.62835465 1650.19476379
 1649.83562666 1607.74737832 1657.59859396 1640.12572487 1507.20521426
 1413.33951036 1408.06797723 1038.93315753 1032.7096358  1066.25514529
 1945.64368992 1996.56114519 1996.56114519]","[1690.67932128 1720.89044503 1699.45898082 1646.62835465 1650.19476379
 1649.83562666 1607.74737832 1657.59859396 1640.12572487 1507.20521426
 1413.33951036 1408.06797723 1038.93315753 1032.7096358  1066.25514529
 1945.64368992 1996.56114519 1996.56114519]"
2,10,90.0,0.075,"[ 0.    0.    0.   12.5  12.5  11.25 15.   16.25 16.25 21.25 17.5  21.25
 30.   31.25 31.25 32.5  30.   30.  ]","[1670.69941193 1672.33544101 1662.86090957 1610.46102682 1617.37175433
 1628.40139033 1589.17288693 1559.59394803 1565.57229262 1469.34284043
 1527.7834944  1473.88673174 1096.66981753 1035.73007415 1044.01791325
 1996.56114519 2098.20875695 2098.20875695]","[1670.69941193 1672.33544101 1662.86090957 1610.46102682 1617.37175433
 1628.40139033 1589.17288693 1559.59394803 1565.57229262 1469.34284043
 1527.7834944  1473.88673174 1096.66981753 1035.73007415 1044.01791325
 1996.56114519 2098.20875695 2098.20875695]"
3,10,92.0,0.025,"[ 0.    0.    0.   12.5  10.   10.   15.   15.   15.   25.   25.   25.
 30.   28.75 26.25 28.75 27.5  27.5 ]","[1978.12400438 1931.99909414 1927.98384446 1940.52951417 1971.02476837
 1973.40146845 1933.93733929 1973.41207658 1924.13788633 1644.63331788
 1651.14351868 1605.86105767 1195.20483419 1219.98241556 1283.63859786
 2148.93674388 2197.46933402 2197.46933402]","[1978.12400438 1931.99909414 1927.98384446 1940.52951417 1971.02476837
 1973.40146845 1933.93733929 1973.41207658 1924.13788633 1644.63331788
 1651.14351868 1605.86105767 1195.20483419 1219.98241556 1283.63859786
 2148.93674388 2197.46933402 2197.46933402]"
4,10,92.0,0.05,"[ 0.    0.    0.   10.   10.   10.   16.25 15.   15.   25.   18.75 25.
 28.75 30.   27.5  28.75 28.75 25.  ]","[1905.39498287 1893.00702196 1892.71884951 1928.72986216 1910.65917762
 1919.66045018 1864.33988964 1851.42788563 1862.61734788 1608.0298466
 1802.27501841 1590.47474728 1238.98484834 1239.32232958 1196.07324878
 2148.93674388 2148.93674388 2287.97237155]","[1905.39498287 1893.00702196 1892.71884951 1928.72986216 1910.65917762
 1919.66045018 1864.33988964 1851.42788563 1862.61734788 1608.0298466
 1802.27501841 1590.47474728 1238.98484834 1239.32232958 1196.07324878
 2148.93674388 2148.93674388 2287.97237155]"
5,10,92.0,0.075,"[ 0.    0.    0.   10.    8.75  8.75 16.25 15.   16.25 25.   17.5  17.5
 27.5  28.75 28.75 28.75 28.75 28.75]","[1863.16647145 1841.64083225 1838.07737812 1876.33598662 1870.31201179
 1873.88139016 1814.39275674 1784.19175391 1706.26479354 1565.03583701
 1772.3380803  1772.43817224 1308.83823543 1309.35026973 1317.74349744
 2148.93674388 2148.93674388 2148.93674388]","[1863.16647145 1841.64083225 1838.07737812 1876.33598662 1870.31201179
 1873.88139016 1814.39275674 1784.19175391 1706.26479354 1565.03583701
 1772.3380803  1772.43817224 1308.83823543 1309.35026973 1317.74349744
 2148.93674388 2148.93674388 2148.93674388]"
6,10,94.0,0.025,"[ 0.    0.    0.   18.75 12.5  13.75 21.25 21.25 20.   25.   22.5  22.5
 26.25 27.5  26.25 25.   25.   26.25]","[2172.13775185 1961.96416895 1950.73648473 1990.62474445 2074.60620667
 2015.77523363 1952.39073468 1956.24191273 1974.42730639 1794.42536728
 1914.85656878 1896.66233098 1488.34582707 1487.54499882 1563.32665508
 2287.97237155 2287.97237155 2243.8126905 ]","[2172.13775185 1961.96416895 1950.73648473 1990.62474445 2074.60620667
 2015.77523363 1952.39073468 1956.24191273 1974.42730639 1794.42536728
 1914.85656878 1896.66233098 1488.34582707 1487.54499882 1563.32665508
 2287.97237155 2287.97237155 2243.8126905 ]"
7,10,94.0,0.05,"[ 0.    0.    0.   17.5  13.75 13.75 20.   20.   20.   25.   22.5  21.25
 26.25 26.25 26.25 25.   26.25 26.25]","[2110.64428581 2011.36417425 1989.50622928 1972.62094708 2033.88780414
 2012.55732258 1959.31817085 1959.36416166 1934.06732857 1782.42920562
 1883.49629266 1913.46715728 1500.59639643 1564.59178808 1573.25035813
 2287.97237155 2243.8126905  2243.8126905 ]","[2110.64428581 2011.36417425 1989.50622928 1972.62094708 2033.88780414
 2012.55732258 1959.31817085 1959.36416166 1934.06732857 1782.42920562
 1883.49629266 1913.46715728 1500.59639643 1564.59178808 1573.25035813
 2287.97237155 2243.8126905  2243.8126905 ]"
8,10,94.0,0.075,"[ 0.    0.    0.   17.5  13.75 13.75 20.   18.75 18.75 22.5  21.25 21.25
 26.25 26.25 25.   26.25 26.25 25.  ]","[2068.96584902 2004.24043678 1987.08343108 1929.58977443 1988.02957986
 1973.98250187 1893.20503908 1934.61554435 1920.95583678 1829.24691801
 1885.73413047 1859.04436061 1557.50804062 1583.90396014 1590.16604623
 2243.8126905  2243.8126905  2287.97237155]","[2068.96584902 2004.24043678 1987.08343108 1929.58977443 1988.02957986
 1973.98250187 1893.20503908 1934.61554435 1920.95583678 1829.24691801
 1885.73413047 1859.04436061 1557.50804062 1583.90396014 1590.16604623
 2243.8126905  2243.8126905  2287.97237155]"
9,10,96.0,0.025,"[ 0.    0.    0.   17.5  12.5  12.5  18.75 16.25 15.   20.   16.25 17.5
 25.   21.25 22.5  25.   25.   25.  ]","[2312.7069401  1852.49706928 1867.16540638 2119.75988306 1866.14727789
 1847.7423774  2103.41769852 2039.58336035 2070.0006416  2106.10451158
 2154.51430678 2150.78580614 1821.59163182 1945.49551915 1921.62372532
 2287.97237155 2287.97237155 2287.97237155]","[2312.7069401  1852.49706928 1867.16540638 2119.75988306 1866.14727789
 1847.7423774  2103.41769852 2039.58336035 2070.0006416  2106.10451158
 2154.51430678 2150.78580614 1821.59163182 1945.49551915 1921.62372532
 2287.97237155 2287.97237155 2287.97237155]"
