,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0.    0.   22.5  21.25 32.5  32.5  32.5  32.5 ],"[1535.57613304 1485.29149034 1349.24367806 1687.89165426 1063.34899275
  816.73442538 2120.04801954 2190.64057299]","[1530.55842032 1480.81147943 1344.90747531 1680.46433076 1059.71872538
  813.83134529 2110.60545789 2182.94373519]"
1,10,90.0,0.05,[ 0.    0.   20.   18.75 31.25 31.25 32.5  32.5 ],"[1446.7140794  1404.5948254  1360.83687072 1673.88186801 1100.83933665
  855.85225911 2120.04801954 2190.64057299]","[1439.98164057 1398.32578972 1356.01092529 1667.09947108 1096.88136392
  852.89172162 2110.60545789 2182.94373519]"
2,10,90.0,0.075,[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],"[1405.76751984 1369.90177503 1344.66102796 1625.91352629 1118.74083717
  882.31934287 2216.32170447 2282.36044726]","[1398.71547554 1364.74915513 1340.24140963 1620.62212129 1114.10353211
  878.88311676 2208.81075742 2274.77529228]"
3,10,92.0,0.025,[ 0.    0.   20.   20.   31.25 31.25 28.75 28.75],"[1704.66899409 1614.21928016 1649.13229493 2003.90380939 1285.04743024
 1005.59388444 2262.19112521 2325.11292585]","[1696.3490226  1609.16788515 1643.38290383 1995.95277013 1280.69251067
 1002.06038662 2254.62863456 2317.41828312]"
4,10,92.0,0.05,[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],"[1649.90600774 1590.10803654 1632.11192602 1960.75991025 1322.68747062
 1047.89047391 2262.19112521 2325.11292585]","[1644.51360137 1585.00851328 1626.81595171 1954.30927777 1318.27789547
 1044.29910441 2254.62863456 2317.41828312]"
5,10,92.0,0.075,[ 0.    0.   18.75 16.25 27.5  27.5  28.75 28.75],"[1617.77095322 1538.76128605 1571.25305735 1900.14085905 1411.01214762
 1146.8748332  2262.19112521 2325.11292585]","[1612.510264   1533.77687909 1565.9990318  1893.80467747 1403.38554585
 1140.39688583 2254.62863456 2317.41828312]"
6,10,94.0,0.025,[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],"[1889.72817697 1783.89307839 1762.62315052 2189.64262485 1598.72707791
 1315.39263736 2388.80484034 2445.6404161 ]","[1883.16277349 1776.23936821 1754.65318491 2181.9478098  1593.4377771
 1311.00932233 2379.00676843 2432.51183603]"
7,10,94.0,0.05,[ 0.    0.   20.   18.75 26.25 25.   25.   25.  ],"[1852.23616683 1790.31527794 1785.97072384 2142.4797533  1613.88090609
 1357.31024054 2388.80484034 2445.6404161 ]","[1845.78183147 1782.68939938 1778.83899736 2133.84188031 1608.56718276
 1352.53454043 2379.00676843 2432.51183603]"
8,10,94.0,0.075,[ 0.    0.   17.5  16.25 25.   23.75 25.   26.25],"[1773.53067301 1727.66224001 1782.68585649 2109.66681637 1662.09489124
 1450.51996592 2388.80484034 2406.85638184]","[1765.65087524 1718.28833496 1775.39362513 2099.93007998 1655.71520987
 1443.70309942 2379.00676843 2396.1820055 ]"
9,10,96.0,0.025,[ 0.    0.   17.5  16.25 21.25 21.25 25.   23.75],"[1996.16128267 1871.41635039 1949.11346738 2337.32565156 2033.27010784
 1719.06813831 2388.80484034 2482.42973863]","[1988.45674769 1864.99690512 1942.83293272 2329.3985431  2023.752512
 1709.33449503 2379.00676843 2470.41905324]"
10,10,96.0,0.05,[ 0.    0.   17.5  15.   21.25 20.   22.5  23.75],"[1988.310078   1870.17827487 1941.04273759 2302.57300917 1964.56208319
 1757.96678452 2465.96237291 2482.42973863]","[1980.90969566 1863.801915   1934.77655792 2295.00291242 1957.97547031
 1749.5991497  2453.45130374 2470.41905324]"
11,10,96.0,0.075,[ 0.    0.   17.5  15.   20.   18.75 22.5  22.5 ],"[1969.14188538 1870.86276363 1907.0605525  2244.44601164 1994.17430378
 1764.81543518 2465.96237291 2516.87815871]","[1962.43951978 1864.5417934  1900.88065581 2236.93166875 1986.50143349
 1756.68079683 2453.45130374 2505.91423642]"
