,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0.    0.   22.5  21.25 32.5  32.5  32.5  32.5 ],"[1782.11267144 1815.14686252 1469.04133689 1534.71486755  963.41811352
  991.7753638  1996.56114519 1996.56114519]","[1782.11267144 1815.14686252 1469.04133689 1534.71486755  963.41811352
  991.7753638  1996.56114519 1996.56114519]"
1,10,90.0,0.05,[ 0.    0.   20.   18.75 31.25 31.25 32.5  32.5 ],"[1680.65510539 1697.8898506  1488.67383783 1545.75941382 1006.39318035
 1032.66518715 1996.56114519 1996.56114519]","[1680.65510539 1697.8898506  1488.67383783 1545.75941382 1006.39318035
 1032.66518715 1996.56114519 1996.56114519]"
2,10,90.0,0.075,[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],"[1626.46086604 1637.16825946 1464.80185306 1515.03982859 1032.30306116
 1061.02103864 2098.20875695 2098.20875695]","[1626.46086604 1637.16825946 1464.80185306 1515.03982859 1032.30306116
 1061.02103864 2098.20875695 2098.20875695]"
3,10,92.0,0.025,[ 0.    0.   20.   20.   31.25 31.25 28.75 28.75],"[1961.70192075 1966.74979391 1779.59598322 1809.76570032 1164.89930442
 1196.188531   2148.93674388 2148.93674388]","[1961.70192075 1966.74979391 1779.59598322 1809.76570032 1164.89930442
 1196.188531   2148.93674388 2148.93674388]"
4,10,92.0,0.05,[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],"[1901.43720148 1895.65411358 1762.73146025 1791.12405825 1209.82724555
 1239.32232958 2148.93674388 2148.93674388]","[1901.43720148 1895.65411358 1762.73146025 1791.12405825 1209.82724555
 1239.32232958 2148.93674388 2148.93674388]"
5,10,92.0,0.075,[ 0.    0.   18.75 16.25 27.5  27.5  28.75 28.75],"[1855.75745968 1795.86579475 1691.27437671 1763.26971086 1308.83823543
 1337.76211424 2148.93674388 2148.93674388]","[1855.75745968 1795.86579475 1691.27437671 1763.26971086 1308.83823543
 1337.76211424 2148.93674388 2148.93674388]"
6,10,94.0,0.025,[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],"[2145.05938041 2125.71871495 1888.09527461 1968.86230038 1488.34582707
 1519.35114294 2287.97237155 2287.97237155]","[2145.05938041 2125.71871495 1888.09527461 1968.86230038 1488.34582707
 1519.35114294 2287.97237155 2287.97237155]"
7,10,94.0,0.05,[ 0.    0.   20.   18.75 26.25 25.   25.   25.  ],"[2099.03253153 2099.13201545 1905.16157007 1932.30006656 1500.59639643
 1560.26377198 2287.97237155 2287.97237155]","[2099.03253153 2099.13201545 1905.16157007 1932.30006656 1500.59639643
 1560.26377198 2287.97237155 2287.97237155]"
8,10,94.0,0.075,[ 0.    0.   17.5  16.25 25.   23.75 25.   26.25],"[2014.8805488  2015.75905347 1909.3686792  1939.26138559 1554.16363271
 1643.38774149 2287.97237155 2243.8126905 ]","[2014.8805488  2015.75905347 1909.3686792  1939.26138559 1554.16363271
 1643.38774149 2287.97237155 2243.8126905 ]"
9,10,96.0,0.025,[ 0.    0.   17.5  16.25 21.25 21.25 25.   23.75],"[2253.93218429 2182.23334152 2090.63459603 2138.22243394 1919.83940489
 1914.42480948 2287.97237155 2329.95338485]","[2253.93218429 2182.23334152 2090.63459603 2138.22243394 1919.83940489
 1914.42480948 2287.97237155 2329.95338485]"
10,10,96.0,0.05,[ 0.    0.   17.5  15.   21.25 20.   22.5  23.75],"[2233.04728413 2164.76627682 2068.33131386 2128.37516743 1861.78752136
 1949.09773468 2369.76023693 2329.95338485]","[2233.04728413 2164.76627682 2068.33131386 2128.37516743 1861.78752136
 1949.09773468 2369.76023693 2329.95338485]"
11,10,96.0,0.075,[ 0.    0.   17.5  15.   20.   18.75 22.5  22.5 ],"[2201.23916659 2139.85362148 2023.57193202 2069.83354439 1899.24781405
 1949.9224622  2369.76023693 2369.76023693]","[2201.23916659 2139.85362148 2023.57193202 2069.83354439 1899.24781405
 1949.9224622  2369.76023693 2369.76023693]"
