,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0. 30. 30.],[1604.58747412  944.93006764 2098.20875695],[1604.58747412  944.93006764 2098.20875695]
1,10,90.0,0.05,[ 0.   28.75 30.  ],[1580.07032157  987.13836855 2098.20875695],[1580.07032157  987.13836855 2098.20875695]
2,10,90.0,0.075,[ 0.   27.5  28.75],[1552.78763022 1045.66533146 2148.93674388],[1552.78763022 1045.66533146 2148.93674388]
3,10,92.0,0.025,[ 0.   28.75 27.5 ],[1919.03569654 1187.11906971 2197.46933402],[1919.03569654 1187.11906971 2197.46933402]
4,10,92.0,0.05,[ 0.  27.5 27.5],[1876.98788739 1230.31551249 2197.46933402],[1876.98788739 1230.31551249 2197.46933402]
5,10,92.0,0.075,[ 0.   26.25 27.5 ],[1828.63222099 1301.00167451 2197.46933402],[1828.63222099 1301.00167451 2197.46933402]
6,10,94.0,0.025,[ 0. 25. 25.],[2108.17634556 1518.44927892 2287.97237155],[2108.17634556 1518.44927892 2287.97237155]
7,10,94.0,0.05,[ 0. 25. 25.],[2098.15842628 1530.78045225 2287.97237155],[2098.15842628 1530.78045225 2287.97237155]
8,10,94.0,0.075,[ 0.  22.5 25. ],[2018.98967434 1610.35041731 2287.97237155],[2018.98967434 1610.35041731 2287.97237155]
9,10,96.0,0.025,[ 0.   21.25 22.5 ],[2264.72309527 1853.28578393 2369.76023693],[2264.72309527 1853.28578393 2369.76023693]
10,10,96.0,0.05,[ 0.  20.  22.5],[2226.37741685 1890.66856174 2369.76023693],[2226.37741685 1890.66856174 2369.76023693]
11,10,96.0,0.075,[ 0.   18.75 22.5 ],[2178.29105131 1926.40883976 2369.76023693],[2178.29105131 1926.40883976 2369.76023693]
