number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-2.1999233203841957,2025-11-21 06:07:13.755150,2025-11-21 07:32:17.619849,0 days 01:25:03.864699,0.12636886380616977,0.0006283843852605498,171,COMPLETE
1,-20.36400783810378,2025-11-21 06:07:13.755826,2025-11-21 07:32:33.569331,0 days 01:25:19.813505,0.008220310902295818,0.054297349118265927,172,COMPLETE
2,-20.131340730085313,2025-11-21 06:07:13.756234,2025-11-21 07:33:28.972006,0 days 01:26:15.215772,0.13575368809032362,0.06107527725998838,102,COMPLETE
3,-1.682427547503354,2025-11-21 06:07:13.756905,2025-11-21 07:32:55.622507,0 days 01:25:41.865602,0.0015741273735180483,0.004414163787474734,166,COMPLETE
4,-1.6477340703653636,2025-11-21 06:07:13.757877,2025-11-21 07:32:53.329046,0 days 01:25:39.571169,0.5373120879112081,0.000934992162138051,151,COMPLETE
5,-1.3859914112706517,2025-11-21 06:07:13.758297,2025-11-21 07:32:30.352287,0 days 01:25:16.593990,0.03629009536827559,0.04281787561329235,178,COMPLETE
6,-0.6915430535120405,2025-11-21 06:07:13.758841,2025-11-21 07:34:51.286515,0 days 01:27:37.527674,0.1437942757033187,0.0033272802340827607,24,COMPLETE
7,-1.6244985088821209,2025-11-21 06:07:13.759688,2025-11-21 07:33:53.900649,0 days 01:26:40.140961,0.062084066688820515,0.0012454354948754187,84,COMPLETE
8,-10.615080522945295,2025-11-21 06:07:13.760824,2025-11-21 07:35:03.006702,0 days 01:27:49.245878,0.003270730868390887,0.00014416017241684,16,COMPLETE
9,-1.7545691368029643,2025-11-21 06:07:13.761197,2025-11-21 07:34:07.970593,0 days 01:26:54.209396,0.012232049844482442,0.00048165990973282814,76,COMPLETE
10,-20.180199251375235,2025-11-21 06:07:13.761898,2025-11-21 07:34:27.053961,0 days 01:27:13.292063,0.0013090092221404932,0.03619331909018797,39,COMPLETE
11,-1.378128821224643,2025-11-21 06:07:13.762750,2025-11-21 07:33:08.857866,0 days 01:25:55.095116,0.03707601231665933,0.001712148575848377,120,COMPLETE
12,-1.935815945774906,2025-11-21 06:07:13.763695,2025-11-21 07:32:32.204924,0 days 01:25:18.441229,0.10134467884367988,0.0013211603887493103,187,COMPLETE
13,-1.8797629148299506,2025-11-21 06:07:13.763926,2025-11-21 07:32:32.598317,0 days 01:25:18.834391,0.012096129901938006,0.000470007901602452,180,COMPLETE
14,-0.9743614398915659,2025-11-21 06:07:13.765504,2025-11-21 07:33:16.058968,0 days 01:26:02.293464,0.4251698193879687,0.038231819305107675,139,COMPLETE
15,-4.3376351494143295,2025-11-21 06:07:13.766282,2025-11-21 07:35:00.680759,0 days 01:27:46.914477,0.0010429685918224585,0.009665422728843097,9,COMPLETE
16,-30.245116705685987,2025-11-21 06:07:13.766536,2025-11-21 07:34:28.856465,0 days 01:27:15.089929,0.004731627588525833,0.09256485274486934,59,COMPLETE
17,-1.8111039083272158,2025-11-21 06:07:13.766921,2025-11-21 07:34:28.624831,0 days 01:27:14.857910,0.0021211641823576525,0.0007431168376658525,34,COMPLETE
