number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
0,-9.0892035659258,2025-11-22 07:14:37.116369,2025-11-22 09:17:12.665527,0 days 02:02:35.549158,0.256927808907201,0.00022660887411755034,181,1,COMPLETE
1,-1.2550601266890444,2025-11-22 07:14:37.117159,2025-11-22 09:19:06.788637,0 days 02:04:29.671478,0.02894161889681341,0.0017899661904101417,75,1,COMPLETE
2,-8.928227289617684,2025-11-22 07:14:37.117717,2025-11-22 09:20:06.017485,0 days 02:05:28.899768,0.004916738515638379,0.0002519137544211074,15,1,COMPLETE
3,-0.9827635210930015,2025-11-22 07:14:37.118258,2025-11-22 09:16:54.213861,0 days 02:02:17.095603,0.20539597440071292,0.0040328191265413225,185,1,COMPLETE
4,-38.138970085987644,2025-11-22 07:14:37.118950,2025-11-22 09:17:29.212421,0 days 02:02:52.093471,0.001986687485140585,0.059215054670188845,167,1,COMPLETE
5,-5.440034223138981,2025-11-22 07:14:37.119623,2025-11-22 09:18:32.420394,0 days 02:03:55.300771,0.0036034722282305086,0.0004021436536304891,81,1,COMPLETE
6,-2.618610066668724,2025-11-22 07:14:37.120263,2025-11-22 09:17:43.957542,0 days 02:03:06.837279,0.02939396759120957,0.022278169914972893,143,1,COMPLETE
7,-28.383128845239916,2025-11-22 07:14:37.120874,2025-11-22 09:18:38.230819,0 days 02:04:01.109945,0.0023777558132695095,0.07916234717349506,120,1,COMPLETE
8,-3.142075356528262,2025-11-22 07:14:37.121498,2025-11-22 09:18:10.247644,0 days 02:03:33.126146,0.09510777029261919,0.037953766872755604,112,1,COMPLETE
9,-6.174258238516652,2025-11-22 07:14:37.123231,2025-11-22 09:18:50.891655,0 days 02:04:13.768424,0.16575304110806785,0.0003653824291396535,76,1,COMPLETE
10,-2.717365481768188,2025-11-22 07:14:37.124190,2025-11-22 09:17:37.950187,0 days 02:03:00.825997,0.7350569237783509,0.0045458427673890625,150,1,COMPLETE
11,-7.233336028281934,2025-11-22 07:14:37.124415,2025-11-22 09:16:48.214354,0 days 02:02:11.089939,0.003536531549965679,0.00022072060091669817,190,1,COMPLETE
