number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
0,0.3408184427187176,2025-11-22 07:14:37.116249,2025-11-22 09:26:07.343602,0 days 02:11:30.227353,0.0037538467237884544,0.010402914084323213,139,1,COMPLETE
1,0.48089867553457144,2025-11-22 07:14:37.116759,2025-11-22 09:25:20.215991,0 days 02:10:43.099232,0.7366921151061402,0.027183278755107218,188,1,COMPLETE
2,-0.7534416163373643,2025-11-22 07:14:37.117479,2025-11-22 09:28:05.586883,0 days 02:13:28.469404,0.5722698313831547,0.0012912657444769085,3,1,COMPLETE
3,-29.148972385032227,2025-11-22 07:14:37.117933,2025-11-22 09:26:30.076806,0 days 02:11:52.958873,0.004425287953855207,0.08251778323310943,128,1,COMPLETE
4,-1.2597974338082742,2025-11-22 07:14:37.118726,2025-11-22 09:26:27.645576,0 days 02:11:50.526850,0.0010803421640796962,0.00048650664833313153,83,1,COMPLETE
5,-1.2999631272873018,2025-11-22 07:14:37.119524,2025-11-22 09:26:19.115137,0 days 02:11:41.995613,0.5481025850966234,0.04688039011890811,103,1,COMPLETE
6,-5.276137247296259,2025-11-22 07:14:37.120028,2025-11-22 09:25:36.821999,0 days 02:10:59.701971,0.002014677395855737,0.00027867504822979064,147,1,COMPLETE
7,1.4794502025984058,2025-11-22 07:14:37.121313,2025-11-22 09:27:47.535034,0 days 02:13:10.413721,0.18537130115422815,0.0010225774716789635,19,1,COMPLETE
8,-1.5209640184521467,2025-11-22 07:14:37.121697,2025-11-22 09:27:22.603767,0 days 02:12:45.482070,0.001431254493107135,0.0006369060955286584,44,1,COMPLETE
9,1.5518894375439012,2025-11-22 07:14:37.122236,2025-11-22 09:26:09.904946,0 days 02:11:32.782710,0.0015667702496223713,0.004143575303594178,122,1,COMPLETE
10,1.199402103556113,2025-11-22 07:14:37.123628,2025-11-22 09:25:52.836693,0 days 02:11:15.713065,0.007174472997603525,0.03802908712593217,144,1,COMPLETE
11,-7.929552540757514,2025-11-22 07:14:37.124748,2025-11-22 09:24:45.024473,0 days 02:10:07.899725,0.3812578473055551,0.000157580759536969,185,1,COMPLETE
12,-2.1539993603000225,2025-11-22 07:14:37.125136,2025-11-22 09:26:36.327784,0 days 02:11:59.202648,0.007071235689851219,0.000840359808642245,100,1,COMPLETE
13,0.22367276430786176,2025-11-22 07:14:37.125563,2025-11-22 09:26:21.312714,0 days 02:11:44.187151,0.025274641908732066,0.006785206326029098,118,1,COMPLETE
14,-0.2251795216011705,2025-11-22 07:14:37.125913,2025-11-22 09:25:44.459566,0 days 02:11:07.333653,0.0046944342529083565,0.03356077531876962,158,1,COMPLETE
15,1.6299613184889135,2025-11-22 07:14:37.127290,2025-11-22 09:26:15.698456,0 days 02:11:38.571166,0.008826011162004847,0.016621433471783676,121,1,COMPLETE
16,0.3812702582995248,2025-11-22 07:14:37.127781,2025-11-22 09:26:36.833526,0 days 02:11:59.705745,0.026274239439431243,0.042529927331402644,104,1,COMPLETE
17,-0.47737155911807455,2025-11-22 07:14:37.128227,2025-11-22 09:26:39.174375,0 days 02:12:02.046148,0.041159346682581935,0.0011084198457292217,112,1,COMPLETE
18,-5.630425320736619,2025-11-22 07:14:37.128612,2025-11-22 09:25:09.109290,0 days 02:10:31.980678,0.010053448987163075,0.00016448959179699103,199,1,COMPLETE
19,1.2677268369765025,2025-11-22 07:14:37.129049,2025-11-22 09:27:48.384615,0 days 02:13:11.255566,0.004655092078287649,0.008773622952475817,25,1,COMPLETE
20,-4.985855086569934,2025-11-22 07:14:37.129437,2025-11-22 09:26:59.762817,0 days 02:12:22.633380,0.04589274185276127,0.0002747469686883328,83,1,COMPLETE
21,-2.8527152440836763,2025-11-22 07:14:37.129898,2025-11-22 09:25:59.900469,0 days 02:11:22.770571,0.0012835300873251636,0.0005331378368140342,130,1,COMPLETE
22,-5.194302432791608,2025-11-22 07:14:37.130317,2025-11-22 09:26:31.247452,0 days 02:11:54.117135,0.0034953060108579657,0.0001718893668293135,110,1,COMPLETE
23,0.8774125667530409,2025-11-22 07:14:37.130785,2025-11-22 09:28:08.621689,0 days 02:13:31.490904,0.02377900831530998,0.002917303131410938,8,1,COMPLETE
24,-1.7461932782327811,2025-11-22 07:14:37.131140,2025-11-22 09:27:42.218123,0 days 02:13:05.086983,0.0011589950086938038,0.0009137748394603478,34,1,COMPLETE
25,1.9176318561424035,2025-11-22 09:24:45.028208,2025-11-22 11:31:02.727964,0 days 02:06:17.699756,0.1698222676276802,0.002553115550140835,67,1,COMPLETE
26,1.722934298938647,2025-11-22 09:25:09.111529,2025-11-22 11:31:09.208189,0 days 02:06:00.096660,0.15019577584509705,0.0025168483387529713,66,1,COMPLETE
27,1.8752154735603144,2025-11-22 09:25:20.218318,2025-11-22 11:36:59.655702,0 days 02:11:39.437384,0.1564157971719856,0.003043099943218055,69,1,COMPLETE
28,1.5303304800132855,2025-11-22 09:25:36.823741,2025-11-22 11:39:20.971200,0 days 02:13:44.147459,0.07328670178054994,0.002846411873457444,58,1,COMPLETE
29,1.9781570324164932,2025-11-22 09:25:44.461539,2025-11-22 11:39:16.614494,0 days 02:13:32.152955,0.13291812990358282,0.001847421417604582,56,1,COMPLETE
30,2.023766370601619,2025-11-22 09:25:52.838263,2025-11-22 11:39:22.555486,0 days 02:13:29.717223,0.14018712412026113,0.003792708806946531,57,1,COMPLETE
31,1.6167220163236506,2025-11-22 09:25:59.902165,2025-11-22 11:39:06.439404,0 days 02:13:06.537239,0.10663312237846798,0.0020399759576793636,56,1,COMPLETE
32,1.430415593908205,2025-11-22 09:26:07.345263,2025-11-22 11:39:14.885685,0 days 02:13:07.540422,0.11137104941788234,0.016898100900961503,58,1,COMPLETE
33,2.0315930438458207,2025-11-22 09:26:09.906014,2025-11-22 11:38:53.269875,0 days 02:12:43.363861,0.12392509183699064,0.0019670159494176937,71,1,COMPLETE
34,2.0498263656224296,2025-11-22 09:26:15.700120,2025-11-22 11:40:18.950108,0 days 02:14:03.249988,0.10425284335045626,0.002233695299780456,58,1,COMPLETE
35,1.8942830334253051,2025-11-22 09:26:19.116289,2025-11-22 11:40:50.132043,0 days 02:14:31.015754,0.13861641648571602,0.0022077843976101587,59,1,COMPLETE
36,1.4592372385933658,2025-11-22 09:26:21.313964,2025-11-22 11:40:12.770749,0 days 02:13:51.456785,0.09878092343302358,0.0022496977478258184,53,1,COMPLETE
37,0.6900397822839724,2025-11-22 09:26:27.649753,2025-11-22 11:40:35.429160,0 days 02:14:07.779407,0.1062167588823322,0.0021015205498546943,67,1,COMPLETE
38,1.2441731900962463,2025-11-22 09:26:30.077915,2025-11-22 11:40:27.809988,0 days 02:13:57.732073,0.11069671446721863,0.002131744372600309,57,1,COMPLETE
39,2.0498672021651947,2025-11-22 09:26:31.248549,2025-11-22 11:40:44.291668,0 days 02:14:13.043119,0.10848251773209318,0.0022664529731220937,56,1,COMPLETE
40,1.919343548819593,2025-11-22 09:26:36.330103,2025-11-22 11:40:49.177855,0 days 02:14:12.847752,0.16884897196398047,0.002481523775836949,55,1,COMPLETE
41,1.3777309193243414,2025-11-22 09:26:36.834578,2025-11-22 11:40:28.168013,0 days 02:13:51.333435,0.12868665686631087,0.0023121668141363803,62,1,COMPLETE
42,2.0053983700564926,2025-11-22 09:26:39.175952,2025-11-22 11:39:14.183812,0 days 02:12:35.007860,0.1188601708077291,0.002492560033858474,58,1,COMPLETE
43,1.523998209570399,2025-11-22 09:26:59.764550,2025-11-22 11:40:45.201703,0 days 02:13:45.437153,0.11433682332917622,0.0019198475606527722,57,1,COMPLETE
44,2.491418964388375,2025-11-22 09:27:22.605278,2025-11-22 11:41:02.588514,0 days 02:13:39.983236,0.1178807781711098,0.002238269176693313,58,1,COMPLETE
45,1.9505723458125643,2025-11-22 09:27:42.219703,2025-11-22 11:40:40.098664,0 days 02:12:57.878961,0.11703956337575858,0.015286551818524329,53,1,COMPLETE
46,1.0254688490246313,2025-11-22 09:27:47.536712,2025-11-22 11:40:45.271611,0 days 02:12:57.734899,0.11471626126871379,0.016076312823950906,61,1,COMPLETE
47,2.0509869308507533,2025-11-22 09:27:48.385433,2025-11-22 11:41:02.370299,0 days 02:13:13.984866,0.12894936840162669,0.002399503909821716,58,1,COMPLETE
48,2.242679617646725,2025-11-22 09:28:05.588467,2025-11-22 11:40:29.495978,0 days 02:12:23.907511,0.1059875276105157,0.002267916153632153,64,1,COMPLETE
49,2.0776942368529867,2025-11-22 09:28:08.622683,2025-11-22 11:40:50.437927,0 days 02:12:41.815244,0.11810060314629103,0.0024111519745879796,59,1,COMPLETE
50,1.771705300046618,2025-11-22 11:31:02.732969,2025-11-22 11:44:34.127069,0 days 00:13:31.394100,0.12592884973079,0.002422970242579739,58,1,COMPLETE
