number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,1.1593225548213868,2025-11-21 06:07:13.755951,2025-11-21 07:34:14.675275,0 days 01:27:00.919324,0.019440892855682252,0.013815511381686475,60,COMPLETE
1,0.2992391474754304,2025-11-21 06:07:13.756551,2025-11-21 07:34:00.529443,0 days 01:26:46.772892,0.5615820130916194,0.015719250444317566,108,COMPLETE
2,0.20340144379665293,2025-11-21 06:07:13.757204,2025-11-21 07:33:31.670306,0 days 01:26:17.913102,0.006223850680256721,0.05460177664761448,122,COMPLETE
3,1.1640960524734478,2025-11-21 06:07:13.757591,2025-11-21 07:34:17.594263,0 days 01:27:03.836672,0.0062501876840866085,0.008983263307033458,75,COMPLETE
4,0.2543683761035967,2025-11-21 06:07:13.758309,2025-11-21 07:35:11.118909,0 days 01:27:57.360600,0.29559518454226824,0.0072679082295459925,16,COMPLETE
5,-0.3016553886781871,2025-11-21 06:07:13.758737,2025-11-21 07:34:49.852954,0 days 01:27:36.094217,0.03592396839018367,0.0017923790150031961,37,COMPLETE
6,0.692459965234872,2025-11-21 06:07:13.759612,2025-11-21 07:32:19.359895,0 days 01:25:05.600283,0.0024521570390263784,0.021773010266569637,194,COMPLETE
7,-4.052865682936123,2025-11-21 06:07:13.760284,2025-11-21 07:33:18.206721,0 days 01:26:04.446437,0.00984651406904303,0.0002143131102221933,141,COMPLETE
8,0.08280195723052909,2025-11-21 06:07:13.761408,2025-11-21 07:34:23.827178,0 days 01:27:10.065770,0.2804026615124456,0.007942494245539002,65,COMPLETE
9,1.1068048883740775,2025-11-21 06:07:13.761812,2025-11-21 07:34:20.554895,0 days 01:27:06.793083,0.14415877981052538,0.00682506000893132,92,COMPLETE
10,1.0656145262422667,2025-11-21 06:07:13.762200,2025-11-21 07:34:53.602955,0 days 01:27:39.840755,0.02107271914247172,0.035160139234764,14,COMPLETE
11,-3.3328924304596907,2025-11-21 06:07:13.762597,2025-11-21 07:33:53.708192,0 days 01:26:39.945595,0.0039414938699770365,0.00021156284835982569,108,COMPLETE
12,-0.7696902915522066,2025-11-21 06:07:13.763245,2025-11-21 07:32:59.596205,0 days 01:25:45.832960,0.02840247267876613,0.06109308363143637,156,COMPLETE
13,-0.17930393129940722,2025-11-21 06:07:13.764014,2025-11-21 07:32:30.452074,0 days 01:25:16.688060,0.12524479906325028,0.0028378196777404737,189,COMPLETE
