number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
0,1.7148236057046207,2025-11-22 07:14:37.116328,2025-11-22 08:20:12.259230,0 days 01:05:35.142902,0.408157483790435,0.00018491067371010955,1,10,COMPLETE
1,1.4029708736638415,2025-11-22 07:14:37.117107,2025-11-22 08:21:08.141063,0 days 01:06:31.023956,0.006422511560860518,5.9428889151468e-06,1,2,COMPLETE
2,1.6870525694168628,2025-11-22 07:14:37.117747,2025-11-22 08:21:54.770380,0 days 01:07:17.652633,0.046668074728080745,0.0004227421248429881,1,14,COMPLETE
3,0.7806478718914732,2025-11-22 07:14:37.118659,2025-11-22 08:21:26.292687,0 days 01:06:49.174028,0.39937902756990024,1.9784229601786675e-06,1,7,COMPLETE
4,1.7245965240882466,2025-11-22 07:14:37.119456,2025-11-22 08:20:19.011946,0 days 01:05:41.892490,0.008207543231972002,0.00021860600985060103,1,10,COMPLETE
5,-0.3656215735744032,2025-11-22 07:14:37.120287,2025-11-22 08:21:45.259377,0 days 01:07:08.139090,0.01549556725114913,0.0005830239297084587,1,18,COMPLETE
6,1.9547601928044462,2025-11-22 07:14:37.120798,2025-11-22 08:21:08.057384,0 days 01:06:30.936586,0.017232972885504433,0.0001044562985057437,1,2,COMPLETE
7,1.7847091577707939,2025-11-22 07:14:37.121408,2025-11-22 08:22:20.683251,0 days 01:07:43.561843,0.19269160302203678,2.3039846286805907e-05,1,12,COMPLETE
8,1.5179185876492376,2025-11-22 07:14:37.122066,2025-11-22 08:22:53.822429,0 days 01:08:16.700363,0.14349234997512128,9.998713641541427e-05,1,20,COMPLETE
9,1.0997976965724048,2025-11-22 07:14:37.122629,2025-11-22 08:21:01.387094,0 days 01:06:24.264465,0.001812382804650729,0.0003937646242869679,1,18,COMPLETE
10,1.4666112138039202,2025-11-22 07:14:37.123463,2025-11-22 08:20:59.711149,0 days 01:06:22.587686,0.6983768940048135,1.0236946177378851e-05,1,13,COMPLETE
11,0.5622321836797571,2025-11-22 07:14:37.123923,2025-11-22 08:22:29.070640,0 days 01:07:51.946717,0.03804056849947817,0.0007700032301890655,1,15,COMPLETE
12,1.3687978960413567,2025-11-22 07:14:37.124431,2025-11-22 08:22:25.846103,0 days 01:07:48.721672,0.1356509740468468,6.32985653728767e-06,1,19,COMPLETE
13,1.5161841257930726,2025-11-22 07:14:37.124911,2025-11-22 08:22:52.118245,0 days 01:08:14.993334,0.0013877903074515476,0.0001236160887138695,1,21,COMPLETE
14,1.7593400019049854,2025-11-22 07:14:37.125842,2025-11-22 08:21:28.519973,0 days 01:06:51.394131,0.0015291891915266609,3.961078981064698e-05,1,19,COMPLETE
