number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
0,2.7499975767457134,2025-11-22 07:14:37.116149,2025-11-22 09:18:37.593827,0 days 02:04:00.477678,0.41147051827200243,0.0003734532049478497,1,1,COMPLETE
1,2.5197741324538847,2025-11-22 07:14:37.116741,2025-11-22 09:18:51.494263,0 days 02:04:14.377522,0.0072657069550331205,0.00044904540332464806,1,3,COMPLETE
2,2.764951017420174,2025-11-22 07:14:37.117560,2025-11-22 09:18:55.602374,0 days 02:04:18.484814,0.1263471785257221,2.907764814470772e-05,1,9,COMPLETE
3,2.6406596265661126,2025-11-22 07:14:37.118230,2025-11-22 09:18:11.736305,0 days 02:03:34.618075,0.006495296837767542,0.00012907190089741827,1,13,COMPLETE
4,2.8117000220057973,2025-11-22 07:14:37.119053,2025-11-22 09:18:27.684765,0 days 02:03:50.565712,0.022185064083407532,0.00042226181676526447,1,6,COMPLETE
5,0.3702520713179588,2025-11-22 07:14:37.120056,2025-11-22 09:19:30.727760,0 days 02:04:53.607704,0.00291159866369469,1.341667118324336e-06,1,12,COMPLETE
6,2.6089172359029034,2025-11-22 07:14:37.120916,2025-11-22 09:19:21.446830,0 days 02:04:44.325914,0.002343833026965822,0.00037880765360360114,1,9,COMPLETE
7,2.653900533099472,2025-11-22 07:14:37.121856,2025-11-22 09:18:48.668138,0 days 02:04:11.546282,0.12198335603714101,1.658932558483161e-05,1,6,COMPLETE
8,2.3709344550301683,2025-11-22 07:14:37.122676,2025-11-22 09:19:49.719350,0 days 02:05:12.596674,0.0939789071428404,2.114755790134123e-05,1,7,COMPLETE
9,2.57050355389378,2025-11-22 07:14:37.123145,2025-11-22 09:19:05.679040,0 days 02:04:28.555895,0.11222585604986864,7.074664762483769e-05,1,6,COMPLETE
10,2.106468672337894,2025-11-22 07:14:37.123652,2025-11-22 09:19:17.556526,0 days 02:04:40.432874,0.8045974241055555,6.296820266947562e-06,1,14,COMPLETE
11,2.5246709282952597,2025-11-22 07:14:37.124594,2025-11-22 09:18:26.894067,0 days 02:03:49.769473,0.0060966126889302145,0.00016920401835880238,1,5,COMPLETE
12,2.034680146563254,2025-11-22 07:14:37.125241,2025-11-22 09:19:57.469812,0 days 02:05:20.344571,0.0010467979337190848,9.102760507225315e-06,1,21,COMPLETE
13,2.5654522841473333,2025-11-22 07:14:37.125698,2025-11-22 09:19:02.052762,0 days 02:04:24.927064,0.0012467202128206604,4.96750392407138e-05,1,14,COMPLETE
