number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
0,-0.38923139072718593,2025-11-21 06:07:13.755417,2025-11-21 06:47:22.732768,0 days 00:40:08.977351,0.17302583040895064,1.257872991572135e-06,3,COMPLETE
1,-0.029004724530711998,2025-11-21 06:07:13.756169,2025-11-21 06:47:22.352632,0 days 00:40:08.596463,0.2805101028926965,1.3313975155331215e-06,9,COMPLETE
2,0.5028078964555156,2025-11-21 06:07:13.756526,2025-11-21 06:48:27.257956,0 days 00:41:13.501430,0.11080636070687752,1.1679784060039956e-05,15,COMPLETE
3,1.4471344898165852,2025-11-21 06:07:13.757354,2025-11-21 06:47:53.617940,0 days 00:40:39.860586,0.0021835400803103776,0.0004580245551061602,14,COMPLETE
4,0.15879945134321038,2025-11-21 06:07:13.757951,2025-11-21 06:47:34.441904,0 days 00:40:20.683953,0.06131479057620083,5.112599702560283e-06,19,COMPLETE
5,0.42841071030120176,2025-11-21 06:07:13.758843,2025-11-21 06:46:55.004050,0 days 00:39:41.245207,0.2239318637061291,7.1626553161661906e-06,10,COMPLETE
6,0.5286063250291634,2025-11-21 06:07:13.759341,2025-11-21 06:48:39.729327,0 days 00:41:25.969986,0.5501569092581655,1.4758516104283207e-05,21,COMPLETE
7,1.105772430993563,2025-11-21 06:07:13.759922,2025-11-21 06:48:41.517530,0 days 00:41:27.757608,0.00300797971377692,0.00045237863039404526,12,COMPLETE
8,1.088482263368942,2025-11-21 06:07:13.760666,2025-11-21 06:47:37.539443,0 days 00:40:23.778777,0.14712243279888204,0.0003206012555569515,3,COMPLETE
9,1.2145984557814764,2025-11-21 06:07:13.761294,2025-11-21 06:46:48.622605,0 days 00:39:34.861311,0.04253452624279768,0.0004493067749382927,10,COMPLETE
10,0.8743731692759743,2025-11-21 06:07:13.761755,2025-11-21 06:48:02.899468,0 days 00:40:49.137713,0.014000476204328047,0.0001814905486990017,15,COMPLETE
11,1.0296297671898191,2025-11-21 06:07:13.762235,2025-11-21 06:47:18.063749,0 days 00:40:04.301514,0.0014759685131431064,0.0005406154585708841,11,COMPLETE
12,0.8693012849790709,2025-11-21 06:07:13.763166,2025-11-21 06:48:06.875014,0 days 00:40:53.111848,0.007830835108904819,6.200201228603172e-05,14,COMPLETE
13,0.6946993400229937,2025-11-21 06:07:13.763906,2025-11-21 06:47:47.109956,0 days 00:40:33.346050,0.31798177217312235,1.1737996102445727e-05,11,COMPLETE
14,1.2015471579293011,2025-11-21 06:07:13.764653,2025-11-21 06:47:49.062509,0 days 00:40:35.297856,0.20911109322878535,0.00022796960363074225,9,COMPLETE
