#{"t_start": 1765983727.382072, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-0.07526493799790675,1,1.206196,-0.07526493799790675,nan,nan,[2215.63060279 1770.40022655 2250.56293946],nan,[6241.29127281],[94.51264956 71.93728544 69.06716921],[94.51264956 71.93728544 69.06716921],[95.13002493 72.63002493 70.13002493],[ 0.61737537 23.19273949 26.06285572],[ 0.61737537 23.19273949 26.06285572],[ 0.  22.5 25. ],95.13002493126206,10.0,0.030642291936707217
-0.010233714272631722,1,1.206737,-0.010233714272631722,nan,nan,[2132.80878929 1842.10763753 2333.38329304],nan,[6308.9453593],[95.15610321 75.74610336 71.72819479],[95.15610321 75.74610336 71.72819479],[95.37311657 75.37311657 71.62311657],[ 0.21701336 19.62701321 23.64492178],[ 0.21701336 19.62701321 23.64492178],[ 0.   20.   23.75],95.37311656907202,10.0,0.06710827179211071
-0.00125305693261706,1,1.207024,-0.00125305693261706,nan,nan,[1769.93912977 1015.32790658 2136.86654806],nan,[4922.19526232],[90.33707502 59.39911726 61.76792505],[90.33707502 59.39911726 61.76792505],[90.8203161 60.8203161 62.0703161],[ 0.48324108 31.42119884 29.05239105],[ 0.48324108 31.42119884 29.05239105],[ 0.   30.   28.75],90.82031610334184,10.0,0.04518943042828853
-0.07365744559938256,1,1.207304,-0.07365744559938256,nan,nan,[1927.13633238 1191.02647122 2128.83317842],nan,[5250.86363404],[91.30405283 61.77928782 62.57981157],[91.30405283 61.77928782 62.57981157],[91.83169699 63.08169699 63.08169699],[ 0.52764416 30.05240917 29.25188541],[ 0.52764416 30.05240917 29.25188541],[ 0.   28.75 28.75],91.83169698819889,10.0,0.041939702007676175
-0.0015942419719872866,1,1.207585,-0.0015942419719872866,nan,nan,[1915.71224009 1471.31561498 2198.98518383],nan,[5586.10209488],[92.56497341 69.23065382 65.43576675],[92.56497341 69.23065382 65.43576675],[92.89579349 69.14579349 65.39579349],[ 0.33082008 23.66513968 27.46002674],[ 0.33082008 23.66513968 27.46002674],[ 0.   23.75 27.5 ],92.89579349133645,10.0,0.06677289099647596
-0.003142427456101729,1,1.20786,-0.003142427456101729,nan,nan,[2070.08276242 1501.54566786 2230.37037351],nan,[5802.18113312],[93.10402827 68.0521913  67.00384097],[93.10402827 68.0521913  67.00384097],[93.62254576 68.62254576 67.37254576],[ 0.51851749 25.57035446 26.6187048 ],[ 0.51851749 25.57035446 26.6187048 ],[ 0.   25.   26.25],93.62254576311919,10.0,0.04667635158182373
-0.01364806039641282,1,1.208138,-0.01364806039641282,nan,nan,[1630.39740253 1012.98113466 2096.0221297 ],nan,[4740.04759145],[89.86589845 60.69215234 60.15572961],[89.86589845 60.69215234 60.15572961],[90.20842012 61.45842012 60.20842012],[ 0.34252167 29.51626778 30.05269051],[ 0.34252167 29.51626778 30.05269051],[ 0.   28.75 30.  ],90.20842012052273,10.0,0.05944730164342308
0.003518453100439397,1,1.208414,0.003518453100439397,nan,nan,[2122.50107533 1664.65153014 2246.14409151],nan,[6033.08442574],[94.06402731 70.62834882 68.23353433],[94.06402731 70.62834882 68.23353433],[94.41905164 70.66905164 68.16905164],[ 0.35502434 23.79070282 26.18551731],[ 0.35502434 23.79070282 26.18551731],[ 0.   23.75 26.25],94.41905164460523,10.0,0.06221452780206103
-0.027916985830023916,1,1.208693,-0.027916985830023916,nan,nan,[1844.94937541 1067.69563075 2135.75274985],nan,[5049.80751006],[90.71317985 59.74700286 62.12876155],[90.71317985 59.74700286 62.12876155],[91.20889499 61.20889499 62.45889499],[ 0.49571514 31.46189213 29.08013344],[ 0.49571514 31.46189213 29.08013344],[ 0.   30.   28.75],91.20889499138522,10.0,0.04409596989056186
-0.029984928086123783,1,1.208973,-0.029984928086123783,nan,nan,[1819.95521398 1079.49559412 2156.60002309],nan,[5057.56733912],[90.87507661 60.22365507 62.68316205],[90.87507661 60.22365507 62.68316205],[91.23948511 61.23948511 62.48948511],[ 0.36440849 31.01583004 28.55632305],[ 0.36440849 31.01583004 28.55632305],[ 0.   30.   28.75],91.23948510576196,10.0,0.058525969457816386
