,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0. 30. 30.],[1515.23729867  742.25481022 2338.52158671],[1508.49770347  737.80762751 2326.62299108]
1,10,90.0,0.05,[ 0.   28.75 30.  ],[1509.51232357  784.7950384  2338.52158671],[1502.52435789  780.69860311 2326.62299108]
2,10,90.0,0.075,[ 0.   27.5  28.75],[1502.3358653   837.72637837 2379.96784481],[1495.13851115  833.73293452 2366.60637073]
3,10,92.0,0.025,[ 0.   28.75 27.5 ],[1883.6421736   964.23063557 2419.62694385],[1875.27470308  959.09071342 2404.41932633]
4,10,92.0,0.05,[ 0.  27.5 27.5],[1838.32854613 1008.27369501 2419.62694385],[1829.82090731 1003.33186916 2404.41932633]
5,10,92.0,0.075,[ 0.   26.25 27.5 ],[1795.17576764 1077.79840697 2419.62694385],[1786.16683601 1072.60988912 2404.41932633]
6,10,94.0,0.025,[ 0. 25. 25.],[2122.00934965 1283.96129177 2492.82551086],[2110.70455866 1277.97945132 2478.5364094 ]
7,10,94.0,0.05,[ 0. 25. 25.],[2101.81753101 1300.19305375 2492.82551086],[2089.67808501 1294.16560697 2478.5364094 ]
8,10,94.0,0.075,[ 0.  22.5 25. ],[2019.67958782 1382.56063676 2492.82551086],[2007.56055959 1374.36274623 2478.5364094 ]
9,10,96.0,0.025,[ 0.   21.25 22.5 ],[2288.31865336 1625.62732619 2558.6803271 ],[2277.69813133 1617.55432989 2546.04436488]
10,10,96.0,0.05,[ 0.  20.  22.5],[2246.86085134 1666.51042266 2558.6803271 ],[2236.64369235 1657.05897617 2546.04436488]
11,10,96.0,0.075,[ 0.   18.75 22.5 ],[2195.25483784 1710.41289685 2558.6803271 ],[2184.90438016 1698.59520346 2546.04436488]
