,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.    0.   12.5  12.5  12.5  12.5  16.25 16.25 16.25 17.5
 17.5  17.5  17.5  18.75 25.   20.   20.   25.   25.   25.   25.   25.
 32.5  31.25 31.25 32.5  32.5  32.5  32.5  33.75]","[1764.69010894 1934.935071   1636.87532833 1792.6527883  1649.13955702
 1759.80235847 1736.72357502 1465.40730603 1545.68213014 1542.14443668
 1578.1135824  1793.28721531 1647.07007234 1734.26718601 1717.97855256
 1842.75138869 1646.32917087 1631.37949153 1858.75789773 1374.07148182
 1441.07323286 1373.13486408 1468.38430114 1551.05985485 1138.06493835
 1018.53231926  835.34770772  886.47111037 2009.30709523 1746.18273891
 2031.63965103 1838.84977054]","[1755.00789995 1925.84853628 1628.64598373 1783.66297586 1640.6370059
 1749.96786894 1725.5935566  1457.71145605 1538.61361701 1535.14443087
 1571.00416194 1784.30514338 1638.4183407  1722.94653682 1705.87489312
 1834.26020513 1637.84545524 1623.28402542 1850.27823295 1366.4143277
 1432.72909369 1365.6735613  1460.90850405 1544.19763799 1130.38306244
 1013.74514677  831.37851791  881.26825759 1997.67381111 1735.50714761
 2018.88102371 1830.26245258]"
1,10,90.0,0.05,"[ 0.    0.    0.    0.   11.25 11.25 11.25 13.75 16.25 16.25 16.25 16.25
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 30.   30.   31.25 31.25 32.5  32.5  33.75 33.75]","[1721.62705377 1893.04571748 1599.85727861 1755.59699611 1632.5763649
 1749.54253608 1707.51536344 1401.51280093 1512.10770185 1506.5296463
 1546.94687892 1732.56104159 1598.0541435  1675.68252194 1663.99451654
 1769.48682801 1565.66442183 1594.55277635 1804.83417694 1482.05999147
 1385.91792521 1335.23503288 1456.50489479 1528.99067378 1197.98010359
 1064.74290714  874.67000081  899.64808344 2009.30709523 1746.18273891
 1979.18141419 1838.84977054]","[1709.56246545 1884.51597082 1592.72733814 1745.6777337  1624.53112484
 1739.14719103 1696.09647857 1392.49261546 1505.06442583 1499.41020261
 1539.92523073 1721.16310158 1591.00954697 1665.96587288 1654.9051757
 1759.96889792 1558.57317466 1587.46584603 1795.96501087 1474.67885866
 1377.833925   1328.9099016  1448.67050711 1522.07374363 1191.5983803
 1059.95600707  869.88058232  893.64704156 1997.67381111 1735.50714761
 1968.85262187 1830.26245258]"
2,10,90.0,0.075,"[ 0.    0.    0.    0.   11.25 11.25 11.25 12.5  16.25 16.25 16.25 15.
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 28.75 28.75 30.   30.   30.   30.   31.25 32.5 ]","[1710.7842708  1877.17384504 1599.9756053  1726.92859915 1619.94266498
 1734.12284046 1695.56394667 1410.48096808 1500.06418809 1489.4053406
 1538.25704243 1718.7997039  1573.27852929 1647.47987391 1644.39388699
 1740.46177867 1519.97715211 1553.82984776 1752.90634297 1441.66949658
 1347.71979771 1289.76160752 1404.409137   1500.83106721 1223.97927586
 1096.16056739  906.77698801  925.10359566 2111.06615164 1858.89421745
 2082.67918072 1893.99342273]","[1699.21918183 1868.6473031  1592.89141556 1715.19123828 1612.23964113
 1722.78488205 1684.72172328 1401.03390645 1492.88704758 1482.10939046
 1531.25457231 1706.61280525 1566.23286838 1638.99962942 1635.97642636
 1729.55413688 1512.90162716 1546.82595973 1742.71830591 1433.08159034
 1341.09033293 1283.93945666 1395.19062543 1493.62743147 1218.04098906
 1090.51233838  900.43028157  918.59884413 2099.36363992 1850.36827861
 2069.42408931 1885.41399894]"
3,10,92.0,0.025,"[ 0.    0.    0.    0.   11.25 10.   10.   10.   15.   12.5  12.5  11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   25.   20.   25.
 31.25 30.   32.5  25.   28.75 28.75 28.75 27.5 ]","[1750.9082062  1971.63262244 1561.23452382 1724.72833935 1616.93508965
 1876.51546648 1738.92572092 1571.80728504 1454.40731028 1751.48302196
 1706.2181395  1937.11571171 1650.51738408 1947.0943796  1915.18005993
 2063.80387105 1927.26163758 1961.57691125 2141.69872408 1868.97756245
 1633.95910035 1556.92885154 1872.6780204  1786.90200043 1314.8339364
 1206.06127233  970.17215484 1082.9408916  2160.73596212 1913.41138604
 2181.5918107  2103.23470926]","[1741.0821503  1961.46428045 1554.73641506 1712.89454439 1609.21361572
 1867.91539816 1728.06762969 1564.67197743 1446.8081583  1741.05057347
 1694.89468059 1927.83011164 1642.33353181 1937.596622   1906.5150816
 2049.45123394 1918.61223571 1951.71232345 2130.62011186 1860.48882834
 1625.99726442 1549.93996614 1864.20274665 1777.79075931 1308.89271586
 1199.99323701  965.24289454 1077.68097958 2150.04261174 1904.80237272
 2171.09718997 2091.15130435]"
4,10,92.0,0.05,"[ 0.    0.    0.    0.   10.   10.   10.   10.   15.   11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 18.75 25.
 30.   30.   30.   25.   30.   30.   30.   28.75]","[1705.08343763 1951.55957617 1544.38863951 1726.79913539 1616.48294594
 1841.60451022 1704.6841319  1574.59330018 1454.08095953 1744.02489217
 1699.98459475 1908.24772078 1633.13045718 1890.80977074 1877.84558961
 2007.35910152 1884.7831669  1889.42031364 2062.263845   1809.26219219
 1607.84150083 1731.16468305 1853.57194131 1761.28078485 1392.59436728
 1243.12950874 1067.87039465 1120.48658631 2111.06615164 1858.89421745
 2132.54244587 2052.87544588]","[1694.06921239 1941.95528606 1537.94816894 1715.10615009 1608.70380829
 1833.05317763 1693.63493389 1567.470401   1446.21425453 1733.19548696
 1688.73884566 1899.59966896 1625.14574154 1882.22564826 1869.25226617
 1995.82546544 1876.33824175 1880.83441761 2047.83594652 1800.43623158
 1600.56614911 1719.64145712 1845.1013972  1751.51404955 1383.90226191
 1237.37545345 1063.01002588 1113.8553887  2099.36363992 1850.36827861
 2121.36016907 2038.97860677]"
5,10,92.0,0.075,"[ 0.    0.    0.    0.   10.    8.75  8.75  8.75 16.25 11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 17.5  25.
 27.5  28.75 28.75 25.   28.75 28.75 28.75 27.5 ]","[1707.58061858 1916.4705437  1530.6705018  1700.47754944 1627.59490723
 1831.5973836  1697.02227506 1588.7372517  1434.777513   1708.0158233
 1674.807947   1873.8880993  1600.65418064 1840.51232457 1836.15319255
 1952.83379896 1820.10942578 1824.71895956 1982.2508433  1747.61068732
 1537.46956589 1672.77495739 1812.7710001  1709.66299275 1447.04340449
 1281.51820252 1107.96498044 1124.49564738 2160.73596212 1913.41138604
 2181.5918107  2103.23470926]","[1696.46471833 1907.81468887 1523.96075606 1689.49760409 1619.41940401
 1822.94324461 1686.5961661  1581.57461027 1425.51473687 1696.470998
 1664.8562452  1865.25855326 1593.35544538 1831.95201515 1827.49460314
 1942.93848134 1811.59472415 1815.98914002 1971.82343987 1736.2668924
 1530.56476751 1663.17067872 1803.96653053 1698.04573639 1438.72366361
 1275.70163869 1101.97785234 1117.66821743 2150.04261174 1904.80237272
 2171.09718997 2091.15130435]"
6,10,94.0,0.025,"[ 0.    0.    0.    0.   20.   10.   10.   12.5  20.   20.   20.   17.5
 22.5  18.75 18.75 18.75 25.   20.   17.5  20.   25.   25.   25.   25.
 27.5  26.25 26.25 25.   27.5  27.5  27.5  25.  ]","[2219.42313595 2077.74174973 1742.28845929 1936.06489072 1859.10372704
 1943.86833608 1918.86928684 1583.12959371 1765.41329308 1629.98704933
 1667.15085547 2011.22389431 1848.70638651 2054.90904129 1983.81434007
 2155.18354251 2063.60496738 2105.30231228 2328.41849897 1854.70482197
 1797.55805129 1695.63650347 1859.78398277 1978.83938032 1688.97398739
 1548.63409061 1369.88384797 1277.33403404 2208.76205411 1967.2625106
 2228.84614368 2201.31488003]","[2209.24993254 2064.56168282 1730.65809819 1927.0219405  1850.59575746
 1935.24274422 1910.18356499 1576.15995131 1755.73080845 1624.98682161
 1657.9277786  1999.49248167 1840.19393851 2040.71298297 1973.26095274
 2144.15615399 2049.3688708  2093.30810935 2316.71309081 1846.03758295
 1788.69611946 1684.86140405 1851.29236309 1968.53743846 1678.48293327
 1541.66658245 1362.46123053 1271.52706113 2198.52633117 1957.25223053
 2218.64167235 2191.00819501]"
7,10,94.0,0.05,"[ 0.    0.    0.    0.   17.5  11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   17.5  18.75 25.   18.75 18.75 20.   25.   25.   25.   25.
 26.25 28.75 25.   25.   27.5  26.25 26.25 25.  ]","[2137.03354259 2102.5913508  1795.36033032 1945.35010896 1879.16516399
 1952.61022313 1974.71985338 1663.79175424 1722.10006812 1659.11904518
 1705.46901272 2047.59480417 1854.24341663 2013.56128579 2034.88690191
 2159.97047197 2034.19420434 2101.92687122 2268.39531398 1836.84113094
 1766.7179356  1701.14315787 1817.40114015 1951.97729352 1726.63016884
 1447.22676787 1385.5083379  1283.98945068 2208.76205411 2019.89345663
 2274.31227165 2201.31488003]","[2125.99715494 2090.47682412 1786.71226992 1935.97831227 1870.62036485
 1942.9617716  1964.90816039 1654.81259927 1709.97118378 1650.12503036
 1694.38426755 2034.02487637 1845.78196154 2001.54352085 2021.95192408
 2149.17074396 2021.38150104 2089.51783877 2258.11420244 1828.21306967
 1757.18224011 1689.210934   1808.60992694 1942.37264455 1714.78197292
 1438.99296481 1377.24534958 1278.16383319 2198.52633117 2007.72672305
 2263.99949944 2191.00819501]"
8,10,94.0,0.075,"[ 0.    0.    0.    0.   16.25 11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   18.75 18.75 21.25 20.   18.75 18.75 25.   25.   21.25 21.25
 25.   25.   26.25 25.   26.25 26.25 26.25 25.  ]","[2068.98762276 2104.71845145 1838.09498179 1954.61075362 1855.17111179
 1957.24457313 2006.29150531 1679.44793499 1664.89197588 1653.39465052
 1729.64685642 2037.1454881  1753.85551868 1967.19569082 1986.12606372
 2108.61291571 2035.67174486 1956.43101024 2181.57113973 1789.8350418
 1722.90000113 1619.29258571 1907.82373319 2019.14506957 1736.23849652
 1576.63207456 1364.96710507 1296.11123032 2255.06537201 2019.89345663
 2274.31227165 2201.31488003]","[2055.0493853  2092.73008864 1829.64233785 1944.95968802 1846.66161916
 1947.49217486 1994.82295892 1669.58993118 1655.65582571 1644.64022497
 1718.07456694 2024.10896379 1743.84831015 1957.12883165 1975.61485693
 2096.75952975 2022.75838679 1946.68463453 2171.08789426 1780.68821451
 1710.9110246  1611.56106739 1899.22698559 2007.01129212 1724.96583971
 1569.56802647 1357.71996664 1290.25665511 2244.82094725 2007.72672305
 2263.99949944 2191.00819501]"
9,10,96.0,0.025,"[ 0.    0.    0.    0.   16.25 10.   10.   10.   17.5  15.   15.   15.
 20.   16.25 15.   15.   22.5  16.25 16.25 15.   18.75 17.5  17.5  17.5
 25.   25.   20.   22.5  26.25 25.   25.   25.  ]","[2304.02590476 2086.45574217 1834.87770341 1960.35539934 2048.55996946
 1917.36420277 1857.172039   1602.60780892 1936.15293723 1635.45746845
 1597.90748419 1860.09712626 1970.3834314  1879.05020221 1853.22088547
 2000.41580941 2156.25177688 2107.88285024 2266.52091233 1955.352274
 2103.42788837 2086.28222536 2164.70015312 2324.84749231 2025.58306151
 1767.78613547 1766.34033786 1587.25312789 2255.06537201 2071.26514832
 2318.58211085 2201.31488003]","[2292.98053437 2072.68059526 1826.28185403 1950.69842905 2034.94988493
 1906.87934654 1848.84685697 1595.2968473  1927.07502652 1625.47216171
 1590.89219457 1851.62542091 1960.34648191 1869.79567494 1844.69725921
 1988.76751905 2145.6823925  2095.81633768 2255.98669138 1945.45493999
 2091.79136024 2073.32124809 2154.08602483 2313.31115051 2013.180843
 1758.24363427 1756.72045761 1580.19713718 2244.82094725 2057.35944521
 2307.17597473 2191.00819501]"
