,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.    0.   12.5  12.5  12.5  12.5  16.25 16.25 16.25 17.5
 17.5  17.5  17.5  18.75 25.   20.   20.   25.   25.   25.   25.   25.
 32.5  31.25 31.25 32.5  32.5  32.5  32.5  33.75]","[1800.64600799 1813.12771916 1810.89915067 1800.2332269  1744.98837448
 1757.87111351 1755.6208771  1758.6714909  1687.62151791 1696.75537287
 1695.63799905 1680.39001438 1694.65179904 1680.61217825 1680.70143404
 1679.72776298 1467.98655408 1649.50673143 1657.44708972 1534.82762032
 1476.25285751 1463.96972668 1452.75339605 1434.05573319 1003.84556053
 1026.53840318 1018.03999599  996.26479846 1996.56114519 1996.56114519
 1996.56114519 1945.64368992]","[1800.64600799 1813.12771916 1810.89915067 1800.2332269  1744.98837448
 1757.87111351 1755.6208771  1758.6714909  1687.62151791 1696.75537287
 1695.63799905 1680.39001438 1694.65179904 1680.61217825 1680.70143404
 1679.72776298 1467.98655408 1649.50673143 1657.44708972 1534.82762032
 1476.25285751 1463.96972668 1452.75339605 1434.05573319 1003.84556053
 1026.53840318 1018.03999599  996.26479846 1996.56114519 1996.56114519
 1996.56114519 1945.64368992]"
1,10,90.0,0.05,"[ 0.    0.    0.    0.   11.25 11.25 11.25 13.75 16.25 16.25 16.25 16.25
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 30.   30.   31.25 31.25 32.5  32.5  33.75 33.75]","[1758.12507613 1770.08721675 1769.02293804 1768.09793893 1726.63903587
 1738.15000613 1736.83206854 1678.46362444 1648.56215144 1657.45647947
 1657.84776198 1633.10691064 1634.55062924 1623.81179393 1627.55591847
 1603.7075308  1395.37830437 1609.91416136 1627.6528831  1599.0799719
 1419.65340857 1427.00251668 1447.24518031 1404.55545329 1069.69770586
 1066.04683182 1064.33091094 1038.93315753 1996.56114519 1996.56114519
 1945.64368992 1945.64368992]","[1758.12507613 1770.08721675 1769.02293804 1768.09793893 1726.63903587
 1738.15000613 1736.83206854 1678.46362444 1648.56215144 1657.45647947
 1657.84776198 1633.10691064 1634.55062924 1623.81179393 1627.55591847
 1603.7075308  1395.37830437 1609.91416136 1627.6528831  1599.0799719
 1419.65340857 1427.00251668 1447.24518031 1404.55545329 1069.69770586
 1066.04683182 1064.33091094 1038.93315753 1996.56114519 1996.56114519
 1945.64368992 1945.64368992]"
2,10,90.0,0.075,"[ 0.    0.    0.    0.   11.25 11.25 11.25 12.5  16.25 16.25 16.25 15.
 17.5  17.5  17.5  17.5  25.   18.75 18.75 18.75 25.   25.   25.   25.
 28.75 28.75 30.   30.   30.   30.   31.25 32.5 ]","[1747.20965834 1758.11985731 1757.03898575 1737.02640047 1711.64046207
 1721.71021045 1720.5626006  1669.734637   1630.57835234 1639.24738077
 1639.84873551 1635.06133393 1603.53237783 1596.96775317 1601.15004664
 1580.88884954 1352.81833621 1565.27059976 1583.62263041 1563.46359678
 1372.71760213 1378.38400712 1397.04191836 1374.37169989 1097.69739588
 1093.92196828 1092.55827968 1096.66981753 2098.20875695 2098.20875695
 2045.50952763 1996.56114519]","[1747.20965834 1758.11985731 1757.03898575 1737.02640047 1711.64046207
 1721.71021045 1720.5626006  1669.734637   1630.57835234 1639.24738077
 1639.84873551 1635.06133393 1603.53237783 1596.96775317 1601.15004664
 1580.88884954 1352.81833621 1565.27059976 1583.62263041 1563.46359678
 1372.71760213 1378.38400712 1397.04191836 1374.37169989 1097.69739588
 1093.92196828 1092.55827968 1096.66981753 2098.20875695 2098.20875695
 2045.50952763 1996.56114519]"
3,10,92.0,0.025,"[ 0.    0.    0.    0.   11.25 10.   10.   10.   15.   12.5  12.5  11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   25.   20.   25.
 31.25 30.   32.5  25.   28.75 28.75 28.75 27.5 ]","[1950.00429418 1873.35540546 1879.40989712 1870.8690227  1926.38578722
 1875.65089761 1872.83391831 1853.86293703 1885.81649512 1903.14570093
 1895.86032457 1907.1821673  1914.8198377  1903.09620907 1897.60281645
 1894.51491776 1921.26620283 1990.66428337 1958.74952538 1943.44408037
 1667.63793015 1683.7962407  1855.36194516 1589.04654376 1164.89930442
 1226.74834142 1173.46403508 1313.83753702 2148.93674388 2148.93674388
 2148.93674388 2197.46933402]","[1950.00429418 1873.35540546 1879.40989712 1870.8690227  1926.38578722
 1875.65089761 1872.83391831 1853.86293703 1885.81649512 1903.14570093
 1895.86032457 1907.1821673  1914.8198377  1903.09620907 1897.60281645
 1894.51491776 1921.26620283 1990.66428337 1958.74952538 1943.44408037
 1667.63793015 1683.7962407  1855.36194516 1589.04654376 1164.89930442
 1226.74834142 1173.46403508 1313.83753702 2148.93674388 2148.93674388
 2148.93674388 2197.46933402]"
4,10,92.0,0.05,"[ 0.    0.    0.    0.   10.   10.   10.   10.   15.   11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 18.75 25.
 30.   30.   30.   25.   30.   30.   30.   28.75]","[1890.13618653 1855.05535505 1857.5235351  1853.5247208  1889.43673109
 1837.93078931 1836.00023934 1832.75424708 1833.0377749  1876.71636386
 1874.23584541 1873.09435273 1859.09218675 1845.77642639 1846.33895103
 1849.18459777 1868.83948524 1869.00260825 1875.62596811 1899.88390307
 1638.61254289 1816.45303563 1823.77922103 1583.89931367 1244.61819394
 1273.44616264 1281.94744523 1362.68643826 2098.20875695 2098.20875695
 2098.20875695 2148.93674388]","[1890.13618653 1855.05535505 1857.5235351  1853.5247208  1889.43673109
 1837.93078931 1836.00023934 1832.75424708 1833.0377749  1876.71636386
 1874.23584541 1873.09435273 1859.09218675 1845.77642639 1846.33895103
 1849.18459777 1868.83948524 1869.00260825 1875.62596811 1899.88390307
 1638.61254289 1816.45303563 1823.77922103 1583.89931367 1244.61819394
 1273.44616264 1281.94744523 1362.68643826 2098.20875695 2098.20875695
 2098.20875695 2148.93674388]"
5,10,92.0,0.075,"[ 0.    0.    0.    0.   10.    8.75  8.75  8.75 16.25 11.25 11.25 11.25
 15.   15.   15.   15.   15.   15.   15.   15.   25.   18.75 17.5  25.
 27.5  28.75 28.75 25.   28.75 28.75 28.75 27.5 ]","[1854.1500276  1820.65289697 1821.66095737 1817.62405324 1853.39021631
 1820.72616125 1819.23332859 1816.88388933 1761.81986926 1835.53399687
 1833.31790559 1834.42433526 1798.77713773 1796.29797355 1794.06759313
 1801.46597858 1797.586926   1810.64803459 1799.42119056 1847.81438597
 1566.55467681 1750.95633296 1782.64265432 1552.65241951 1308.83823543
 1309.35026973 1317.74349744 1370.01891111 2148.93674388 2148.93674388
 2148.93674388 2197.46933402]","[1854.1500276  1820.65289697 1821.66095737 1817.62405324 1853.39021631
 1820.72616125 1819.23332859 1816.88388933 1761.81986926 1835.53399687
 1833.31790559 1834.42433526 1798.77713773 1796.29797355 1794.06759313
 1801.46597858 1797.586926   1810.64803459 1799.42119056 1847.81438597
 1566.55467681 1750.95633296 1782.64265432 1552.65241951 1308.83823543
 1309.35026973 1317.74349744 1370.01891111 2148.93674388 2148.93674388
 2148.93674388 2197.46933402]"
6,10,94.0,0.025,"[ 0.    0.    0.    0.   20.   10.   10.   12.5  20.   20.   20.   17.5
 22.5  18.75 18.75 18.75 25.   20.   17.5  20.   25.   25.   25.   25.
 27.5  26.25 26.25 25.   27.5  27.5  27.5  25.  ]","[2236.05973049 2029.85810416 1959.83273945 1982.48055045 2002.87488671
 1998.1752116  1955.47952869 1934.83444194 2030.08365721 1842.41469387
 1821.55725594 1869.13028448 1965.15571378 1983.16987142 1933.29513979
 1930.1182198  1865.1960913  2062.53262995 2087.08103468 2007.39725043
 1829.37261525 1847.85776839 1845.02712425 1806.88537626 1527.90339934
 1589.55242827 1598.08200843 1564.17166816 2197.46933402 2197.46933402
 2197.46933402 2287.97237155]","[2236.05973049 2029.85810416 1959.83273945 1982.48055045 2002.87488671
 1998.1752116  1955.47952869 1934.83444194 2030.08365721 1842.41469387
 1821.55725594 1869.13028448 1965.15571378 1983.16987142 1933.29513979
 1930.1182198  1865.1960913  2062.53262995 2087.08103468 2007.39725043
 1829.37261525 1847.85776839 1845.02712425 1806.88537626 1527.90339934
 1589.55242827 1598.08200843 1564.17166816 2197.46933402 2197.46933402
 2197.46933402 2287.97237155]"
7,10,94.0,0.05,"[ 0.    0.    0.    0.   17.5  11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   17.5  18.75 25.   18.75 18.75 20.   25.   25.   25.   25.
 26.25 28.75 25.   25.   27.5  26.25 26.25 25.  ]","[2151.45153784 2054.44642644 2002.27800026 1989.50525891 2008.38986582
 2022.53469628 1999.84449248 1989.41633364 1971.92867792 1882.53308001
 1852.51694166 1877.87835556 1965.23186573 1941.58538312 1977.39193853
 1940.68796389 1838.58175874 2066.47063539 2023.95354403 1983.40449267
 1795.14998699 1866.96906299 1805.20177431 1792.72830454 1570.83218044
 1499.75253383 1604.19080052 1573.45376724 2197.46933402 2243.8126905
 2243.8126905  2287.97237155]","[2151.45153784 2054.44642644 2002.27800026 1989.50525891 2008.38986582
 2022.53469628 1999.84449248 1989.41633364 1971.92867792 1882.53308001
 1852.51694166 1877.87835556 1965.23186573 1941.58538312 1977.39193853
 1940.68796389 1838.58175874 2066.47063539 2023.95354403 1983.40449267
 1795.14998699 1866.96906299 1805.20177431 1792.72830454 1570.83218044
 1499.75253383 1604.19080052 1573.45376724 2197.46933402 2243.8126905
 2243.8126905  2287.97237155]"
8,10,94.0,0.075,"[ 0.    0.    0.    0.   16.25 11.25 10.   11.25 20.   20.   20.   18.75
 21.25 20.   18.75 18.75 21.25 20.   18.75 18.75 25.   25.   21.25 21.25
 25.   25.   26.25 25.   26.25 26.25 26.25 25.  ]","[2085.28437365 2048.17652016 2024.62416734 1991.98772661 1985.05999889
 2025.89619437 2021.77862877 1991.31189233 1906.17460982 1880.39950876
 1857.76290838 1867.03597683 1878.52423713 1913.37621635 1912.07522095
 1889.36804432 1896.26010149 1960.50957102 1945.93629577 1926.05518032
 1743.35309077 1765.37914411 1893.39727394 1862.82772965 1588.06655289
 1614.63614728 1591.48655279 1593.76785175 2243.8126905  2243.8126905
 2243.8126905  2287.97237155]","[2085.28437365 2048.17652016 2024.62416734 1991.98772661 1985.05999889
 2025.89619437 2021.77862877 1991.31189233 1906.17460982 1880.39950876
 1857.76290838 1867.03597683 1878.52423713 1913.37621635 1912.07522095
 1889.36804432 1896.26010149 1960.50957102 1945.93629577 1926.05518032
 1743.35309077 1765.37914411 1893.39727394 1862.82772965 1588.06655289
 1614.63614728 1591.48655279 1593.76785175 2243.8126905  2243.8126905
 2243.8126905  2287.97237155]"
9,10,96.0,0.025,"[ 0.    0.    0.    0.   16.25 10.   10.   10.   17.5  15.   15.   15.
 20.   16.25 15.   15.   22.5  16.25 16.25 15.   18.75 17.5  17.5  17.5
 25.   25.   20.   22.5  26.25 25.   25.   25.  ]","[2291.09937877 1978.54113999 1954.42898905 1984.59287549 2152.94287213
 1907.06006103 1850.86465159 1915.52671479 2164.85390078 1791.38857225
 1733.56205455 1779.05012046 2120.03098716 1820.6106009  1841.71131369
 1812.7718498  1991.4384928  2077.71566689 2054.71058789 2071.44711033
 2145.47124963 2219.56418872 2115.66491001 2154.34443022 1851.85391497
 1847.24680057 1982.25061157 1924.88421798 2243.8126905  2287.97237155
 2287.97237155 2287.97237155]","[2291.09937877 1978.54113999 1954.42898905 1984.59287549 2152.94287213
 1907.06006103 1850.86465159 1915.52671479 2164.85390078 1791.38857225
 1733.56205455 1779.05012046 2120.03098716 1820.6106009  1841.71131369
 1812.7718498  1991.4384928  2077.71566689 2054.71058789 2071.44711033
 2145.47124963 2219.56418872 2115.66491001 2154.34443022 1851.85391497
 1847.24680057 1982.25061157 1924.88421798 2243.8126905  2287.97237155
 2287.97237155 2287.97237155]"
