,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,[ 0.    0.   22.5  21.25 32.5  32.5  32.5  32.5 ],"[1603.80615217 1834.21121189 1491.22695428 1683.61048346  742.11441622
  989.1953514  2284.03471267 1720.05724836]","[1596.90456386 1826.11766974 1484.21260185 1673.5981264   737.69912313
  984.450138   2273.48181837 1707.79131293]"
1,10,90.0,0.05,[ 0.    0.   20.   18.75 31.25 31.25 32.5  32.5 ],"[1518.93221418 1732.09238082 1511.51868372 1690.71053077  784.34145074
 1035.74321914 2284.03471267 1720.05724836]","[1512.07280841 1721.00285265 1504.54058125 1680.23331961  780.28419084
 1030.99060362 2273.48181837 1707.79131293]"
2,10,90.0,0.075,[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],"[1475.45675354 1679.15651457 1489.32400464 1657.83172324  805.66828401
 1067.63852534 2369.59975546 1833.15566161]","[1468.0339185  1669.53578887 1481.99347933 1648.99823494  801.7286448
 1062.79411826 2356.72091918 1824.51012086]"
3,10,92.0,0.025,[ 0.    0.   20.   20.   31.25 31.25 28.75 28.75],"[1784.28301283 2000.78696416 1848.38729804 1950.4888341   924.35083101
 1178.33961994 2409.83295376 1888.43644075]","[1775.49903039 1989.83295533 1840.05080998 1941.04187797  917.65894614
 1171.63195872 2395.08124954 1879.86548481]"
4,10,92.0,0.05,[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],"[1734.33576557 1937.60390876 1819.24590761 1931.17573558  968.40952587
 1226.60679732 2409.83295376 1888.43644075]","[1723.36037554 1928.63109514 1810.53135576 1922.21142793  963.28953425
 1220.73890965 2395.08124954 1879.86548481]"
5,10,92.0,0.075,[ 0.    0.   18.75 16.25 27.5  27.5  28.75 28.75],"[1710.66450241 1846.44225342 1754.9927318  1905.65817679 1063.90972195
 1328.24751645 2409.83295376 1888.43644075]","[1699.16178299 1838.25343392 1744.87228683 1897.12479146 1059.01771813
 1322.05901191 2395.08124954 1879.86548481]"
6,10,94.0,0.025,[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],"[1989.0880706  2167.83974873 2022.7152471  2104.49908462 1228.12135487
 1504.13312996 2518.26451016 2047.60784365]","[1978.7014499  2157.19476306 2010.48362299 2092.57525472 1222.08642787
 1497.00664007 2504.89972552 2034.03595507]"
7,10,94.0,0.05,[ 0.    0.   20.   18.75 26.25 25.   25.   25.  ],"[1951.60298639 2147.17781849 2020.0655177  2067.24176207 1245.33327943
 1551.57298339 2518.26451016 2047.60784365]","[1942.25701741 2136.32963096 2007.88860326 2053.17692233 1239.36803378
 1544.57825133 2504.89972552 2034.03595507]"
8,10,94.0,0.075,[ 0.    0.   17.5  16.25 25.   23.75 25.   26.25],"[1873.14434343 2065.18834863 1998.33959484 2073.55172702 1301.65560028
 1624.12959974 2518.26451016 1995.56012403]","[1864.82098069 2050.99493614 1987.23522573 2059.83936314 1295.68744464
 1616.27765972 2504.89972552 1984.61955331]"
9,10,96.0,0.025,[ 0.    0.   17.5  16.25 21.25 21.25 25.   23.75],"[2100.11743338 2259.49693524 2231.37441095 2271.39357875 1675.44929097
 1881.2496616  2518.26451016 2098.18065785]","[2087.28574627 2249.12091666 2221.21285589 2261.16787823 1665.56381901
 1872.77832678 2504.89972552 2085.80916676]"
10,10,96.0,0.05,[ 0.    0.   17.5  15.   21.25 20.   22.5  23.75],"[2091.23949014 2234.88655378 2202.7662349  2268.65463561 1611.39441046
 1924.61618927 2581.24741771 2098.18065785]","[2078.53541605 2224.61431754 2192.47766343 2258.43763731 1603.69323195
 1915.84554798 2568.80791211 2085.80916676]"
11,10,96.0,0.075,[ 0.    0.   17.5  15.   20.   18.75 22.5  22.5 ],"[2071.94865916 2200.98532222 2150.46032572 2224.91394753 1656.30290973
 1932.66937722 2581.24741771 2147.92101191]","[2058.14392859 2190.6230596  2139.64810295 2214.75312111 1647.34044099
 1923.60172281 2568.80791211 2137.06072875]"
