number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-0.0390122280367668,2025-11-21 06:07:13.755185,2025-11-21 06:44:19.423351,0 days 00:37:05.668166,0.0033520840609840806,0.023933994138948967,192,COMPLETE
1,-0.2912481088471857,2025-11-21 06:07:13.755965,2025-11-21 06:46:23.038374,0 days 00:39:09.282409,0.07258452746773977,0.012955027559326024,59,COMPLETE
2,-1.910204339442658,2025-11-21 06:07:13.757166,2025-11-21 06:45:40.214327,0 days 00:38:26.457161,0.10683318125494505,0.0005077673006163863,100,COMPLETE
3,0.2310868545817897,2025-11-21 06:07:13.757570,2025-11-21 06:47:06.514625,0 days 00:39:52.757055,0.001726911583290527,0.006966418157283678,11,COMPLETE
4,-0.3207238211132249,2025-11-21 06:07:13.757844,2025-11-21 06:45:47.057750,0 days 00:38:33.299906,0.13630004882232927,0.0021329290603035052,103,COMPLETE
5,-0.23809820221075012,2025-11-21 06:07:13.758241,2025-11-21 06:46:46.195708,0 days 00:39:32.437467,0.01954469447651442,0.018994548755717214,20,COMPLETE
6,-0.4985302381116264,2025-11-21 06:07:13.758987,2025-11-21 06:44:16.631344,0 days 00:37:02.872357,0.8743531523078479,0.020722849079735872,192,COMPLETE
7,-1.5697841214805186,2025-11-21 06:07:13.759958,2025-11-21 06:46:50.368340,0 days 00:39:36.608382,0.0015869806362265573,0.0035201127048396174,43,COMPLETE
8,-0.36538808157130165,2025-11-21 06:07:13.760640,2025-11-21 06:45:48.778494,0 days 00:38:35.017854,0.26302282013553513,0.0034616298090215545,90,COMPLETE
9,-20.174699442302256,2025-11-21 06:07:13.761051,2025-11-21 06:47:11.369639,0 days 00:39:57.608588,0.013477975816341897,0.05325931120264466,9,COMPLETE
10,-2.7208790555579925,2025-11-21 06:07:13.761944,2025-11-21 06:44:26.436462,0 days 00:37:12.674518,0.5757374364008628,0.0005276442348663079,182,COMPLETE
11,-0.09365582332091275,2025-11-21 06:07:13.762609,2025-11-21 06:45:02.565462,0 days 00:37:48.802853,0.0013384070136947175,0.007290111347281395,155,COMPLETE
12,-2.2254002206697376,2025-11-21 06:07:13.763383,2025-11-21 06:45:23.548712,0 days 00:38:09.785329,0.08880356747043608,0.0003563613731086886,128,COMPLETE
13,-1.1392159359865333,2025-11-21 06:07:13.763759,2025-11-21 06:47:01.922895,0 days 00:39:48.159136,0.005231176464506725,0.001737963375729564,17,COMPLETE
