number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-1.8593348108202667,2025-11-21 12:53:51.084004,2025-11-21 13:48:57.701642,0 days 00:55:06.617638,0.0032040132760184493,0.010878398916476314,188,COMPLETE
1,-0.7363561341218995,2025-11-21 12:53:51.084999,2025-11-21 13:48:43.251000,0 days 00:54:52.166001,0.06525381532014429,0.0013946983029713513,198,COMPLETE
2,-0.21019024845570977,2025-11-21 12:53:51.085583,2025-11-21 13:48:55.087081,0 days 00:55:04.001498,0.0011848587440242146,0.007248988729774988,176,COMPLETE
3,-2.00960801113096,2025-11-21 12:53:51.086320,2025-11-21 13:50:34.995705,0 days 00:56:43.909385,0.0012941541164767552,0.0008162517727657521,82,COMPLETE
4,-1.2901190935301308,2025-11-21 12:53:51.087475,2025-11-21 13:49:59.576515,0 days 00:56:08.489040,0.01064054312373944,0.022654156106206472,113,COMPLETE
5,-2.759054187987002,2025-11-21 12:53:51.088212,2025-11-21 13:50:12.499377,0 days 00:56:21.411165,0.07396943650954801,0.00042953507948743604,80,COMPLETE
6,-0.16678013515198079,2025-11-21 12:53:51.088778,2025-11-21 13:51:13.951634,0 days 00:57:22.862856,0.005846666489894199,0.0016429027537492491,34,COMPLETE
7,-0.6457660067887347,2025-11-21 12:53:51.089663,2025-11-21 13:50:18.978721,0 days 00:56:27.889058,0.002035758289748208,0.013197172309083197,96,COMPLETE
8,-0.5119705934152045,2025-11-21 12:53:51.090266,2025-11-21 13:48:54.994900,0 days 00:55:03.904634,0.024264236036854615,0.012510272518738836,173,COMPLETE
9,-1.2478307246399796,2025-11-21 12:53:51.091030,2025-11-21 13:50:39.730316,0 days 00:56:48.639286,0.26822639833658785,0.019824150032570025,59,COMPLETE
10,-23.85632465548347,2025-11-21 12:53:51.091889,2025-11-21 13:49:27.200730,0 days 00:55:36.108841,0.002462223280178395,0.0513131479314022,149,COMPLETE
11,-0.6476756845834575,2025-11-21 12:53:51.092713,2025-11-21 13:49:59.662208,0 days 00:56:08.569495,0.010300807410723176,0.03108694043411689,112,COMPLETE
12,-4.1978318537896,2025-11-21 12:53:51.093457,2025-11-21 13:50:04.011500,0 days 00:56:12.918043,0.13064311705734785,0.00031702129053038503,105,COMPLETE
13,-1.7712095551090816,2025-11-21 12:53:51.094018,2025-11-21 13:51:03.873747,0 days 00:57:12.779729,0.005741781158507069,0.0002650615321027162,49,COMPLETE
14,-2.9694954652489134,2025-11-21 12:53:51.095282,2025-11-21 13:50:50.927411,0 days 00:56:59.832129,0.007172728392326247,0.00016211493627772783,50,COMPLETE
15,-3.8544655920091975,2025-11-21 12:53:51.095644,2025-11-21 13:49:59.864148,0 days 00:56:08.768504,0.0038001249656972593,0.0001984343138405032,85,COMPLETE
16,-0.39722810868292013,2025-11-21 12:53:51.096193,2025-11-21 13:50:47.129419,0 days 00:56:56.033226,0.18109564176407683,0.022967694764923406,54,COMPLETE
17,-20.001768821914194,2025-11-21 12:53:51.096608,2025-11-21 13:50:38.299258,0 days 00:56:47.202650,0.047323335373270596,0.09980602770942192,64,COMPLETE
18,-20.176280355510528,2025-11-21 12:53:51.097131,2025-11-21 13:49:47.954190,0 days 00:55:56.857059,0.08497143756251883,0.09393647204203594,135,COMPLETE
19,-0.5088495183371794,2025-11-21 12:53:51.097457,2025-11-21 13:49:13.217967,0 days 00:55:22.120510,0.8362665110016801,0.039862633612044694,150,COMPLETE
20,-1.2695068919576693,2025-11-21 12:53:51.097926,2025-11-21 13:51:13.022822,0 days 00:57:21.924896,0.12386999789863981,0.011623196120280463,28,COMPLETE
21,-4.507678249374343,2025-11-21 12:53:51.098465,2025-11-21 13:49:11.475345,0 days 00:55:20.376880,0.13549376885700823,0.0001818592501292882,175,COMPLETE
22,-20.122691724160166,2025-11-21 12:53:51.098898,2025-11-21 13:49:58.074954,0 days 00:56:06.976056,0.0013006909736869889,0.07245169274691947,113,COMPLETE
23,-1.2781364216054456,2025-11-21 12:53:51.099414,2025-11-21 13:50:27.583646,0 days 00:56:36.484232,0.06757864075134198,0.0005907003988149125,97,COMPLETE
24,-2.1200730334545876,2025-11-21 12:53:51.099852,2025-11-21 13:50:37.764388,0 days 00:56:46.664536,0.4637627650044111,0.006528086095038442,50,COMPLETE
25,-0.9271163880410327,2025-11-21 13:48:43.253473,2025-11-21 14:20:13.099431,0 days 00:31:29.845958,0.02040721280498668,0.0037603005162719096,21,COMPLETE
26,-1.6855455295699837,2025-11-21 13:48:54.996478,2025-11-21 14:32:18.673168,0 days 00:43:23.676690,0.0010994325350284833,0.003651342127985484,8,COMPLETE
27,-1.247958428508723,2025-11-21 13:48:55.088077,2025-11-21 14:32:21.728969,0 days 00:43:26.640892,0.016134972508033595,0.0023537253285434525,2,COMPLETE
28,-0.7721718466586274,2025-11-21 13:48:57.702904,2025-11-21 14:32:17.548425,0 days 00:43:19.845521,0.015316288013745325,0.002151078552567319,2,COMPLETE
29,-1.6338965449796146,2025-11-21 13:49:11.477193,2025-11-21 14:41:53.706413,0 days 00:52:42.229220,0.004619750424273888,0.006165689019491718,32,COMPLETE
30,-0.4465155592902998,2025-11-21 13:49:13.219352,2025-11-21 14:41:54.312501,0 days 00:52:41.093149,0.0028176266398943933,0.006099736897413536,21,COMPLETE
31,-1.7674420124809052,2025-11-21 13:49:27.202807,2025-11-21 14:44:17.009457,0 days 00:54:49.806650,0.004633880204188455,0.005638503266669173,32,COMPLETE
32,-0.464781359347499,2025-11-21 13:49:47.955814,2025-11-21 14:44:20.854634,0 days 00:54:32.898820,0.004609171361093843,0.006221268954069035,29,COMPLETE
33,-1.6545246869026546,2025-11-21 13:49:58.077160,2025-11-21 14:43:50.713062,0 days 00:53:52.635902,0.004163158633273335,0.006424917794945639,34,COMPLETE
34,-1.0763389618704946,2025-11-21 13:49:59.577666,2025-11-21 14:44:01.280747,0 days 00:54:01.703081,0.004335270390951655,0.006422131986394619,35,COMPLETE
35,-0.49034092100934357,2025-11-21 13:49:59.663571,2025-11-21 14:43:45.557018,0 days 00:53:45.893447,0.0038148219476493504,0.006727759951012186,32,COMPLETE
36,-0.6291189493395222,2025-11-21 13:49:59.865176,2025-11-21 14:44:07.473138,0 days 00:54:07.607962,0.004066091646342401,0.006223697961862164,31,COMPLETE
37,-1.8698767576079853,2025-11-21 13:50:04.013777,2025-11-21 14:44:17.363413,0 days 00:54:13.349636,0.004284550694322437,0.00657309348331428,26,COMPLETE
38,-0.9742965120554926,2025-11-21 13:50:12.501189,2025-11-21 14:46:24.676509,0 days 00:56:12.175320,0.03599232443701991,0.006402471654764265,31,COMPLETE
39,-1.5978127624527907,2025-11-21 13:50:18.980808,2025-11-21 14:46:04.017307,0 days 00:55:45.036499,0.00449780297816457,0.006639984197793654,32,COMPLETE
40,-1.4832158466889573,2025-11-21 13:50:27.585866,2025-11-21 14:46:02.727404,0 days 00:55:35.141538,0.0040831335849156,0.006890534567090428,33,COMPLETE
41,-0.30553408331972803,2025-11-21 13:50:34.998922,2025-11-21 14:46:09.739469,0 days 00:55:34.740547,0.004338489615873682,0.006820376118580195,31,COMPLETE
42,-0.8014810563482033,2025-11-21 13:50:37.766041,2025-11-21 14:46:03.416505,0 days 00:55:25.650464,0.003967122083335566,0.006392279671772906,38,COMPLETE
43,-2.512066742035363,2025-11-21 13:50:38.300854,2025-11-21 14:46:06.530491,0 days 00:55:28.229637,0.004156777039659124,0.0053422745338307775,36,COMPLETE
44,-1.224267284674517,2025-11-21 13:50:39.731300,2025-11-21 14:46:05.903624,0 days 00:55:26.172324,0.004138527040548938,0.005926047180640797,32,COMPLETE
45,-1.2219012825354563,2025-11-21 13:50:47.131174,2025-11-21 14:46:28.651420,0 days 00:55:41.520246,0.003925522797055234,0.006362594004260468,30,COMPLETE
46,-1.0288902446001822,2025-11-21 13:50:50.929065,2025-11-21 14:46:44.921503,0 days 00:55:53.992438,0.004691342259792087,0.006509575931956775,34,COMPLETE
47,-2.8467853530197957,2025-11-21 13:51:03.876594,2025-11-21 14:47:06.143041,0 days 00:56:02.266447,0.004592616207451662,0.006707230700342592,36,COMPLETE
48,-1.3732380679700504,2025-11-21 13:51:13.024422,2025-11-21 14:47:04.111819,0 days 00:55:51.087397,0.0037508035911421496,0.006140881011037404,33,COMPLETE
49,-0.5751111126509523,2025-11-21 13:51:13.952496,2025-11-21 14:46:50.190086,0 days 00:55:36.237590,0.00438873231623756,0.005892035413556724,34,COMPLETE
50,-1.650066623208863,2025-11-21 14:20:13.100998,2025-11-21 14:51:42.917732,0 days 00:31:29.816734,0.001882857146919992,0.0013110528692749739,14,COMPLETE
51,-1.4449643763287272,2025-11-21 14:32:17.550116,2025-11-21 14:59:06.451853,0 days 00:26:48.901737,0.002466298313390098,0.017821270947461134,67,COMPLETE
52,-0.5402327199479978,2025-11-21 14:32:18.674083,2025-11-21 14:58:57.823422,0 days 00:26:39.149339,0.002607844537562592,0.019306417138569454,72,COMPLETE
53,-0.6371374041844917,2025-11-21 14:32:21.729981,2025-11-21 14:59:02.468343,0 days 00:26:40.738362,0.0026394796761529857,0.018639977604531715,62,COMPLETE
54,-2.0851935393191043,2025-11-21 14:41:53.709211,2025-11-21 15:25:47.622708,0 days 00:43:53.913497,0.007472714744116098,0.00964688471626778,16,COMPLETE
55,-0.9325379018960088,2025-11-21 14:41:54.313677,2025-11-21 15:23:40.613376,0 days 00:41:46.299699,0.007829429066552287,0.009751327616159771,199,COMPLETE
56,-1.061577104075274,2025-11-21 14:43:45.560904,2025-11-21 15:35:27.626141,0 days 00:51:42.065237,0.0016566198189090268,0.0014711642095371583,46,COMPLETE
57,-2.273050540103491,2025-11-21 14:43:50.714761,2025-11-21 15:35:23.669546,0 days 00:51:32.954785,0.0016864536388833278,0.02853555845259086,45,COMPLETE
58,-1.3914576183347873,2025-11-21 14:44:01.282601,2025-11-21 15:35:23.400732,0 days 00:51:22.118131,0.0016786314944721202,0.0014115614104496332,45,COMPLETE
59,-1.568089204372275,2025-11-21 14:44:07.476472,2025-11-21 15:35:25.567525,0 days 00:51:18.091053,0.0014577621337569149,0.0012080272699437845,44,COMPLETE
60,-0.8403022516309956,2025-11-21 14:44:17.010964,2025-11-21 15:35:17.583087,0 days 00:51:00.572123,0.0015282343692448693,0.001210494771213635,54,COMPLETE
61,-2.422302722322022,2025-11-21 14:44:17.364476,2025-11-21 15:35:26.295860,0 days 00:51:08.931384,0.0016656667144214236,0.0009867073239941304,46,COMPLETE
62,-0.8297445101394345,2025-11-21 14:44:20.856573,2025-11-21 15:35:15.681327,0 days 00:50:54.824754,0.0018617250480498608,0.027992677936425483,45,COMPLETE
63,-0.03389179979202126,2025-11-21 14:46:02.729059,2025-11-21 15:41:05.210639,0 days 00:55:02.481580,0.001800809823327788,0.0025741016343549927,46,COMPLETE
64,-1.4903541388801296,2025-11-21 14:46:03.418225,2025-11-21 15:41:03.185493,0 days 00:54:59.767268,0.0014495018599404426,0.028649598652781685,44,COMPLETE
