number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
0,-4.219041364873764,2025-11-21 12:53:51.083675,2025-11-21 13:48:50.019280,0 days 00:54:58.935605,0.005777513747648515,0.0003295177107036174,177,COMPLETE
1,-1.3943555269561843,2025-11-21 12:53:51.084434,2025-11-21 13:50:50.604163,0 days 00:56:59.519729,0.026922071915289746,0.004741198285925875,50,COMPLETE
2,-3.5698472122436176,2025-11-21 12:53:51.085166,2025-11-21 13:51:31.833656,0 days 00:57:40.748490,0.029659250102228904,0.0001774023955917943,1,COMPLETE
3,-2.8603162885145403,2025-11-21 12:53:51.085622,2025-11-21 13:51:37.908347,0 days 00:57:46.822725,0.0015485698898639931,0.03463559386115728,8,COMPLETE
4,-2.4388136758985373,2025-11-21 12:53:51.086423,2025-11-21 13:49:08.522141,0 days 00:55:17.435718,0.0034930716851496683,0.004567896207769599,171,COMPLETE
5,-3.061541349999369,2025-11-21 12:53:51.086927,2025-11-21 13:51:13.660695,0 days 00:57:22.573768,0.0137327379953766,0.0002754249976253262,30,COMPLETE
6,-2.1100781053368167,2025-11-21 12:53:51.087718,2025-11-21 13:50:27.181113,0 days 00:56:36.093395,0.005367422727059651,0.0008104375434001672,84,COMPLETE
7,-22.50688193144847,2025-11-21 12:53:51.088550,2025-11-21 13:48:59.715457,0 days 00:55:08.626907,0.007550483609442493,0.07303848964890655,174,COMPLETE
8,-0.028834869185744072,2025-11-21 12:53:51.089532,2025-11-21 13:49:29.959235,0 days 00:55:38.869703,0.009312883611100706,0.005223741772389275,144,COMPLETE
9,-2.549945383990288,2025-11-21 12:53:51.090295,2025-11-21 13:50:17.466849,0 days 00:56:26.376554,0.002057582070777898,0.0005307981773795635,87,COMPLETE
10,-0.610684560594746,2025-11-21 12:53:51.090900,2025-11-21 13:51:10.244631,0 days 00:57:19.153731,0.0028386782642364776,0.025901833965730283,67,COMPLETE
11,-3.503801428398616,2025-11-21 12:53:51.091764,2025-11-21 13:51:19.565782,0 days 00:57:28.474018,0.060975947239738364,0.044840186802418996,23,COMPLETE
12,-3.7360355286594786,2025-11-21 12:53:51.092688,2025-11-21 13:48:51.783031,0 days 00:55:00.690343,0.43338464480217037,0.06407907031719916,195,COMPLETE
13,0.12529707842116874,2025-11-21 12:53:51.093143,2025-11-21 13:49:10.410968,0 days 00:55:19.317825,0.043629801645164466,0.0021310913932025654,176,COMPLETE
14,-2.892134109241528,2025-11-21 12:53:51.094575,2025-11-21 13:51:01.810814,0 days 00:57:10.716239,0.003615181277654367,0.0005024469460636492,48,COMPLETE
15,-1.9279760677648385,2025-11-21 12:53:51.094772,2025-11-21 13:49:50.437696,0 days 00:55:59.342924,0.0014853342735290597,0.00113774503601655,135,COMPLETE
16,-4.943850769430399,2025-11-21 12:53:51.095112,2025-11-21 13:48:58.581182,0 days 00:55:07.486070,0.002415745038794409,0.00019719779202925436,186,COMPLETE
17,-5.0769337101394285,2025-11-21 12:53:51.095571,2025-11-21 13:49:34.183908,0 days 00:55:43.088337,0.0011364820172924323,0.00015481226103691777,147,COMPLETE
18,-3.373263985858782,2025-11-21 12:53:51.096121,2025-11-21 13:50:03.142934,0 days 00:56:12.046813,0.3158764035573538,0.00041563106700588133,103,COMPLETE
19,-1.2913736765007524,2025-11-21 12:53:51.096334,2025-11-21 13:51:16.047820,0 days 00:57:24.951486,0.18885456825673455,0.01001618948069729,25,COMPLETE
20,-3.2288920985669165,2025-11-21 12:53:51.096655,2025-11-21 13:49:30.972440,0 days 00:55:39.875785,0.00945952835425394,0.0004965680594885186,140,COMPLETE
21,-2.0345332331957624,2025-11-21 12:53:51.097202,2025-11-21 13:49:27.972462,0 days 00:55:36.875260,0.08322154520156798,0.0009799183050507386,142,COMPLETE
22,-2.918354058862942,2025-11-21 12:53:51.097521,2025-11-21 13:48:56.042159,0 days 00:55:04.944638,0.01941233108323269,0.04158983139530496,182,COMPLETE
23,-1.0232931900416666,2025-11-21 12:53:51.097998,2025-11-21 13:50:44.796768,0 days 00:56:53.698770,0.027493200236451226,0.0011974955729443122,60,COMPLETE
24,-4.741281087122817,2025-11-21 12:53:51.098398,2025-11-21 13:51:00.648265,0 days 00:57:09.549867,0.08545720701354131,0.00013793126795534,49,COMPLETE
25,-0.7142559785384334,2025-11-21 13:48:50.021509,2025-11-21 14:34:14.894806,0 days 00:45:24.873297,0.0129138542846693,0.014398847791426684,120,COMPLETE
