#{"t_start": 1762853295.4692905, "env_id": "None"}
,r,l,t,r.1,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL,RotTorq_[kN-m],RootMxc1_[kN-m],RootMyc1_[kN-m],RootMzc1_[kN-m],TwrBsMxt_[kN-m],TwrBsMyt_[kN-m],TwrBsMzt_[kN-m],YawBrMxn_[kN-m],YawBrMyn_[kN-m],YawBrMzn_[kN-m]
0,-20.405594892565592,1,875.615178,-20.405594892565592,-20.405594892565592,-16.355294391018084,"[2942.4943790978446, 1951.182613866575, 1087.7561527414998, 1920.3038121879806, 652.5961472353163, 891.363444994457, 1124.1496230067435, 1357.2730015790773]","[1898.68405991 2030.44286096 2271.95278918 2294.60136257 1252.83195494
 1037.69232129 1909.83430333 2288.83165707]","[1898.68405991 2030.44286096 2271.95278918 2294.60136257 1252.83195494
 1037.69232129 1909.83430333 2288.83165707]","[1852.69341515 1959.34869721 2178.83637065 2218.69960687 1147.59027348
  898.35298932 1807.7726229  2195.96976129]","[ 98.68498447  60.86589416 123.80156478  56.44717379 104.03376246
  92.33462871  61.08091755 100.39464974]","[ 91.05427002  55.96290429 120.46723098  56.10804423 107.05348384
  98.13388408  65.78379249  99.26406909]",[92.   92.   73.25 73.25 62.   62.   63.25 63.25],"[ -6.68498447  31.13410584 -31.80156478  35.55282621 -12.03376246
  -0.33462871  30.91908245  -8.39464974]","[  0.94572998  36.03709571 -28.46723098  35.89195577 -15.05348384
  -6.13388408  26.21620751  -7.26406909]",[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],92.0,10.0,0.05,5839296715499,"{'RotTorq_[kN-m]': 147.33224979163123, 'RootMxc1_[kN-m]': 5805.014269789959, 'RootMyc1_[kN-m]': 1949.8980720289073, 'RootMzc1_[kN-m]': 64.79347590462339, 'TwrBsMxt_[kN-m]': 2635.017005626827, 'TwrBsMyt_[kN-m]': 4725.883666140704, 'TwrBsMzt_[kN-m]': 739.9333577092581, 'YawBrMxn_[kN-m]': 163.42660368522664, 'YawBrMyn_[kN-m]': 675.203145372037, 'YawBrMzn_[kN-m]': 740.0356996499904}",-5.95893893711104,4.402791772634799,-21.771154724564912,-12.67208631067295,20.60031874407047,-0.18777568549133086,-14.323404484606744,-7.86175951374663,-19.699056007110272,-14.307744209592949
1,-6.330358217916418,1,875.624304,-6.330358217916418,-6.330358217916418,-10.444679583067128,"[3364.075913365183, 3212.0442227231847, 1018.4468683780952, 1195.7574132382767, 1733.1351553497957, 1303.2352326719667, 769.1292626318661, 1518.2148166341688]","[1928.44419829 2040.77956295 2133.91233689 2232.4402036  1338.00455961
 1175.93263268 1912.0070268  2306.36979717]","[1928.44419829 2040.77956295 2133.91233689 2232.4402036  1338.00455961
 1175.93263268 1912.0070268  2306.36979717]","[1932.57241972 1891.15135902 2415.5931197  2211.7345706  1408.14398026
 1127.27859214 2197.41689044 2576.24349597]","[ 95.66321943 132.          75.0532851   89.28766451 102.6017413
  63.12644835 103.04153871  96.85074949]","[ 88.03250499 129.79527094  71.71895131  88.94853494 105.62146268
  68.92570373 107.74441366  95.72016884]",[92.   92.   73.25 74.5  64.5  64.5  63.25 63.25],"[ -3.66321943 -40.          16.9467149    2.71233549 -10.6017413
  28.87355165 -11.04153871  -4.85074949]","[  3.96749501 -37.79527094  20.28104869   3.05146506 -13.62146268
  23.07429627 -15.74441366  -3.72016884]",[ 0.    0.   18.75 17.5  27.5  27.5  28.75 28.75],92.0,10.0,0.075,4887247609215,"{'RotTorq_[kN-m]': 224.31761313877442, 'RootMxc1_[kN-m]': 5989.003194312374, 'RootMyc1_[kN-m]': 2413.652822312585, 'RootMzc1_[kN-m]': 74.16066117391888, 'TwrBsMxt_[kN-m]': 3299.8749405619506, 'TwrBsMyt_[kN-m]': 7218.555188455529, 'TwrBsMzt_[kN-m]': 986.8870756268033, 'YawBrMxn_[kN-m]': 239.70525932501556, 'YawBrMyn_[kN-m]': 1004.7379101546553, 'YawBrMzn_[kN-m]': 986.7859167493453}",-20.524270582097788,7.409907103988576,-26.689885047437546,-11.283239709499766,19.99891718261107,-2.3346396651760073,-11.234427874975783,-18.535166883981635,-7.58484099443673,-11.24082068302583
2,-24.102742277580948,1,875.624784,-24.102742277580948,-24.102742277580948,-20.362289232105542,"[1609.2389236386869, 3025.232988244518, 2602.8106145379543, 1443.470113919936, 1434.7712286351405, 1705.516625406864, 1297.740687975278, 732.1004156213952]","[2305.39185479 2222.62080461 2460.88491235 2571.77237195 1922.2220693
 1866.45967024 2345.92531265 2554.23822195]","[2305.39185479 2222.62080461 2460.88491235 2571.77237195 1922.2220693
 1866.45967024 2345.92531265 2554.23822195]","[2098.5793428  2130.34942209 2348.06693666 2398.86432337 1959.75226367
 1745.23168008 2303.68170936 2407.83965294]","[132.90737867 108.65395095 123.05791454 115.35406233  72.95110481
 107.76804399  92.4818471   58.67160467]","[125.27666422 103.75096108 119.72358075 115.01493276  75.97082619
 113.56729936  97.18472205  57.54102402]",[96.   96.   78.5  81.   74.75 76.   74.75 72.25],"[-36.90737867 -12.65395095 -27.05791454 -19.35406233  23.04889519
 -11.76804399   3.5181529   37.32839533]","[-29.27666422  -7.75096108 -23.72358075 -19.01493276  20.02917381
 -17.56729936  -1.18472205  38.45897598]",[ 0.    0.   17.5  15.   21.25 20.   21.25 23.75],96.0,10.0,0.05,9641520309299,"{'RotTorq_[kN-m]': 173.5312031173188, 'RootMxc1_[kN-m]': 5801.925132634518, 'RootMyc1_[kN-m]': 2115.737850931607, 'RootMzc1_[kN-m]': 72.9697104049225, 'TwrBsMxt_[kN-m]': 3273.5019162543194, 'TwrBsMyt_[kN-m]': 5712.8679317466795, 'TwrBsMzt_[kN-m]': 804.380830584536, 'YawBrMxn_[kN-m]': 201.6615040007074, 'YawBrMyn_[kN-m]': 785.0336500866612, 'YawBrMzn_[kN-m]': 804.8414434315804}",-18.995278944616704,2.174140045601315,-24.487307646011278,-11.269783589491125,76.80249021549275,2.5335441020569207,-22.600525763294097,-15.844888991079692,-21.281410977312042,-22.552097789782096
3,-22.58009143511476,1,875.625231,-22.58009143511476,-22.58009143511476,-20.872299385641245,"[1978.5750896832674, 2994.8326555280623, 996.2867436012683, 1185.594741186986, 1819.7855973173957, 1396.6269949117732, 1661.0185171952905, 922.7777369963094]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2133.98958956 2207.26735769 2289.32840843 2371.13782444 1565.80751017
 1291.09556504 2081.8800584  2432.39214767]","[ 64.69813896  80.9197946   94.03618535 112.18783324 118.12811792
  54.          88.01163821 125.86133165]","[ 57.06742451  76.01680474  90.70185156 111.84870368 121.1478393
  56.40596694  92.71451316 124.730751  ]",[94.   94.   72.75 75.25 67.75 67.75 69.   69.  ],"[ 2.93018610e+01  1.30802054e+01 -3.61853528e-02 -1.81878332e+01
 -2.41281179e+01  4.00000000e+01  5.98836179e+00 -3.18613317e+01]","[ 36.93257549  17.98319526   3.29814844 -17.84870368 -27.1478393
  37.59403306   1.28548684 -30.730751  ]",[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],94.0,10.0,0.025,4871689919400,"{'RotTorq_[kN-m]': 76.69698779994745, 'RootMxc1_[kN-m]': 5783.649579501924, 'RootMyc1_[kN-m]': 1461.923257166249, 'RootMzc1_[kN-m]': 66.86087198158855, 'TwrBsMxt_[kN-m]': 1182.4689995896467, 'TwrBsMyt_[kN-m]': 2478.903839432524, 'TwrBsMzt_[kN-m]': 411.676268587359, 'YawBrMxn_[kN-m]': 89.58332216041273, 'YawBrMyn_[kN-m]': 458.1876146356046, 'YawBrMzn_[kN-m]': 411.71056056063253}",-1.1391173061451925,4.037317114751078,-33.129207444513064,-13.2844466518038,-3.4168292111636753,-18.21928491954305,-47.69819092675872,-16.305610652633078,-44.95408341793304,-47.69357386331706
4,-16.45391288265005,1,875.625803,-16.45391288265005,-16.45391288265005,-16.81822278657244,"[1758.7989879990976, 3147.949128417387, 1952.762164785889, 680.719032527295, 722.637668889399, 1322.0084916472583, 1648.424831304157, 1256.421263949539]","[1909.94542074 2034.75791862 2361.10831352 2318.34692144 1171.06692704
  963.41634998 1913.8948855  2276.96239648]","[1909.94542074 2034.75791862 2361.10831352 2318.34692144 1171.06692704
  963.41634998 1913.8948855  2276.96239648]","[1904.45444555 2108.8985166  2322.80267166 2358.82591681 1100.48588781
  981.59250974 1934.66183258 2303.25143566]","[ 89.75153401  74.76834072  86.29406971  58.95531318 125.81284849
  83.91360356  90.55025443 128.14261432]","[ 82.12081956  69.86535085  82.95973592  58.61618362 128.83256987
  89.71285894  95.25312937 127.01203367]",[92.   92.   72.   72.   59.5  60.75 63.25 63.25],"[  2.24846599  17.23165928   5.70593029  33.04468682 -33.81284849
   8.08639644   1.44974557 -36.14261432]","[  9.87918044  22.13464915   9.04026408  33.38381638 -36.83256987
   2.28714106  -3.25312937 -35.01203367]",[ 0.    0.   20.   20.   32.5  31.25 28.75 28.75],92.0,10.0,0.025,9306382380455,"{'RotTorq_[kN-m]': 87.87417402152509, 'RootMxc1_[kN-m]': 5936.78373427393, 'RootMyc1_[kN-m]': 1463.744935087153, 'RootMzc1_[kN-m]': 62.32654592444179, 'TwrBsMxt_[kN-m]': 1488.0556539489096, 'TwrBsMyt_[kN-m]': 3455.304406192092, 'TwrBsMzt_[kN-m]': 457.8400423155279, 'YawBrMxn_[kN-m]': 106.35028298516855, 'YawBrMyn_[kN-m]': 523.6339404664689, 'YawBrMzn_[kN-m]': 457.7901773603619}",-4.869266360885819,7.641575541170134,-34.00367351160429,-16.602382710145356,3.551366633840168,2.0782364873199013,-35.52743343993875,-6.455604188165704,-30.540315751661012,-35.544428105374756
5,-2.9631787455202288,1,875.626222,-2.9631787455202288,-2.9631787455202288,-3.743580729005264,"[2710.465634729912, 3125.641831057866, 1987.5808468093812, 963.9760047843675, 1697.2146901728545, 2450.5861367858092, 1241.2774843001741, 2061.4624326681023]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2340.81875249 2159.72774587 2391.29351589 2348.4592878  1651.16323852
 1336.70685105 2159.3152551  2482.25264901]","[ 90.32446092  70.69236279  89.89905235 113.53133374  63.78975694
  87.4410741   88.4260143   74.88816404]","[ 82.69374647  65.78937292  86.56471855 113.19220418  66.80947832
  93.24032948  93.12888924  73.75758338]",[94.   94.   72.75 75.25 67.75 67.75 69.   69.  ],"[  3.67553908  23.30763721   4.10094765 -19.53133374  30.21024306
   6.5589259    5.5739857   19.11183596]","[ 11.30625353  28.21062708   7.43528145 -19.19220418  27.19052168
   0.75967052   0.87111076  20.24241662]",[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],94.0,10.0,0.025,857039290282,"{'RotTorq_[kN-m]': 103.85795017780315, 'RootMxc1_[kN-m]': 5609.9034870499045, 'RootMyc1_[kN-m]': 1902.5120855270773, 'RootMzc1_[kN-m]': 77.91061042289354, 'TwrBsMxt_[kN-m]': 981.403492976661, 'TwrBsMyt_[kN-m]': 3152.685819978299, 'TwrBsMzt_[kN-m]': 579.1155712409989, 'YawBrMxn_[kN-m]': 114.65148450645471, 'YawBrMyn_[kN-m]': 681.4759431100728, 'YawBrMzn_[kN-m]': 579.0475096989521}",0.9581416237539868,0.9808353703015131,-16.282418714284756,-1.027272894275326,-24.41764788455948,-8.30327537842373,-29.899049832105113,-13.434507884735089,-19.68428034231412,-29.896305410641173
6,-28.924075781725573,1,875.626642,-28.924075781725573,-28.924075781725573,-29.359611256067435,"[1866.4227076931872, 2706.5606119861277, 1369.858458665632, 940.1621751491364, 1481.906278930667, 1451.9807171970244, 2224.1372044251566, 981.0671799340612]","[2349.28922107 2216.8842228  2582.60113927 2566.96573854 1831.93626726
 1811.35175776 2419.06317346 2543.29575296]","[2349.28922107 2216.8842228  2582.60113927 2566.96573854 1831.93626726
 1811.35175776 2419.06317346 2543.29575296]","[2338.9835036  2221.45801166 2620.60166257 2494.71096726 1804.92670716
 1787.5931427  2528.3932792  2637.68107178]","[131.79695159  75.33285233  84.67138132  73.37137424 117.6509779
  66.01161174 115.99121097 130.60637126]","[124.16623714  70.42986247  81.33704752  73.03224468 120.67069928
  71.81086711 120.69408592 129.47579061]",[96.   96.   78.5  79.75 72.25 74.75 76.   72.25],"[-35.79695159  20.66714767  11.32861868  22.62862576 -21.6509779
  29.98838826 -19.99121097 -34.60637126]","[-28.16623714  25.57013753  14.66295248  22.96775532 -24.67069928
  24.18913289 -24.69408592 -33.47579061]",[ 0.    0.   17.5  16.25 23.75 21.25 20.   23.75],96.0,10.0,0.025,266076030889,"{'RotTorq_[kN-m]': 78.89756799320295, 'RootMxc1_[kN-m]': 5814.226613757879, 'RootMyc1_[kN-m]': 1645.3721710760374, 'RootMzc1_[kN-m]': 67.33466172850576, 'TwrBsMxt_[kN-m]': 1370.8446981825507, 'TwrBsMyt_[kN-m]': 2386.6886384855493, 'TwrBsMzt_[kN-m]': 505.41423523932394, 'YawBrMxn_[kN-m]': 91.46655549901487, 'YawBrMyn_[kN-m]': 535.8197865647911, 'YawBrMzn_[kN-m]': 505.3923460407643}",-3.0010288566420034,2.960507418400032,-22.066825598974347,-16.881161020602054,25.932326167935095,-23.45156186964453,-42.36703300405008,-26.84971002077993,-37.78621206100366,-42.3663327530743
7,-11.036149490689692,1,875.627059,-11.036149490689692,-11.036149490689692,-13.790356696120677,"[2853.1029959075017, 2888.2278654997617, 1411.8593161172237, 2160.4677279323573, 1795.9527802442667, 1658.0646978845275, 1258.1818200858254, 2188.0462315391433]","[2262.00609696 2260.44851704 2417.01352901 2537.41397117 1916.40855093
 1797.4634547  2345.94202557 2688.5755154 ]","[2262.00609696 2260.44851704 2417.01352901 2537.41397117 1916.40855093
 1797.4634547  2345.94202557 2688.5755154 ]","[2509.61326599 2138.3539329  2802.52847439 2419.30952525 2108.04739251
 1714.03456967 2415.50983031 2700.13174223]","[ 75.21255651  72.00031017  69.21136608  98.58635201 111.05640753
 129.63339834  79.63945341  79.53782997]","[ 67.58184206  67.09732031  65.87703229  98.24722245 114.07612891
 135.43265371  84.34232835  78.40724932]",[96.   96.   79.75 81.   76.   76.   74.75 74.75],"[ 20.78744349  23.99968983  26.78863392  -2.58635201 -15.05640753
 -33.63339834  16.36054659  16.46217003]","[ 28.41815794  28.90267969  30.12296771  -2.24722245 -18.07612891
 -39.43265371  11.65767165  17.59275068]",[ 0.    0.   16.25 15.   20.   20.   21.25 21.25],96.0,10.0,0.075,2168078626384,"{'RotTorq_[kN-m]': 264.02366289515504, 'RootMxc1_[kN-m]': 5773.045275193881, 'RootMyc1_[kN-m]': 2914.6878859400904, 'RootMzc1_[kN-m]': 82.69539633964952, 'TwrBsMxt_[kN-m]': 2963.2606681380357, 'TwrBsMyt_[kN-m]': 7175.605860529458, 'TwrBsMzt_[kN-m]': 1103.755003608148, 'YawBrMxn_[kN-m]': 286.1807690943355, 'YawBrMyn_[kN-m]': 1043.3607821328753, 'YawBrMzn_[kN-m]': 1103.7661798565498}",-9.33627349212197,0.3997039044805281,-14.459612453746123,-6.020075249371547,19.819859859342397,-5.176101764681905,-13.64234588845882,-15.96436407044238,-6.996188361656657,-13.629098197147652
8,-10.40482895296072,1,875.627478,-10.40482895296072,-10.40482895296072,-11.140427713954882,"[3139.8463297810545, 2571.8174973028154, 533.739667921783, 1103.6037876333205, 1948.4002738349718, 1294.5419601684903, 1399.8869508720163, 1433.884613183803]","[1898.68405991 2030.44286096 2271.95278918 2294.60136257 1252.83195494
 1037.69232129 1909.83430333 2288.83165707]","[1898.68405991 2030.44286096 2271.95278918 2294.60136257 1252.83195494
 1037.69232129 1909.83430333 2288.83165707]","[2043.02780573 1899.15386974 2377.97470788 2215.0889766  1303.40488033
 1036.62584978 1942.97985008 2290.66337524]","[ 72.78517713 114.35276368 118.11688042  81.19261916  64.57589197
  52.         115.25513862  94.5535896 ]","[ 65.15446268 109.44977381 114.78254663  80.85348959  67.59561335
  54.90633017 119.95801357  93.42300894]",[92.   92.   73.25 73.25 62.   62.   63.25 63.25],"[ 19.21482287 -22.35276368 -26.11688042  10.80738084  27.42410803
  40.         -23.25513862  -2.5535896 ]","[ 26.84553732 -17.44977381 -22.78254663  11.14651041  24.40438665
  37.09366983 -27.95801357  -1.42300894]",[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],92.0,10.0,0.05,8909873073458,"{'RotTorq_[kN-m]': 185.35351273754608, 'RootMxc1_[kN-m]': 5861.5989939430765, 'RootMyc1_[kN-m]': 2087.9362452823107, 'RootMzc1_[kN-m]': 70.72736493469742, 'TwrBsMxt_[kN-m]': 2789.1474259164006, 'TwrBsMyt_[kN-m]': 5270.540734778842, 'TwrBsMzt_[kN-m]': 690.9431123818506, 'YawBrMxn_[kN-m]': 193.8935825936459, 'YawBrMyn_[kN-m]': 717.4378368930467, 'YawBrMzn_[kN-m]': 690.9154978836099}",-10.235977453951941,5.68796889896888,-25.750145495859893,-9.573996345040198,12.658890629780975,-8.850664046090309,-24.663742150677066,-13.287672433259848,-20.76229893824061,-24.665183115278186
9,-16.235155331739413,1,875.62788,-16.235155331739413,-16.235155331739413,-14.387401460654075,"[2112.980280945321, 2016.1215226959253, 1120.8641303029626, 2093.63950023026, 1577.9652956541927, 2258.1614288004253, 1520.4963071289335, 1317.035363245162]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2200.59176368 2228.12895714 2333.86696171 2395.3159603  1607.44697742
 1349.35165446 2139.28238328 2480.0806704 ]","[2133.98958956 2207.26735769 2289.32840843 2371.13782444 1565.80751017
 1291.09556504 2081.8800584  2432.39214767]","[ 70.05344547 105.08563731  90.17416883 132.37987536  77.10348765
  54.67365506  63.15109869  64.28895931]","[ 62.42273102 100.18264744  86.83983503 132.0407458   80.12320903
  60.47291043  67.85397364  63.15837866]",[94.   94.   72.75 75.25 67.75 67.75 69.   69.  ],"[ 23.94655453 -11.08563731   3.82583117 -38.37987536  16.89651235
  39.32634494  30.84890131  29.71104069]","[ 31.57726898  -6.18264744   7.16016497 -38.0407458   13.87679097
  33.52708957  26.14602636  30.84162134]",[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],94.0,10.0,0.025,8614886040627,"{'RotTorq_[kN-m]': 73.56099463355932, 'RootMxc1_[kN-m]': 5729.942985673681, 'RootMyc1_[kN-m]': 2175.1067739518367, 'RootMzc1_[kN-m]': 69.56066846125039, 'TwrBsMxt_[kN-m]': 1342.5607679712098, 'TwrBsMyt_[kN-m]': 2857.7310080431, 'TwrBsMzt_[kN-m]': 689.0952447861174, 'YawBrMxn_[kN-m]': 96.57155466654898, 'YawBrMyn_[kN-m]': 700.5521620295857, 'YawBrMzn_[kN-m]': 689.0152599192285}",-5.1813497515664695,3.071233354582599,-0.5070114631693854,-9.782931659210574,9.65934497424768,-5.721520283392455,-12.453229209072136,-9.77676311590987,-15.836799946816733,-12.462955162149825
