#{"t_start": 1764690399.2533836, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
1.3852327526853203,1,910.402837,1.3852327526853203,1.3852327526853203,0.7543371301027192,"[2340.7646417893825, 2031.5828931846365, 1313.9614096435516, 1444.8417886100456, 2646.583922366785, 2017.2500750592226, 1875.555382241083, 1639.29899140816]","[1961.8319374  2007.84643608 2322.87005104 2149.59762323 1476.22715349
 1072.91780528 1910.19973266 2199.16907944]","[1961.8319374  2007.84643608 2322.87005104 2149.59762323 1476.22715349
 1072.91780528 1910.19973266 2199.16907944]","[1670.94079479 2042.78390256 2047.11846885 2336.06010046 1374.50429404
 1336.79869916 1997.19335116 2389.81633738]","[96.51025871 97.05191803 77.78292598 81.04678642 63.36605752 56.49041366
 59.08404847 61.76594423]","[88.87954426 92.14892817 74.44859219 80.70765686 66.3857789  62.28966904
 63.78692341 60.63536358]",[92.   92.   73.25 74.5  64.5  64.5  63.25 63.25],"[-4.51025871 -5.05191803 14.21707402 10.95321358 28.63394248 35.50958634
 32.91595153 30.23405577]","[ 3.12045574 -0.14892817 17.55140781 11.29234314 25.6142211  29.71033096
 28.21307659 31.36463642]",[ 0.    0.   18.75 17.5  27.5  27.5  28.75 28.75],92.0,10.0,0.075,8851123886581,"{'RotTorq_[kN-m]': 274.4404549528584, 'RootMxc1_[kN-m]': 5588.449532159446, 'RootMyc1_[kN-m]': 3453.9750609689854, 'RootMzc1_[kN-m]': 85.93394191652915, 'TwrBsMxt_[kN-m]': 3042.893059901276, 'TwrBsMyt_[kN-m]': 7417.297184088315, 'TwrBsMzt_[kN-m]': 1130.4838490714437, 'YawBrMxn_[kN-m]': 285.3023953633537, 'YawBrMyn_[kN-m]': 1116.6182165628325, 'YawBrMzn_[kN-m]': 1130.409044666989}"
1.95705007374769,1,910.420817,1.95705007374769,1.95705007374769,0.6482754141578398,"[2202.0698839827664, 2186.6178957324414, 1248.6128182836997, 2143.4029854739574, 2382.161363157859, 2656.8772273564423, 2127.735095651679, 2148.5155081852913]","[2169.26129441 2213.80414156 2466.65283205 2323.69493981 1772.4435891
 1415.72968325 2060.16664163 2346.08467407]","[2169.26129441 2213.80414156 2466.65283205 2323.69493981 1772.4435891
 1415.72968325 2060.16664163 2346.08467407]","[2241.53688611 2097.59678817 2631.14072451 2365.11269897 1933.50605567
 1421.80831617 2095.7364758  2199.43956466]","[ 97.28067687 103.39146996  83.69874849  74.61130344  71.14385522
  60.51965618  64.50944872  68.94588588]","[89.64996243 98.48848009 80.36441469 74.27217388 74.1635766  66.31891155
 69.21232367 67.81530523]",[94.   94.   75.25 76.5  69.   70.25 67.75 67.75],"[-3.28067687 -9.39146996 10.30125151 19.38869656 22.85614478 33.48034382
 29.49055128 25.05411412]","[ 4.35003757 -4.48848009 13.63558531 19.72782612 19.8364234  27.68108845
 24.78767633 26.18469477]",[ 0.    0.   18.75 17.5  25.   23.75 26.25 26.25],94.0,10.0,0.075,5622828372614,"{'RotTorq_[kN-m]': 233.7539731114633, 'RootMxc1_[kN-m]': 5724.811261541215, 'RootMyc1_[kN-m]': 3059.5523907749407, 'RootMzc1_[kN-m]': 82.1187272565861, 'TwrBsMxt_[kN-m]': 2587.2606346314074, 'TwrBsMyt_[kN-m]': 6614.793033987299, 'TwrBsMzt_[kN-m]': 1242.947883916383, 'YawBrMxn_[kN-m]': 276.7054416172973, 'YawBrMyn_[kN-m]': 1128.982836526283, 'YawBrMzn_[kN-m]': 1242.793868872066}"
-6.6675810023626285,1,910.421376,-6.6675810023626285,-6.6675810023626285,-0.24005090198801754,"[2051.213449417469, 1625.2892485040434, 952.9163721822563, 1485.4792475092697, 2034.439298866923, 2129.932133285952, 1897.464862126583, 1828.9978122313876]","[1914.43725938 2005.30887677 2401.82630594 2242.52333524 1345.29474289
  965.03700173 1907.92516093 2223.93620852]","[1914.43725938 2005.30887677 2401.82630594 2242.52333524 1345.29474289
  965.03700173 1907.92516093 2223.93620852]","[1883.4201297  1897.62490916 2240.78862463 2104.15494074 1291.90030843
  873.11321308 1674.76062815 2073.67145869]","[103.76886705  99.58981705  76.86676921  72.76552689  62.73554529
  57.90681076  57.62496014  63.94262956]","[96.1381526  94.68682718 73.53243542 72.42639732 65.75526667 63.70606613
 62.32783508 62.81204891]",[92.   92.   73.25 73.25 62.   62.   63.25 63.25],"[-11.76886705  -7.58981705  15.13323079  19.23447311  29.26445471
  34.09318924  34.37503986  28.05737044]","[-4.1381526  -2.68682718 18.46756458 19.57360268 26.24473333 28.29393387
 29.67216492 29.18795109]",[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],92.0,10.0,0.05,6349392051519,"{'RotTorq_[kN-m]': 191.11260946870414, 'RootMxc1_[kN-m]': 5566.845481402187, 'RootMyc1_[kN-m]': 2735.4523792053055, 'RootMzc1_[kN-m]': 75.97567664747532, 'TwrBsMxt_[kN-m]': 2447.5666244190097, 'TwrBsMyt_[kN-m]': 5713.674088631443, 'TwrBsMzt_[kN-m]': 915.4988096785728, 'YawBrMxn_[kN-m]': 213.55092084840132, 'YawBrMyn_[kN-m]': 926.1340352314033, 'YawBrMzn_[kN-m]': 915.4486092252105}"
0.9579980241905375,1,910.421841,0.9579980241905375,0.9579980241905375,0.38139834625516666,"[1980.0212491298814, 1902.8423754911116, 943.837910599563, 1116.9204391248486, 1977.4401389405712, 2194.5275048846233, 1698.8199194159376, 1802.0605667891912]","[1768.34848006 1758.87233173 2116.08555033 1955.69617693 1136.3312155
  779.39386075 1833.36792055 2139.16686123]","[1768.34848006 1758.87233173 2116.08555033 1955.69617693 1136.3312155
  779.39386075 1833.36792055 2139.16686123]","[1815.83406884 1770.39762129 2208.72528565 1921.40233105 1128.37530716
  726.14552848 1800.304452   2193.54983711]","[96.3246384  96.96059942 75.67220916 76.44153654 58.05785192 57.65698194
 57.07796402 57.3236749 ]","[88.69392395 92.05760956 72.33787537 76.10240698 61.0775733  63.45623732
 61.78083897 56.19309425]",[90.   90.   71.25 72.5  60.   60.   60.   60.  ],"[-6.3246384  -6.96059942 14.32779084 13.55846346 31.94214808 32.34301806
 32.92203598 32.6763251 ]","[ 1.30607605 -2.05760956 17.66212463 13.89759302 28.9224267  26.54376268
 28.21916103 33.80690575]",[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],90.0,10.0,0.075,8020377262863,"{'RotTorq_[kN-m]': 231.65562571686831, 'RootMxc1_[kN-m]': 5616.5415427995185, 'RootMyc1_[kN-m]': 3000.283238156696, 'RootMzc1_[kN-m]': 77.09085950021816, 'TwrBsMxt_[kN-m]': 3315.9984032008733, 'TwrBsMyt_[kN-m]': 7635.3425873378255, 'TwrBsMzt_[kN-m]': 1025.476460468256, 'YawBrMxn_[kN-m]': 264.38232409681615, 'YawBrMyn_[kN-m]': 1029.5351610420225, 'YawBrMzn_[kN-m]': 1025.4084726030658}"
0.13989782683705426,1,910.422262,0.13989782683705426,0.13989782683705426,-1.1455509047110064,"[1904.6110540660593, 1880.294794039286, 1376.5140011059311, 2207.7978025135235, 2613.632230875883, 2420.3622519385544, 1960.9517532879377, 2427.131748730902]","[2169.26129441 2213.80414156 2466.65283205 2323.69493981 1772.4435891
 1415.72968325 2060.16664163 2346.08467407]","[2169.26129441 2213.80414156 2466.65283205 2323.69493981 1772.4435891
 1415.72968325 2060.16664163 2346.08467407]","[2241.53688611 2097.59678817 2631.14072451 2365.11269897 1933.50605567
 1421.80831617 2095.7364758  2199.43956466]","[100.08237174 103.72758055  75.15771045  80.09778225  69.63027395
  60.13327503  59.64165898  63.32497476]","[92.4516573  98.82459068 71.82337666 79.75865269 72.64999533 65.9325304
 64.34453392 62.19439411]",[94.   94.   75.25 76.5  69.   70.25 67.75 67.75],"[-6.08237174 -9.72758055 18.84228955 13.90221775 24.36972605 33.86672497
 34.35834102 30.67502524]","[ 1.5483427  -4.82459068 22.17662334 14.24134731 21.35000467 28.0674696
 29.65546608 31.80560589]",[ 0.    0.   18.75 17.5  25.   23.75 26.25 26.25],94.0,10.0,0.075,3150286144341,"{'RotTorq_[kN-m]': 242.18367305019746, 'RootMxc1_[kN-m]': 5740.324274716358, 'RootMyc1_[kN-m]': 3079.8344199958674, 'RootMzc1_[kN-m]': 80.94094196523413, 'TwrBsMxt_[kN-m]': 2722.9289609379716, 'TwrBsMyt_[kN-m]': 6588.802264041719, 'TwrBsMzt_[kN-m]': 1245.9203322240662, 'YawBrMxn_[kN-m]': 273.73819213530504, 'YawBrMyn_[kN-m]': 1115.9990970754718, 'YawBrMzn_[kN-m]': 1245.9768839237315}"
-2.488975052863313,1,910.422669,-2.488975052863313,-2.488975052863313,-2.1571472409185293,"[1772.6370336370453, 1645.55103071284, 811.5918202125212, 840.1729341458454, 2082.545933017283, 2306.015872077467, 1813.315436684106, 1638.6999788459893]","[1762.30905555 1813.4173795  2171.1530097  2070.74461676  999.03905359
  716.87798177 1680.81151024 2025.71952458]","[1762.30905555 1813.4173795  2171.1530097  2070.74461676  999.03905359
  716.87798177 1680.81151024 2025.71952458]","[1717.32463794 1775.91128789 2122.48815185 2094.92380405  945.47987703
  749.45953077 1732.51159305 2057.07038656]","[ 98.69118122 100.879879    72.48795976  66.2858802   50.
  50.          51.42311879  54.02456258]","[91.06046677 95.97688913 69.15362597 65.94675064 52.47777939 52.16706753
 56.12599373 52.89398193]",[90.   90.   67.5  68.75 56.25 57.5  57.5  57.5 ],"[ -8.69118122 -10.879879    17.51204024  23.7141198   40.
  40.          38.57688121  35.97543742]","[-1.06046677 -5.97688913 20.84637403 24.05324936 37.52222061 37.83293247
 33.87400627 37.10601807]",[ 0.    0.   22.5  21.25 33.75 32.5  32.5  32.5 ],90.0,10.0,0.025,1557912353043,"{'RotTorq_[kN-m]': 82.84361254328243, 'RootMxc1_[kN-m]': 5477.532793456406, 'RootMyc1_[kN-m]': 2137.0049667241815, 'RootMzc1_[kN-m]': 70.08504216459434, 'TwrBsMxt_[kN-m]': 2007.3937972287479, 'TwrBsMyt_[kN-m]': 3648.01883168479, 'TwrBsMzt_[kN-m]': 667.8285009076922, 'YawBrMxn_[kN-m]': 99.66645027653675, 'YawBrMyn_[kN-m]': 686.8191491704118, 'YawBrMzn_[kN-m]': 667.854154423082}"
-12.024619742949511,1,910.423086,-12.024619742949511,-12.024619742949511,-2.552081884729624,"[1861.9039178402522, 1456.7196911441208, 748.6635226652763, 1252.2490703789667, 2081.5299447914063, 2152.1367550046016, 1889.947907169525, 1841.7120877636821]","[1961.8319374  2007.84643608 2322.87005104 2149.59762323 1476.22715349
 1072.91780528 1910.19973266 2199.16907944]","[1961.8319374  2007.84643608 2322.87005104 2149.59762323 1476.22715349
 1072.91780528 1910.19973266 2199.16907944]","[1906.01504711 1851.25946179 2066.93025623 1975.76661303 1359.3852492
  918.36257353 1570.26381713 1984.79965574]","[106.14850143  91.77476835  75.64411582  72.6019479   57.84909214
  52.65105438  56.28080388  61.96105646]","[98.51778698 86.87177849 72.30978203 72.26281834 60.86881351 58.45030975
 60.98367882 60.83047581]",[92.   92.   73.25 74.5  64.5  64.5  63.25 63.25],"[-14.14850143   0.22523165  16.35588418  19.3980521   34.15090786
  39.34894562  35.71919612  30.03894354]","[-6.51778698  5.12822151 19.69021797 19.73718166 31.13118649 33.54969025
 31.01632118 31.16952419]",[ 0.    0.   18.75 17.5  27.5  27.5  28.75 28.75],92.0,10.0,0.075,782039050117,"{'RotTorq_[kN-m]': 256.063681979404, 'RootMxc1_[kN-m]': 5635.792944783506, 'RootMyc1_[kN-m]': 3266.8307937467707, 'RootMzc1_[kN-m]': 76.71866200688952, 'TwrBsMxt_[kN-m]': 3755.7859374822324, 'TwrBsMyt_[kN-m]': 8212.579221670361, 'TwrBsMzt_[kN-m]': 1189.9326269574906, 'YawBrMxn_[kN-m]': 294.5173975429134, 'YawBrMyn_[kN-m]': 1103.4504387064746, 'YawBrMzn_[kN-m]': 1189.926425836704}"
8.18956498373501,1,910.423494,8.18956498373501,8.18956498373501,-0.8869774529755771,"[2053.6946114066186, 1866.9697824718958, 874.0726245186279, 1192.8430956276925, 2430.34247089297, 2314.63383953547, 1907.6593106614034, 1748.480457351086]","[1736.7114567  1761.82008425 2145.28613323 2028.48921055 1133.41805351
  735.88355839 1677.07511386 2080.83949474]","[1736.7114567  1761.82008425 2145.28613323 2028.48921055 1133.41805351
  735.88355839 1677.07511386 2080.83949474]","[1732.83542277 1976.31463341 2335.23823923 2227.47645434 1274.73427552
  888.77005663 1779.8624068  2302.23132568]","[101.58995059  95.74704885  72.20187892  73.3930403   55.02723468
  50.24663925  54.12283249  56.11955141]","[93.95923615 90.84405899 68.86754513 73.05391073 58.04695606 56.04589462
 58.82570744 54.98897076]",[90.   90.   70.   71.25 58.75 58.75 57.5  58.75],"[-11.58995059  -5.74704885  17.79812108  16.6069597   34.97276532
  39.75336075  35.87716751  33.88044859]","[-3.95923615 -0.84405899 21.13245487 16.94608927 31.95304394 33.95410538
 31.17429256 35.01102924]",[ 0.    0.   20.   18.75 31.25 31.25 32.5  31.25],90.0,10.0,0.05,5659070956558,"{'RotTorq_[kN-m]': 178.061057481871, 'RootMxc1_[kN-m]': 5564.003578115406, 'RootMyc1_[kN-m]': 2597.2369156544173, 'RootMzc1_[kN-m]': 76.51367734776497, 'TwrBsMxt_[kN-m]': 2781.9860206971202, 'TwrBsMyt_[kN-m]': 5590.821059408714, 'TwrBsMzt_[kN-m]': 894.7086885089612, 'YawBrMxn_[kN-m]': 182.39936344438817, 'YawBrMyn_[kN-m]': 894.8673430210474, 'YawBrMzn_[kN-m]': 894.747722809323}"
-0.326316925415155,1,910.423901,-0.326316925415155,-0.326316925415155,-1.632756975051972,"[2521.25521299084, 2335.9616099464497, 2101.633918259551, 1859.264207169039, 2621.6487016370174, 2620.733905239383, 2198.0520881611583, 2065.4714975130196]","[2326.17429896 2233.69935265 2572.86632877 2585.55081303 2030.92252989
 1803.13310919 2344.1100922  2487.55475661]","[2326.17429896 2233.69935265 2572.86632877 2585.55081303 2030.92252989
 1803.13310919 2344.1100922  2487.55475661]","[2056.02751379 2232.98883242 2464.38986685 2718.95095425 2058.90970122
 1968.55747767 2424.34575068 2704.00385353]","[103.3547211  107.90319061  81.99842777  78.24754631  66.68046344
  71.0009346   68.51844712  70.12440275]","[ 95.72400665 103.00020075  78.66409397  77.90841675  69.70018482
  76.80018997  73.22132206  68.9938221 ]",[96.   96.   78.5  81.   74.75 76.   74.75 72.25],"[ -7.3547211  -11.90319061  14.00157223  17.75245369  29.31953656
  24.9990654   27.48155288  25.87559725]","[ 0.27599335 -7.00020075 17.33590603 18.09158325 26.29981518 19.19981003
 22.77867794 27.0061779 ]",[ 0.    0.   17.5  15.   21.25 20.   21.25 23.75],96.0,10.0,0.05,7800144466276,"{'RotTorq_[kN-m]': 214.66511684427581, 'RootMxc1_[kN-m]': 5678.278214885415, 'RootMyc1_[kN-m]': 2815.4321175235727, 'RootMzc1_[kN-m]': 84.37477768590296, 'TwrBsMxt_[kN-m]': 1995.0261460946092, 'TwrBsMyt_[kN-m]': 5382.995658281978, 'TwrBsMzt_[kN-m]': 1006.6508651066399, 'YawBrMxn_[kN-m]': 239.79604200678577, 'YawBrMyn_[kN-m]': 985.6150983715627, 'YawBrMzn_[kN-m]': 1006.4995149257245}"
-7.764657399941045,1,910.424298,-7.764657399941045,-7.764657399941045,-1.0410996322496364,"[2503.0634223909933, 2153.1371151951225, 1032.5071302108174, 1652.9799821556564, 2713.010358703203, 2531.1968247507357, 2182.6891734754954, 2172.419436507802]","[2273.38384261 2273.30736829 2549.05540419 2558.00690236 2078.30892962
 1708.58021703 2342.42490434 2584.08212259]","[2273.38384261 2273.30736829 2549.05540419 2558.00690236 2078.30892962
 1708.58021703 2342.42490434 2584.08212259]","[2053.38903708 2229.87825474 2496.54253621 2514.21762047 1916.63550091
 1421.77196777 2144.61208687 2342.18469764]","[100.38867954  93.60279417  80.63089218  84.27625095  67.18598236
  62.19064808  70.20676537  79.95250772]","[92.75796509 88.69980431 77.29655838 83.93712139 70.20570374 67.98990345
 74.90964031 78.82192707]",[96.   96.   79.75 81.   76.   76.   74.75 74.75],"[-4.38867954  2.39720583 15.36910782 11.72374905 28.81401764 33.80935192
 25.79323463 16.04749228]","[ 3.24203491  7.30019569 18.70344162 12.06287861 25.79429626 28.01009655
 21.09035969 17.17807293]",[ 0.    0.   16.25 15.   20.   20.   21.25 21.25],96.0,10.0,0.075,6504161479130,"{'RotTorq_[kN-m]': 235.49471032707584, 'RootMxc1_[kN-m]': 5759.904700018887, 'RootMyc1_[kN-m]': 2943.7170577338106, 'RootMzc1_[kN-m]': 80.31429793994126, 'TwrBsMxt_[kN-m]': 2536.1806580667435, 'TwrBsMyt_[kN-m]': 7062.418852689276, 'TwrBsMzt_[kN-m]': 1163.9395483612088, 'YawBrMxn_[kN-m]': 282.09212670250923, 'YawBrMyn_[kN-m]': 1070.9328882494028, 'YawBrMzn_[kN-m]': 1163.8424099258973}"
