#{"t_start": 1764689907.789117, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
2.790497906978025,1,460.885635,2.790497906978025,2.790497906978025,-10.607399424687923,"[1937.0068442106449, 1688.9085253086287, 1931.7328478667662]",[2390.87280633  601.34591712 2414.55362473],[2390.87280633  601.34591712 2414.55362473],[2822.41337829  740.07154859 2654.63839386],[117.06276193  63.35814412  53.58842838],[109.07102926  78.62070853  50.        ],[90.   62.5  61.25],[-27.06276193  26.64185588  36.41157162],[-19.07102926  11.37929147  40.        ],[ 0.   27.5  28.75],90.0,10.0,0.075,7876402825255,"{'RotTorq_[kN-m]': 259.8776508188898, 'RootMxc1_[kN-m]': 5757.527942945618, 'RootMyc1_[kN-m]': 3255.6947277174536, 'RootMzc1_[kN-m]': 80.92026840430584, 'TwrBsMxt_[kN-m]': 3603.614650978409, 'TwrBsMyt_[kN-m]': 6405.457480912475, 'TwrBsMzt_[kN-m]': 1167.002259512656, 'YawBrMxn_[kN-m]': 268.5139091692358, 'YawBrMyn_[kN-m]': 1156.981441845954, 'YawBrMzn_[kN-m]': 1167.5277359144045}"
-29.050899427009476,1,461.327662,-29.050899427009476,-29.050899427009476,-29.260587880018264,"[1689.815945266564, 1293.0422565696158, 1561.8097732488782]",[2886.35121951  923.4887323  2595.69294203],[2886.35121951  923.4887323  2595.69294203],[2971.23552731  924.3415143  2528.9433762 ],[134.          54.          57.58842838],[126.64672463  60.99195792  54.        ],[94. 69. 69.],[-40.          40.          36.41157162],[-32.64672463  33.00804208  40.        ],[ 0. 25. 25.],94.0,10.0,0.025,9745131861747,"{'RotTorq_[kN-m]': 76.40882993776547, 'RootMxc1_[kN-m]': 5813.154858733687, 'RootMyc1_[kN-m]': 2136.362900755116, 'RootMzc1_[kN-m]': 63.48844079017572, 'TwrBsMxt_[kN-m]': 1975.4175185494657, 'TwrBsMyt_[kN-m]': 2765.7735844025397, 'TwrBsMzt_[kN-m]': 671.5586908965822, 'YawBrMxn_[kN-m]': 96.05104372778226, 'YawBrMyn_[kN-m]': 583.1397927180905, 'YawBrMzn_[kN-m]': 671.5318866235783}"
-8.834375732138582,1,461.328167,-8.834375732138582,-8.834375732138582,-7.026048185667437,"[3028.7226652460727, 1038.427775065523, 848.7292215579315]",[2500.07135636  554.93497178 2337.24508389],[2500.07135636  554.93497178 2337.24508389],[2425.77149103  535.08384963 2326.51769871],[122.9596468   77.82570541  81.59087895],[114.96791413  93.08826981  78.00245057],[90.  57.5 60. ],[-32.9596468   12.17429459   8.40912105],[-24.96791413  -3.08826981  11.99754943],[ 0.  32.5 30. ],90.0,10.0,0.025,8664903256697,"{'RotTorq_[kN-m]': 75.36092937077204, 'RootMxc1_[kN-m]': 5830.566261872095, 'RootMyc1_[kN-m]': 1066.004056418138, 'RootMzc1_[kN-m]': 63.45618572403362, 'TwrBsMxt_[kN-m]': 1231.032431307907, 'TwrBsMyt_[kN-m]': 2455.644044744882, 'TwrBsMzt_[kN-m]': 382.69854048767985, 'YawBrMxn_[kN-m]': 85.85215038059725, 'YawBrMyn_[kN-m]': 472.93412620704, 'YawBrMzn_[kN-m]': 382.58958011375194}"
-3.9911726545094846,1,461.32847,-3.9911726545094846,-3.9911726545094846,-7.3172315737997495,"[3003.6958468876096, 894.9539871088256, 2818.9920101640073]",[2926.96787907 1355.7944837  2714.13784932],[2926.96787907 1355.7944837  2714.13784932],[2982.9194752  1529.14830025 2735.92660175],[ 91.39709148  56.         105.08344732],[ 83.40535881  71.01874698 101.49501894],[96.  76.  73.5],[ 4.60290852 40.         -9.08344732],[12.59464119 24.98125302 -5.49501894],[ 0.  20.  22.5],96.0,10.0,0.05,2941397652208,"{'RotTorq_[kN-m]': 165.25482967368495, 'RootMxc1_[kN-m]': 5901.691369714111, 'RootMyc1_[kN-m]': 2215.4675514381997, 'RootMzc1_[kN-m]': 77.32935593415239, 'TwrBsMxt_[kN-m]': 3086.7457914596616, 'TwrBsMyt_[kN-m]': 6138.7323491315365, 'TwrBsMzt_[kN-m]': 822.1262287659047, 'YawBrMxn_[kN-m]': 220.3201566431085, 'YawBrMyn_[kN-m]': 811.4888502645221, 'YawBrMzn_[kN-m]': 822.1900977330733}"
-1.8589177480695278,1,461.328766,-1.8589177480695278,-1.8589177480695278,-3.0920213818257642,"[3180.59834655186, 1029.2225869708107, 2699.8675563404963]",[2923.05837422 1343.01019254 2774.49826959],[2923.05837422 1343.01019254 2774.49826959],[2785.89450809 1388.57553671 2955.6843433 ],[109.38126941  56.          84.51565452],[101.38953674  62.45621611  80.92722614],[96.   76.   74.75],[-13.38126941  40.          11.48434548],[-5.38953674 33.54378389 15.07277386],[ 0.   20.   21.25],96.0,10.0,0.075,6855141992712,"{'RotTorq_[kN-m]': 168.27626787606332, 'RootMxc1_[kN-m]': 5866.879771177745, 'RootMyc1_[kN-m]': 2952.0860442408534, 'RootMzc1_[kN-m]': 82.50805621317043, 'TwrBsMxt_[kN-m]': 3852.189703886305, 'TwrBsMyt_[kN-m]': 6338.809345407254, 'TwrBsMzt_[kN-m]': 1036.329914258473, 'YawBrMxn_[kN-m]': 207.31009508092896, 'YawBrMyn_[kN-m]': 1033.579656832627, 'YawBrMzn_[kN-m]': 1037.1973668325734}"
-2.31148658784105,1,461.329095,-2.31148658784105,-2.31148658784105,-2.8747137049323994,"[1768.4204938188986, 842.296203969276, 2656.893546069875]",[2500.07135636  554.93497178 2337.24508389],[2500.07135636  554.93497178 2337.24508389],[2470.65257085  567.96282287 2384.90555   ],[87.33698073 50.         53.58842838],[79.34524806 50.         50.        ],[90.  57.5 60. ],[ 2.66301927 40.         36.41157162],[10.65475194 40.         40.        ],[ 0.  32.5 30. ],90.0,10.0,0.025,4093967942106,"{'RotTorq_[kN-m]': 82.96637951869712, 'RootMxc1_[kN-m]': 5521.165117842461, 'RootMyc1_[kN-m]': 2078.961532564062, 'RootMzc1_[kN-m]': 70.98812008028152, 'TwrBsMxt_[kN-m]': 2371.591658447385, 'TwrBsMyt_[kN-m]': 3800.556336830468, 'TwrBsMzt_[kN-m]': 756.5133935684471, 'YawBrMxn_[kN-m]': 123.611381271214, 'YawBrMyn_[kN-m]': 747.8904134829112, 'YawBrMzn_[kN-m]': 756.6803800810172}"
-2.392080678448278,1,461.329499,-2.392080678448278,-2.392080678448278,-0.5264619684105879,"[2804.6101100629407, 1017.6461221005444, 1433.340903875793]",[2457.94352798  584.14873332 2342.3039768 ],[2457.94352798  584.14873332 2342.3039768 ],[2459.99166949  569.28871413 2254.13190877],[106.66174603  71.00723002  75.91157513],[98.67001335 86.26979442 72.32314675],[90.   61.25 60.  ],[-16.66174603  18.99276998  14.08842487],[-8.67001335  3.73020558 17.67685325],[ 0.   28.75 30.  ],90.0,10.0,0.05,4082981870218,"{'RotTorq_[kN-m]': 156.98659913625747, 'RootMxc1_[kN-m]': 5826.6531193488545, 'RootMyc1_[kN-m]': 1987.6362632264456, 'RootMzc1_[kN-m]': 72.55321897688937, 'TwrBsMxt_[kN-m]': 1896.993005234125, 'TwrBsMyt_[kN-m]': 5131.200446897448, 'TwrBsMzt_[kN-m]': 696.5490243434355, 'YawBrMxn_[kN-m]': 187.04288450034392, 'YawBrMyn_[kN-m]': 774.6992896909941, 'YawBrMzn_[kN-m]': 696.7122589564588}"
4.126973472631534,1,461.329796,4.126973472631534,4.126973472631534,-7.647136815809133,"[1936.3753389474457, 1382.3827026353467, 3404.773391549459]",[2849.13448276  996.41612474 2611.50005757],[2849.13448276  996.41612474 2611.50005757],[3328.46049182 1093.78344427 2858.01917792],[101.10645479  54.          57.58842838],[93.11472211 54.         54.        ],[94.   70.25 69.  ],[-7.10645479 40.         36.41157162],[ 0.88527789 40.         40.        ],[ 0.   23.75 25.  ],94.0,10.0,0.075,5993125540922,"{'RotTorq_[kN-m]': 210.8390451613478, 'RootMxc1_[kN-m]': 5870.834075320406, 'RootMyc1_[kN-m]': 2961.5229274484113, 'RootMzc1_[kN-m]': 82.00453069390996, 'TwrBsMxt_[kN-m]': 3620.705212819394, 'TwrBsMyt_[kN-m]': 5953.294072559486, 'TwrBsMzt_[kN-m]': 1178.4747850157082, 'YawBrMxn_[kN-m]': 251.97256085134026, 'YawBrMyn_[kN-m]': 1014.7183934591679, 'YawBrMzn_[kN-m]': 1177.6153466632807}"
-9.010725805440261,1,461.330078,-9.010725805440261,-9.010725805440261,-8.333033401642824,"[2757.3913573609725, 1072.533476426691, 2479.503061712745]",[2946.5308038  1277.85891359 2709.86484321],[2946.5308038  1277.85891359 2709.86484321],[2927.63675404 1292.91511064 2662.43786394],[118.54000462  56.          79.41563755],[110.54827195  56.          75.82720917],[96.   74.75 73.5 ],[-22.54000462  40.          16.58436245],[-14.54827195  40.          20.17279083],[ 0.   21.25 22.5 ],96.0,10.0,0.025,8443445487376,"{'RotTorq_[kN-m]': 89.03005648299143, 'RootMxc1_[kN-m]': 5867.5560858157305, 'RootMyc1_[kN-m]': 1960.5070655813006, 'RootMzc1_[kN-m]': 75.10591198736309, 'TwrBsMxt_[kN-m]': 1643.3592364275853, 'TwrBsMyt_[kN-m]': 2988.9612192459804, 'TwrBsMzt_[kN-m]': 582.7808236133716, 'YawBrMxn_[kN-m]': 106.98212170971745, 'YawBrMyn_[kN-m]': 573.1370046820149, 'YawBrMzn_[kN-m]': 582.9941505040033}"
-3.5478750674771735,1,461.330374,-3.5478750674771735,-3.5478750674771735,-1.2952938662673468,"[3011.170800786662, 1014.0008870112543, 1175.7693808087802]",[2500.07135636  554.93497178 2337.24508389],[2500.07135636  554.93497178 2337.24508389],[2492.88408912  504.72552573 2271.58298226],[82.4910253  73.66085092 95.22494371],[74.49929262 88.92341532 91.63651533],[90.  57.5 60. ],[ 7.5089747  16.33914908 -5.22494371],[15.50070738  1.07658468 -1.63651533],[ 0.  32.5 30. ],90.0,10.0,0.025,9322745317582,"{'RotTorq_[kN-m]': 98.380407032797, 'RootMxc1_[kN-m]': 5939.68114581169, 'RootMyc1_[kN-m]': 1287.9484802004401, 'RootMzc1_[kN-m]': 65.23717564804929, 'TwrBsMxt_[kN-m]': 772.0170732752349, 'TwrBsMyt_[kN-m]': 2744.290283420068, 'TwrBsMzt_[kN-m]': 397.9101247771726, 'YawBrMxn_[kN-m]': 104.34642009010581, 'YawBrMyn_[kN-m]': 464.47275674961656, 'YawBrMzn_[kN-m]': 397.86687869361964}"
