#{"t_start": 1755726297.8587997, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
2.3901289,1,568.102697,2.3901287911585096,"[2605.184273719148, 1144.6801901266133, 2787.9783633941506]",6385.227662497541,6385.227662497541,[101.22767742  54.          71.02708709],[93.23594475 69.04451752 67.43865871],[94. 69. 69.],[-7.22767742 40.         22.97291291],[ 0.76405525 24.95548248 26.56134129],[ 0. 25. 25.],94.0,10.0,0.05
-17.503601,1,568.103323,-17.503600594589432,"[2284.435810298074, 563.9876539227565, 2060.299849674168]",5950.227342374239,5950.227342374239,[99.28489788 52.         71.09903515],[91.29316521 64.09609032 67.51060677],[92.   65.75 64.5 ],[-7.28489788 40.         20.90096485],[ 0.70683479 27.90390968 24.48939323],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-9.935593,1,568.103631,-9.935592657411659,"[2526.2128282136223, 825.6672162423931, 2421.209814565477]",6409.957084447053,6409.957084447053,[108.29726513  55.04129197  72.59683263],[100.30553246  70.30385637  69.00840425],[94.   70.25 69.  ],[-14.29726513  38.95870803  21.40316737],[-6.30553246 23.69614363 24.99159575],[ 0.   23.75 25.  ],94.0,10.0,0.075
2.0867116,1,568.103888,2.086711632356497,"[2808.56664337701, 1439.856496611654, 2777.714599265152]",6882.519406205336,6882.519406205336,[106.84504993  62.49662138  80.6718024 ],[98.85331726 77.75918579 77.08337402],[96.   76.   74.75],[-10.84504993  33.50337862  15.3281976 ],[-2.85331726 18.24081421 18.91662598],[ 0.   20.   21.25],96.0,10.0,0.075
-0.77150166,1,568.10414,-0.7715016616741104,"[2421.6125677481677, 759.2839258361529, 2711.2526804190343]",5937.960639002816,5937.960639002816,[99.77530105 52.         66.46942794],[91.78356838 56.78316784 62.88099957],[92.  62.  64.5],[-7.77530105 40.         25.53057206],[ 0.21643162 35.21683216 29.11900043],[ 0.  30.  27.5],92.0,10.0,0.025
4.604563,1,568.104385,4.604563364459526,"[2521.1239363026216, 924.0785758097411, 2749.6301665404685]",5922.143814193854,5922.143814193854,[98.28340156 52.         67.41439521],[90.29166889 63.1645937  63.82596684],[92.  64.5 64.5],[-6.28340156 40.         24.58560479],[ 1.70833111 28.8354063  28.17403316],[ 0.  27.5 27.5],92.0,10.0,0.05
-15.903285,1,568.104629,-15.90328523896429,"[2576.7611831479603, 988.3197179574336, 2222.891812304036]",6882.519406205336,6882.519406205336,[105.10819204  61.35265566  83.95297611],[97.11645937 76.61522007 80.36454773],[96.   76.   74.75],[-9.10819204 34.64734434 12.04702389],[-1.11645937 19.38477993 15.63545227],[ 0.   20.   21.25],96.0,10.0,0.075
-14.342793,1,568.104868,-14.342793164300543,"[2029.255165713513, 535.9129091817507, 2083.6668783573773]",5427.254897733999,5427.254897733999,[99.90859659 50.         61.68786991],[91.91686392 64.39954281 58.09944153],[90.   61.25 60.  ],[-9.90859659 40.         28.31213009],[-1.91686392 25.60045719 31.90055847],[ 0.   28.75 30.  ],90.0,10.0,0.05
-3.7230144,1,568.105106,-3.723014434446423,"[2830.797416270032, 625.8757775258618, 2272.026325739375]",5950.227342374239,5950.227342374239,[100.58150156  52.          70.42683065],[92.58976889 63.13809586 66.83840227],[92.   65.75 64.5 ],[-8.58150156 40.         21.57316935],[-0.58976889 28.86190414 25.16159773],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-4.3418703,1,568.105339,-4.341870527216231,"[3080.168359108964, 950.4376758044709, 2553.083289663934]",6882.519406205336,6882.519406205336,[106.02926023  57.89807059  81.0106262 ],[98.03752756 73.16063499 77.42219782],[96.   76.   74.75],[-10.02926023  38.10192941  14.9893738 ],[-2.03752756 22.83936501 18.57780218],[ 0.   20.   21.25],96.0,10.0,0.075
-2.171037,1,1130.216027,0.2190919207222608,"[2693.407543870218, 636.9658182504304, 2463.1985263467977]",5922.143814193854,5922.143814193854,[100.01012905  52.          69.21539486],[92.01839638 61.76848602 65.62696648],[92.  64.5 64.5],[-8.01012905 40.         22.78460514],[-1.83963776e-02  3.02315140e+01  2.63730335e+01],[ 0.  27.5 27.5],92.0,10.0,0.05
-13.313421,1,1130.217037,-30.817021629516418,"[2107.038904096756, 513.4946631969952, 2084.1680352662247]",5427.254897733999,5427.254897733999,[94.72115429 50.         63.19664467],[86.72942162 64.56040621 59.60821629],[90.   61.25 60.  ],[-4.72115429 40.         26.80335533],[ 3.27057838 25.43959379 30.39178371],[ 0.   28.75 30.  ],90.0,10.0,0.05
-0.082010254,1,1130.217316,-10.017602913996031,"[2255.0126484344687, 599.8901154634241, 2559.5322205295374]",5418.879021016563,5418.879021016563,[101.35516794  50.          61.54243457],[93.36343527 54.43262577 57.9540062 ],[90.  57.5 60. ],[-11.35516794  40.          28.45756543],[-3.36343527 35.56737423 32.0459938 ],[ 0.  32.5 30. ],90.0,10.0,0.025
12.443042,1,1130.217558,14.529753279357653,"[3021.9241474380524, 1235.0812969639364, 2950.5452696177117]",6409.957084447053,6409.957084447053,[106.16082008  55.80590273  73.81904733],[98.16908741 71.06846714 70.23061895],[94.   70.25 69.  ],[-12.16082008  38.19409727  20.18095267],[-4.16908741 22.93153286 23.76938105],[ 0.   23.75 25.  ],94.0,10.0,0.075
6.007511,1,1130.217795,5.236009426067271,"[2475.4616881087977, 1271.4305618269816, 3048.1437170788936]",6409.957084447053,6409.957084447053,[104.14347465  55.55144574  68.24887169],[96.15174198 70.81401014 64.66044331],[94.   70.25 69.  ],[-10.14347465  38.44855426  25.75112831],[-2.15174198 23.18598986 29.33955669],[ 0.   23.75 25.  ],94.0,10.0,0.075
4.888918,1,1130.218038,9.493481083526866,"[2559.8381897271997, 1080.354976123702, 3057.203023241271]",6385.227662497541,6385.227662497541,[101.87259491  54.          70.48094642],[93.88086224 67.38768005 66.89251804],[94. 69. 69.],[-7.87259491 40.         23.51905358],[ 0.11913776 26.61231995 27.10748196],[ 0. 25. 25.],94.0,10.0,0.05
-9.009545,1,1130.218272,-24.912830670148487,"[2662.260515319815, 1065.0381705987847, 2535.1370075745976]",6882.519406205336,6882.519406205336,[103.64562519  60.13514735  77.66971672],[95.65389252 75.39771175 74.08128834],[96.   76.   74.75],[-7.64562519 35.86485265 18.33028328],[ 0.34610748 20.60228825 21.91871166],[ 0.   20.   21.25],96.0,10.0,0.075
1.9701554,1,1130.218513,-12.372637782764363,"[2397.233425527896, 808.5223205549521, 2849.191944002781]",5937.960639002816,5937.960639002816,[96.47203548 52.         66.8906039 ],[88.48030281 63.31199837 63.30217552],[92.  62.  64.5],[-4.47203548 40.         25.1093961 ],[ 3.51969719 28.68800163 28.69782448],[ 0.  30.  27.5],92.0,10.0,0.025
14.418388,1,1130.218747,10.695374180274747,"[3111.280622565506, 1105.9158035770033, 3116.9731807769704]",6409.957084447053,6409.957084447053,[96.77887256 54.49386622 75.68329704],[88.78713989 69.75643063 72.09486866],[94.   70.25 69.  ],[-2.77887256 39.50613378 18.31670296],[ 5.21286011 24.24356937 21.90513134],[ 0.   23.75 25.  ],94.0,10.0,0.075
-3.0380027,1,1130.218985,-7.379873154172682,"[2656.68072706158, 1218.671415635591, 2807.7940182463326]",6892.541760697566,6892.541760697566,[104.54700954  59.70139004  76.54379451],[96.55527687 74.96395445 72.95536613],[96.   74.75 73.5 ],[-8.54700954 36.29860996 19.45620549],[-0.55527687 21.03604555 23.04463387],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-1.6330104,1,1694.982518,-1.4139185163647023,"[2505.3882792933055, 968.1617856762967, 2806.0807141419723]",6383.880209219254,6383.880209219254,[101.4408427   54.00140072  69.25102127],[93.44911003 69.26396513 65.66259289],[94. 69. 69.],[-7.4408427  39.99859928 24.74897873],[ 0.55088997 24.73603487 28.33740711],[ 0. 25. 25.],94.0,10.0,0.025
3.9167047,1,1694.997717,-26.900316874816404,"[2640.9753058271813, 755.0108405712797, 2333.1121789945987]",5513.16397004394,5513.16397004394,[100.49529941  50.45333506  66.7255472 ],[92.50356674 65.71589947 63.13711882],[90.   62.5  61.25],[-10.49529941  39.54666494  23.2744528 ],[-2.50356674 24.28410053 26.86288118],[ 0.   27.5  28.75],90.0,10.0,0.075
4.780262,1,1694.998089,-5.237340729094312,"[2766.9327003756134, 1069.5544283948857, 2879.8827102528053]",6409.957084447053,6409.957084447053,[98.46860226 55.42958762 73.88595474],[90.47686958 70.69215202 70.29752636],[94.   70.25 69.  ],[-4.46860226 38.57041238 20.11404526],[ 3.52313042 23.30784798 23.70247364],[ 0.   23.75 25.  ],94.0,10.0,0.075
4.485223,1,1694.998331,19.014976119622986,"[2605.0195313886547, 759.1173051194828, 2840.1545693211983]",5937.960639002816,5937.960639002816,[100.42009456  52.          68.52694929],[92.42836189 60.2478714  64.93852091],[92.  62.  64.5],[-8.42009456 40.         23.47305071],[-0.42836189 31.7521286  27.06147909],[ 0.  30.  27.5],92.0,10.0,0.025
