#{"t_start": 1755769704.9728475, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
1.4646635,1,554.562598,1.4646635484137314,"[2878.43208971115, 2015.894763909646, 1992.0616087028202]",6786.982010774406,6786.982010774406,[89.29674323 89.95934763 75.71218994],[90.06855869 68.34356213 70.4688921 ],[94.   70.25 69.  ],[ 4.70325677  4.04065237 18.28781006],[ 3.93144131 25.65643787 23.5311079 ],[ 0.   23.75 25.  ],94.0,10.0,0.075
8.898922,1,554.569347,8.89892158306476,"[2925.754461984912, 2661.6297081940943, 2282.9612211135745]",7227.202323844247,7227.202323844247,[95.63461431 99.19071903 76.50949696],[96.40642977 77.57493353 71.26619911],[96.  76.  73.5],[ 0.36538569 -3.19071903 19.49050304],[-0.40642977 18.42506647 24.73380089],[ 0.  20.  22.5],96.0,10.0,0.05
-5.592253,1,554.569614,-5.592253325423401,"[2493.233503696751, 1963.2787715103518, 1906.4596698722175]",6739.8832926417335,6739.8832926417335,[94.02110751 88.1118516  71.53719929],[94.79292297 66.49606609 66.29390144],[94. 69. 69.],[-2.11075128e-02  5.88814840e+00  2.24628007e+01],[-0.79292297 27.50393391 27.70609856],[ 0. 25. 25.],94.0,10.0,0.05
2.59036,1,554.569843,2.5903598427535823,"[2563.5787648615938, 1882.5006714755477, 1847.4783432468064]",6134.648313185043,6134.648313185043,[89.92939456 85.86584654 70.38407639],[90.70121002 64.25006104 65.14077854],[92.  64.5 64.5],[ 2.07060544  6.13415346 21.61592361],[ 1.29878998 27.74993896 26.85922146],[ 0.  27.5 27.5],92.0,10.0,0.05
-5.2519665,1,554.570059,-5.2519664553100185,"[2806.7496966321187, 1598.741977141467, 1491.437104917824]",6223.800703905897,6223.800703905897,[95.65394147 85.32447901 69.88562182],[96.42575693 63.7086935  64.64232397],[92.   65.75 64.5 ],[-3.65394147  6.67552099 22.11437818],[-4.42575693 28.2913065  27.35767603],[ 0.   26.25 27.5 ],92.0,10.0,0.075
3.916033,1,554.570272,3.916032950832049,"[2514.679278131295, 1616.957225752131, 1636.9510717759078]",5551.200726059997,5551.200726059997,[90.07962258 81.80431738 67.35327366],[90.85143805 60.18853188 62.10997581],[90.   61.25 60.  ],[-0.07962258  8.19568262 22.64672634],[-0.85143805 29.81146812 27.89002419],[ 0.   28.75 30.  ],90.0,10.0,0.05
10.197616,1,554.570487,10.19761575094109,"[2922.9899199866063, 2497.8384900105557, 2564.5322479809906]",7246.400571883479,7246.400571883479,[95.28073199 99.27813044 79.2718623 ],[96.05254745 77.66234493 74.02856445],[96.   76.   74.75],[ 0.71926801 -3.27813044 16.7281377 ],[-0.05254745 18.33765507 21.97143555],[ 0.   20.   21.25],96.0,10.0,0.075
-12.331802,1,554.570696,-12.33180257786616,"[2240.4807546723996, 1661.1109336201753, 1476.5439060640915]",6134.648313185043,6134.648313185043,[92.89015754 87.70450201 67.9258664 ],[93.661973   66.08871651 62.68256855],[92.  64.5 64.5],[-0.89015754  4.29549799 24.0741336 ],[-1.661973   25.91128349 29.31743145],[ 0.  27.5 27.5],92.0,10.0,0.05
4.1650543,1,554.570904,4.165054432477018,"[2427.8752105463236, 1650.7273725722694, 1594.071723084704]",5445.851621841659,5445.851621841659,[87.28343757 78.57187643 63.32668427],[88.05525303 56.95609093 58.08338642],[90.  57.5 60. ],[ 2.71656243 11.42812357 26.67331573],[ 1.94474697 33.04390907 31.91661358],[ 0.  32.5 30. ],90.0,10.0,0.025
0.34652734,1,554.571104,0.3465273420933066,"[2495.0514201288743, 1730.4525236778156, 1877.0381693212576]",6081.468163141961,6081.468163141961,[93.5365413  79.38939181 67.8260167 ],[94.30835676 57.7736063  62.58271885],[92.  62.  64.5],[-1.5365413  12.61060819 24.1739833 ],[-2.30835676 34.2263937  29.41728115],[ 0.  30.  27.5],92.0,10.0,0.025
0.9979139,1,1124.160851,2.4625774424207174,"[2613.2641543245463, 2483.0184478232904, 2229.7236361810806]",7253.621343127194,7253.621343127194,[92.34925159 94.53140249 75.26690224],[93.12106705 72.91561699 70.02360439],[96.   74.75 73.5 ],[ 3.65074841  1.46859751 20.73309776],[ 2.87893295 23.08438301 25.97639561],[ 0.   21.25 22.5 ],96.0,10.0,0.025
3.7291772,1,1124.16501,12.628098753638602,"[2282.655433659628, 1780.0819966522554, 1695.4774059170722]",5551.200726059997,5551.200726059997,[90.08019717 80.54354563 62.84211281],[90.85201263 58.92776012 57.59881496],[90.   61.25 60.  ],[-0.08019717  9.45645437 27.15788719],[-0.85201263 31.07223988 32.40118504],[ 0.   28.75 30.  ],90.0,10.0,0.05
0.3943661,1,1124.165299,-5.197887235456463,"[2683.9252373111535, 2108.935128104846, 2020.8872009410566]",6786.982010774406,6786.982010774406,[90.51271136 95.05435505 71.65817288],[91.28452682 73.43856955 66.41487503],[94.   70.25 69.  ],[ 3.48728864 -1.05435505 22.34182712],[ 2.71547318 20.56143045 27.58512497],[ 0.   23.75 25.  ],94.0,10.0,0.075
-17.234632,1,1124.165545,-14.644272114089908,"[2263.7593461245688, 1249.0758722757937, 1218.959819924454]",5717.119551570781,5717.119551570781,[88.02353175 81.07394591 68.59261635],[88.79534721 59.4581604  63.3493185 ],[90.   62.5  61.25],[ 1.97646825  8.92605409 21.40738365],[ 1.20465279 30.5418396  26.6506815 ],[ 0.   27.5  28.75],90.0,10.0,0.075
-4.2465925,1,1124.165785,-9.49855879112432,"[2881.7873837173993, 1878.4442629762511, 1693.4362785999306]",6739.8832926417335,6739.8832926417335,[93.91969379 90.51403799 75.42680291],[94.69150925 68.89825249 70.18350506],[94. 69. 69.],[ 0.08030621  3.48596201 18.57319709],[-0.69150925 25.10174751 23.81649494],[ 0. 25. 25.],94.0,10.0,0.05
-8.334602,1,1124.166032,-4.418569849297864,"[2542.857015321191, 1720.6679654159043, 1441.5466554265556]",6223.800703905897,6223.800703905897,[85.39445384 88.8467392  70.87118939],[86.1662693  67.23095369 65.62789154],[92.   65.75 64.5 ],[ 6.60554616  3.1532608  21.12881061],[ 5.8337307  24.76904631 26.37210846],[ 0.   26.25 27.5 ],92.0,10.0,0.075
12.60564,1,1124.166275,22.803255893452043,"[3005.9944494397937, 2075.852524949031, 1926.5036494385129]",6223.800703905897,6223.800703905897,[93.90168889 87.85362807 71.49469212],[94.67350435 66.23784256 66.25139427],[92.   65.75 64.5 ],[-1.90168889  4.14637193 20.50530788],[-2.67350435 25.76215744 25.74860573],[ 0.   26.25 27.5 ],92.0,10.0,0.075
10.258827,1,1124.166522,-2.0729754867977626,"[2872.054237913257, 1889.528643243206, 2002.4083951233772]",6134.648313185043,6134.648313185043,[92.71431192 83.56403437 71.40325383],[93.48612738 61.94824886 66.15995598],[92.  64.5 64.5],[-0.71431192  8.43596563 20.59674617],[-1.48612738 30.05175114 25.84004402],[ 0.  27.5 27.5],92.0,10.0,0.05
0.069384076,1,1124.166754,4.234438507200973,"[2620.1127098027314, 1683.8937367761937, 1781.6812869776634]",6081.468163141961,6081.468163141961,[93.77812131 81.64384451 70.27196005],[94.54993677 60.02805901 65.0286622 ],[92.  62.  64.5],[-1.77812131 10.35615549 21.72803995],[-2.54993677 31.97194099 26.9713378 ],[ 0.  30.  27.5],92.0,10.0,0.025
-9.289332,1,1124.16698,-8.942805319460806,"[2649.498761380003, 1798.6960217611918, 1708.3218909725426]",6786.982010774406,6786.982010774406,[89.02463611 92.62170115 75.35649803],[89.79645157 71.00591564 70.11320019],[94.   70.25 69.  ],[ 4.97536389  1.37829885 18.64350197],[ 4.20354843 22.99408436 23.88679981],[ 0.   23.75 25.  ],94.0,10.0,0.075
-5.752224,1,1692.595029,-3.2896466425022277,"[2773.9861935213294, 2008.291815981496, 1614.3015874084278]",6786.982010774406,6786.982010774406,[89.05883487 92.66813793 71.17695835],[89.83065033 71.05235243 65.93366051],[94.   70.25 69.  ],[ 4.94116513  1.33186207 22.82304165],[ 4.16934967 22.94764757 28.06633949],[ 0.   23.75 25.  ],94.0,10.0,0.075
-8.273667,1,1692.595547,4.354431672999809,"[2448.5208096685196, 1438.9966675564594, 1356.5866360467267]",5717.119551570781,5717.119551570781,[88.41955455 85.73334828 66.95926312],[89.19137001 64.11756277 61.71596527],[90.   62.5  61.25],[ 1.58044545  4.26665172 23.04073688],[ 0.80862999 25.88243723 28.28403473],[ 0.   27.5  28.75],90.0,10.0,0.075
2.8938987,1,1692.595812,-2.3039884817628504,"[2596.945431773445, 2302.1512833893225, 2000.2145705693722]",6705.267629373868,6705.267629373868,[94.48502238 91.05286637 71.7702916 ],[95.25683784 69.43708086 66.52699375],[94. 69. 69.],[-0.48502238  2.94713363 22.2297084 ],[-1.25683784 24.56291914 27.47300625],[ 0. 25. 25.],94.0,10.0,0.025
8.976715,1,1692.596081,-5.667557438258548,"[2736.050239110722, 2402.8318205896658, 2257.347961281239]",6786.982010774406,6786.982010774406,[89.28603824 91.49615565 73.14260987],[90.0578537  69.88037014 67.89931202],[94.   70.25 69.  ],[ 4.71396176  2.50384435 20.85739013],[ 3.9421463  24.11962986 26.10068798],[ 0.   23.75 25.  ],94.0,10.0,0.075
3.5945728,1,1692.596324,-5.903986026775078,"[2557.572213998539, 1914.2538818007652, 1828.2448656075278]",6081.468163141961,6081.468163141961,[89.86820682 84.10388079 68.98087338],[90.64002228 62.48809528 63.73757553],[92.  62.  64.5],[ 2.13179318  7.89611921 23.01912662],[ 1.35997772 29.51190472 28.26242447],[ 0.  30.  27.5],92.0,10.0,0.025
6.7319536,1,1692.596566,2.313383799520204,"[2676.034195767579, 2272.775676060496, 2244.799240058733]",6739.8832926417335,6739.8832926417335,[90.96965488 87.86437311 72.76070145],[91.74147034 66.24858761 67.5174036 ],[94. 69. 69.],[ 3.03034512  6.13562689 21.23929855],[ 2.25852966 27.75141239 26.4825964 ],[ 0. 25. 25.],94.0,10.0,0.05
3.182407,1,1692.596807,25.985662779124482,"[2623.5252862935017, 1970.6958625694078, 1735.6566346527222]",6134.648313185043,6134.648313185043,[91.68716176 85.07497397 69.7505863 ],[92.45897722 63.45918846 64.50728846],[92.  64.5 64.5],[ 0.31283824  6.92502603 22.2494137 ],[-0.45897722 28.54081154 27.49271154],[ 0.  27.5 27.5],92.0,10.0,0.05
-5.829816,1,1692.597053,-7.902791430097982,"[2383.63210587888, 1509.4742622710612, 1334.4695729376126]",5551.200726059997,5551.200726059997,[89.67363866 84.26050081 65.28727177],[90.44545412 62.64471531 60.04397392],[90.   61.25 60.  ],[ 0.32636134  5.73949919 24.71272823],[-0.44545412 27.35528469 29.95602608],[ 0.   28.75 30.  ],90.0,10.0,0.05
