#{"t_start": 1757006787.5042503, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-2.1239207,1,475.31022,-2.123920577324704,"[2715.3915982367057, 1650.2924423223035, 2543.4670099927175]",7059.080309821911,7059.080309821911,[95.0880719  70.27441956 77.22978437],[87.09633923 85.53698397 73.64135599],[96.  76.  73.5],[ 0.9119281  25.72558044 18.77021563],[ 8.90366077 10.46301603 22.35864401],[ 0.  20.  22.5],96.0,10.0,0.05
8.11061,1,475.316908,8.110609702339802,"[2769.871615369312, 1858.8817223162623, 2905.736668823617]",6969.24198952707,6969.24198952707,[97.85501964 70.88359572 76.97937572],[89.86328697 86.14616013 73.39094734],[96.   74.75 73.5 ],[-1.85501964 25.11640428 19.02062428],[ 6.13671303  9.85383987 22.60905266],[ 0.   21.25 22.5 ],96.0,10.0,0.025
7.382669,1,475.317189,7.382668911918213,"[2883.316773984788, 1063.4906438533994, 2480.2636720054306]",5985.203343302533,5985.203343302533,[95.89905842 63.6484964  74.0159148 ],[87.90732574 78.91106081 70.42748642],[92.  64.5 64.5],[-3.89905842 28.3515036  17.9840852 ],[ 4.09267426 13.08893919 21.57251358],[ 0.  27.5 27.5],92.0,10.0,0.05
12.49886,1,475.317404,12.498860423434806,"[2944.0221736237663, 2065.00588713342, 3017.430705966135]",7134.70228632762,7134.70228632762,[94.28123005 73.14089514 80.71756923],[86.28949738 88.40345955 77.12914085],[96.   76.   74.75],[ 1.71876995 22.85910486 15.28243077],[ 9.71050262  7.59654045 18.87085915],[ 0.   20.   21.25],96.0,10.0,0.075
5.300177,1,475.317612,5.3001771047447255,"[2558.570949319246, 781.5952218501882, 2571.9723634913835]",5614.557066489893,5614.557066489893,[102.14968117  53.46336962  65.71681726],[94.15794849 68.72593403 62.12838888],[90.   62.5  61.25],[-12.14968117  36.53663038  24.28318274],[-4.15794849 21.27406597 27.87161112],[ 0.   27.5  28.75],90.0,10.0,0.075
3.197061,1,475.317821,3.1970610318267436,"[2589.122625102505, 1844.3407643189603, 2929.3396834391865]",7134.70228632762,7134.70228632762,[100.5404187   69.89751555  75.45172298],[92.54868603 85.16007996 71.8632946 ],[96.   76.   74.75],[-4.5404187  26.10248445 20.54827702],[ 3.45131397 10.83992004 24.1367054 ],[ 0.   20.   21.25],96.0,10.0,0.075
0.66142994,1,475.318027,0.6614299565885227,"[2721.0305418512785, 1623.495201307626, 2670.812900634043]",6969.24198952707,6969.24198952707,[98.40753563 68.64712216 77.40826214],[90.41580296 83.90968657 73.81983376],[96.   74.75 73.5 ],[-2.40753563 27.35287784 18.59173786],[ 5.58419704 12.09031343 22.18016624],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-6.4696927,1,475.318233,-6.4696926462301505,"[2466.9700638818263, 727.2110760749065, 2427.3848906432663]",6010.421851108581,6010.421851108581,[99.88356216 56.10330893 70.41994989],[91.89182949 71.36587334 66.83152151],[92.   65.75 64.5 ],[-7.88356216 35.89669107 21.58005011],[ 0.10817051 20.63412666 25.16847849],[ 0.   26.25 27.5 ],92.0,10.0,0.075
2.87831,1,475.31844,2.8783100042372465,"[2600.913993316022, 1732.742833037401, 2836.181552577708]",6969.24198952707,6969.24198952707,[97.98418053 69.42828156 75.18926704],[89.99244785 84.69084597 71.60083866],[96.   74.75 73.5 ],[-1.98418053 26.57171844 20.81073296],[ 6.00755215 11.30915403 24.39916134],[ 0.   21.25 22.5 ],96.0,10.0,0.025
1.7077862,1,475.318644,1.7077861497240863,"[2765.491408399293, 1822.3864798731008, 2668.669855525177]",7134.70228632762,7134.70228632762,[95.44950016 76.35668971 79.84828079],[87.45776749 91.61925411 76.25985241],[96.   76.   74.75],[ 0.55049984 19.64331029 16.15171921],[ 8.54223251  4.38074589 19.74014759],[ 0.   20.   21.25],96.0,10.0,0.075
3.9126353,1,920.553085,1.788714828226024,"[2582.3399693854517, 1156.0425406075124, 2481.00001841383]",5985.203343302533,5985.203343302533,[98.83267982 61.04733302 68.95199478],[90.84094715 76.30989742 65.3635664 ],[92.  64.5 64.5],[-6.83267982 30.95266698 23.04800522],[ 1.15905285 15.69010258 26.6364336 ],[ 0.  27.5 27.5],92.0,10.0,0.05
9.163522,1,920.553581,17.274131127761777,"[2865.463835036621, 1263.4833788623966, 2933.940143510433]",6470.006889833298,6470.006889833298,[99.50399692 59.65646054 75.796646  ],[91.51226425 74.91902494 72.20821762],[94. 69. 69.],[-5.50399692 34.34353946 18.203354  ],[ 2.48773575 19.08097506 21.79178238],[ 0. 25. 25.],94.0,10.0,0.05
1.0211277,1,920.553864,8.403796644766732,"[2615.247996730943, 1120.7527172919677, 2800.073210479685]",6470.006889833298,6470.006889833298,[95.5065852  60.01266266 73.92814768],[87.51485252 75.27522707 70.3397193 ],[94. 69. 69.],[-1.5065852  33.98733734 20.07185232],[ 6.48514748 18.72477293 23.6602807 ],[ 0. 25. 25.],94.0,10.0,0.05
