#{"t_start": 1757885500.709653, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-2.2686474,1,462.713827,-2.2686474556141247,"[2391.0315821814443, 866.0251515552554, 2005.1865361094285]",5384.396238102012,5384.396238102012,[87.07538994 59.32761551 64.3364023 ],[79.08365726 74.59017992 60.74797392],[90.   61.25 60.  ],[ 2.92461006 30.67238449 25.6635977 ],[10.91634274 15.40982008 29.25202608],[ 0.   28.75 30.  ],90.0,10.0,0.05
-4.301741,1,462.736621,-4.30174114158069,"[2575.649112066697, 921.3636888088305, 2162.6203080575942]",5914.039791785825,5914.039791785825,[87.63917549 60.0993426  69.26267564],[79.64744282 75.36190701 65.67424726],[92.   65.75 64.5 ],[ 4.36082451 31.9006574  22.73732436],[12.35255718 16.63809299 26.32575274],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-1.1005353,1,462.736971,-1.1005353154688498,"[2509.4443590221053, 1073.6997091366986, 1764.1248408976678]",5406.772348175144,5406.772348175144,[88.74743851 67.25998284 69.22520626],[80.75570583 82.52254725 65.63677788],[90.   62.5  61.25],[ 1.25256149 22.74001716 20.77479374],[ 9.24429417  7.47745275 24.36322212],[ 0.   27.5  28.75],90.0,10.0,0.075
4.9752884,1,462.737198,4.975288575147292,"[2837.2773920545933, 1688.4570909409688, 2252.573086105577]",6457.050665070418,6457.050665070418,[87.70774181 71.46914031 73.61378324],[79.71600914 86.73170471 70.02535486],[94.   70.25 69.  ],[ 6.29225819 22.53085969 20.38621676],[14.28399086  7.26829529 23.97464514],[ 0.   23.75 25.  ],94.0,10.0,0.075
2.4728801,1,462.737402,2.4728800146794536,"[2636.5127734528733, 807.9440280116106, 2629.326975713582]",5927.210961873994,5927.210961873994,[92.54642589 56.10731198 72.01033294],[84.55469322 71.36987638 68.42190456],[92.  62.  64.5],[-0.54642589 35.89268802 19.98966706],[ 7.44530678 20.63012362 23.57809544],[ 0.  30.  27.5],92.0,10.0,0.025
-1.5998611,1,462.737606,-1.5998612004266899,"[2555.1559202968624, 966.5138141713812, 1798.6017607130466]",5406.772348175144,5406.772348175144,[86.79114254 62.33747126 66.95348251],[78.79940987 77.60003567 63.36505413],[90.   62.5  61.25],[ 3.20885746 27.66252874 23.04651749],[11.20059013 12.39996433 26.63494587],[ 0.   27.5  28.75],90.0,10.0,0.075
1.9004529,1,462.737808,1.9004528545559192,"[2741.917982660731, 1884.993518631732, 2502.961500607246]",6996.900212088641,6996.900212088641,[91.49667271 75.02577998 77.25493753],[83.50494003 90.28834438 73.66650915],[96.  76.  73.5],[ 4.50332729 20.97422002 18.74506247],[12.49505997  5.71165562 22.33349085],[ 0.  20.  22.5],96.0,10.0,0.05
5.1278205,1,462.738007,5.127820504486625,"[2695.0395102207754, 1193.1688854093766, 2322.49093204874]",5907.7599990897115,5907.7599990897115,[94.0189801  63.7368281  70.17962873],[86.02724743 78.99939251 66.59120035],[92.  64.5 64.5],[-2.0189801  28.2631719  21.82037127],[ 5.97275257 13.00060749 25.40879965],[ 0.  27.5 27.5],92.0,10.0,0.05
6.78824,1,462.738209,6.78823983731036,"[2877.6708197003013, 2112.8035193019987, 2528.0230601039398]",7040.566836348752,7040.566836348752,[93.82303722 75.77625968 78.43139494],[85.83130455 91.03882408 74.84296656],[96.   76.   74.75],[ 2.17696278 20.22374032 17.56860506],[10.16869545  4.96117592 21.15703344],[ 0.   20.   21.25],96.0,10.0,0.075
5.987567,1,462.738413,5.987566849242652,"[2670.4652270194188, 1162.6167436958835, 1897.4244861931943]",5406.772348175144,5406.772348175144,[85.42859943 65.6085837  68.88596523],[77.43686676 80.87114811 65.29753685],[90.   62.5  61.25],[ 4.57140057 24.3914163  21.11403477],[12.56313324  9.12885189 24.70246315],[ 0.   27.5  28.75],90.0,10.0,0.075
