number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
0,0.1346090010065853,2025-11-21 06:07:13.754882,2025-11-21 07:36:15.269093,0 days 01:29:01.514211,0.28228224974686006,7.426846883921206e-05,15,COMPLETE
1,-0.15755549557678947,2025-11-21 06:07:13.755338,2025-11-21 07:35:03.165563,0 days 01:27:49.410225,0.0584678989693902,9.680818200823269e-05,10,COMPLETE
2,0.0911238319163675,2025-11-21 06:07:13.756035,2025-11-21 07:35:25.491964,0 days 01:28:11.735929,0.24404321527704267,1.2815632825487848e-05,7,COMPLETE
3,0.0345130732895454,2025-11-21 06:07:13.756701,2025-11-21 07:35:02.705335,0 days 01:27:48.948634,0.006978183252130785,9.352819289075525e-05,9,COMPLETE
4,-0.13323904915793935,2025-11-21 06:07:13.757730,2025-11-21 07:35:30.559512,0 days 01:28:16.801782,0.004069757405152863,8.73242053742716e-06,11,COMPLETE
5,-0.03594875442742572,2025-11-21 06:07:13.758086,2025-11-21 07:36:27.754154,0 days 01:29:13.996068,0.13190496149299888,0.00034677876638663564,12,COMPLETE
6,-0.21124697387748617,2025-11-21 06:07:13.758760,2025-11-21 07:35:06.650444,0 days 01:27:52.891684,0.005669057323269811,6.8334755967299805e-06,18,COMPLETE
7,-0.1582492973471045,2025-11-21 06:07:13.759386,2025-11-21 07:35:32.743223,0 days 01:28:18.983837,0.0015385802514231123,3.950950031077956e-05,9,COMPLETE
8,-0.027128133030893523,2025-11-21 06:07:13.760045,2025-11-21 07:34:55.290612,0 days 01:27:41.530567,0.06539637836561825,2.3631492122397346e-05,1,COMPLETE
9,-0.26614733551947195,2025-11-21 06:07:13.760673,2025-11-21 07:35:02.764215,0 days 01:27:49.003542,0.2812333135997558,1.0689690568548788e-06,4,COMPLETE
10,0.02049371084115016,2025-11-21 06:07:13.761437,2025-11-21 07:34:27.013351,0 days 01:27:13.251914,0.37451514918996565,0.000107426417161359,10,COMPLETE
11,-0.06888375574119056,2025-11-21 06:07:13.762216,2025-11-21 07:35:10.076784,0 days 01:27:56.314568,0.5613515043348242,2.0732058824691944e-05,2,COMPLETE
12,-0.023579320687390264,2025-11-21 06:07:13.763218,2025-11-21 07:34:50.021886,0 days 01:27:36.258668,0.2094144432794186,7.969555289703379e-06,10,COMPLETE
13,-0.21983497004816685,2025-11-21 06:07:13.763948,2025-11-21 07:34:48.451713,0 days 01:27:34.687765,0.5345187056272143,2.557969336585792e-05,13,COMPLETE
14,-0.25628622252845873,2025-11-21 06:07:13.765215,2025-11-21 07:36:07.943687,0 days 01:28:54.178472,0.04577330372806995,0.0007056635950129967,15,COMPLETE
15,0.0012946355966136735,2025-11-21 06:07:13.765578,2025-11-21 07:36:13.343368,0 days 01:28:59.577790,0.11145294784211351,1.669149575613732e-05,21,COMPLETE
