number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
0,-0.27578244730848817,2025-11-21 12:53:51.082990,2025-11-21 13:53:19.974971,0 days 00:59:28.891981,0.0021746163371672463,7.728189446474023e-06,21,COMPLETE
1,-0.3461319146615056,2025-11-21 12:53:51.083680,2025-11-21 13:51:57.355236,0 days 00:58:06.271556,0.010019934508342284,2.944325086219357e-06,11,COMPLETE
2,-0.49294377781957377,2025-11-21 12:53:51.084519,2025-11-21 13:53:19.445027,0 days 00:59:28.360508,0.18203026507945116,0.0003356180421852887,21,COMPLETE
3,-0.42929033077104395,2025-11-21 12:53:51.084914,2025-11-21 13:52:18.166239,0 days 00:58:27.081325,0.005854050434825021,3.0421228064612296e-05,11,COMPLETE
4,-0.2238869949841606,2025-11-21 12:53:51.086019,2025-11-21 13:52:00.327612,0 days 00:58:09.241593,0.0012317714566796327,3.770448059657721e-05,1,COMPLETE
5,-0.28140179897490086,2025-11-21 12:53:51.086502,2025-11-21 13:51:50.525195,0 days 00:57:59.438693,0.0466463455125179,0.00013927522586195486,1,COMPLETE
6,-0.25710195702316546,2025-11-21 12:53:51.087149,2025-11-21 13:51:52.521855,0 days 00:58:01.434706,0.11351073465022768,0.00019292912232390897,11,COMPLETE
7,0.24166497876741533,2025-11-21 12:53:51.088037,2025-11-21 13:52:12.802698,0 days 00:58:21.714661,0.003685195708346404,0.00030527243493301136,11,COMPLETE
8,-0.1509684752324852,2025-11-21 12:53:51.088356,2025-11-21 13:52:17.166833,0 days 00:58:26.078477,0.0011000185294576484,1.8365578187372825e-05,11,COMPLETE
9,-0.06541912284288451,2025-11-21 12:53:51.088831,2025-11-21 13:52:11.607834,0 days 00:58:20.519003,0.09772403496251275,0.00011776619684930371,1,COMPLETE
10,-0.23917917590786897,2025-11-21 12:53:51.089773,2025-11-21 13:51:59.956902,0 days 00:58:08.867129,0.002453641145148316,7.049314711204229e-05,1,COMPLETE
11,-0.38105487836221863,2025-11-21 12:53:51.090270,2025-11-21 13:52:15.545261,0 days 00:58:24.454991,0.009042185825248667,6.848590230810428e-06,1,COMPLETE
12,-0.19040181665965714,2025-11-21 12:53:51.091017,2025-11-21 13:52:05.231854,0 days 00:58:14.140837,0.006494942968828683,1.3762449150727918e-05,1,COMPLETE
13,-0.09194883455753868,2025-11-21 12:53:51.091674,2025-11-21 13:52:13.719001,0 days 00:58:22.627327,0.31176564982918864,0.000481821545195801,11,COMPLETE
14,-0.39914217221667275,2025-11-21 12:53:51.092105,2025-11-21 13:52:03.716572,0 days 00:58:12.624467,0.0863209102471758,0.0006806553056149119,1,COMPLETE
15,-0.524451513413179,2025-11-21 12:53:51.093438,2025-11-21 13:51:53.184268,0 days 00:58:02.090830,0.04513670643007964,8.209602394663337e-05,1,COMPLETE
16,-0.048672950033452886,2025-11-21 12:53:51.094187,2025-11-21 13:52:05.236665,0 days 00:58:14.142478,0.011477203114954124,0.0003998053887843764,1,COMPLETE
17,-0.2794773675315249,2025-11-21 12:53:51.094622,2025-11-21 13:53:30.274054,0 days 00:59:39.179432,0.05092255836195553,9.168883524683473e-05,21,COMPLETE
18,-0.3977687244566487,2025-11-21 12:53:51.095088,2025-11-21 13:51:42.666070,0 days 00:57:51.570982,0.40816081207984894,0.00015431050174425222,11,COMPLETE
19,-0.23066801012877736,2025-11-21 12:53:51.095557,2025-11-21 13:53:15.360912,0 days 00:59:24.265355,0.015084849090162519,3.552933633485557e-05,21,COMPLETE
20,0.12326175992036542,2025-11-21 12:53:51.095983,2025-11-21 13:51:57.371159,0 days 00:58:06.275176,0.10284601872760223,0.00010356994120462601,11,COMPLETE
21,-0.5939519752451229,2025-11-21 12:53:51.096395,2025-11-21 13:52:08.586875,0 days 00:58:17.490480,0.004906230019464084,7.965801504764379e-06,11,COMPLETE
22,-0.08549391517626471,2025-11-21 12:53:51.096798,2025-11-21 13:52:56.772656,0 days 00:59:05.675858,0.12992723067554973,6.892083301111122e-05,21,COMPLETE
23,-0.38555849623458477,2025-11-21 12:53:51.097256,2025-11-21 13:52:08.968593,0 days 00:58:17.871337,0.00223019617739673,3.2245223545779295e-06,11,COMPLETE
24,-0.40830637481393045,2025-11-21 12:53:51.097639,2025-11-21 13:52:54.397295,0 days 00:59:03.299656,0.6377173940598234,1.4324426041206399e-05,21,COMPLETE
25,0.10805073552118809,2025-11-21 13:51:42.670444,2025-11-21 14:48:56.015550,0 days 00:57:13.345106,0.020207268258002696,0.0003059672440615115,11,COMPLETE
26,-0.446372304463791,2025-11-21 13:51:50.527988,2025-11-21 14:49:07.354477,0 days 00:57:16.826489,0.016841129321621743,0.0009212409415842601,11,COMPLETE
27,-0.2087621515001191,2025-11-21 13:51:52.523087,2025-11-21 14:49:14.704096,0 days 00:57:22.181009,0.021327866570326853,0.00030137470555309656,11,COMPLETE
28,0.18953538218453475,2025-11-21 13:51:53.185522,2025-11-21 14:48:59.700385,0 days 00:57:06.514863,0.019882108069108586,0.0009572861372287686,11,COMPLETE
29,-0.24557566332750896,2025-11-21 13:51:57.357651,2025-11-21 14:51:06.389164,0 days 00:59:09.031513,0.02370757891715619,0.0009781143408982465,11,COMPLETE
30,-0.16602054147930256,2025-11-21 13:51:57.372622,2025-11-21 14:51:42.914354,0 days 00:59:45.541732,0.019564504590712527,0.00028979108613482547,11,COMPLETE
31,-0.40285262380365416,2025-11-21 13:51:59.958161,2025-11-21 14:51:34.028302,0 days 00:59:34.070141,0.023171085102911094,0.00029402859902022345,11,COMPLETE
32,-0.1815784233361429,2025-11-21 13:52:00.328875,2025-11-21 14:51:24.796481,0 days 00:59:24.467606,0.02218581586149156,0.0003084054116116296,11,COMPLETE
33,-0.1397895459244565,2025-11-21 13:52:03.718522,2025-11-21 14:51:10.136933,0 days 00:59:06.418411,0.016801236382591962,0.000999565583075123,11,COMPLETE
