#{"t_start": 1764691433.3259318, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
-8.307070791618909,1,873.70833,-8.307070791618909,-8.307070791618909,-10.50754588621691,"[2499.8826890867385, 1588.998561404245, 1018.0195200401571, 1906.9027642837534, 757.6812618622048, 1811.059605675995, 1398.399002077957, 1359.7962457196875]","[1899.90144074 1872.05535626 1847.02893845 1902.61641056  933.24235105
 1043.26002198 1971.6614774  1989.00313295]","[1899.90144074 1872.05535626 1847.02893845 1902.61641056  933.24235105
 1043.26002198 1971.6614774  1989.00313295]","[1920.1001839  1891.47906993 1929.64389675 1932.19868175  972.07113397
 1006.44170668 2067.727764   2070.03611622]","[89.05427002 53.96290429 95.96723098 50.         71.30348384 63.63388408
 50.         64.76406909]","[89.05427002 53.96290429 95.96723098 50.         71.30348384 63.63388408
 50.         64.76406909]",[90.   90.   67.5  68.75 56.25 57.5  57.5  57.5 ],"[ 0.94572998 36.03709571 -5.96723098 40.         18.69651616 26.36611592
 40.         25.23593091]","[ 0.94572998 36.03709571 -5.96723098 40.         18.69651616 26.36611592
 40.         25.23593091]",[ 0.    0.   22.5  21.25 33.75 32.5  32.5  32.5 ],90.0,10.0,0.025,6924971920877,"{'RotTorq_[kN-m]': 86.92238118033156, 'RootMxc1_[kN-m]': 5470.194431166675, 'RootMyc1_[kN-m]': 2043.8574808044793, 'RootMzc1_[kN-m]': 67.80023092828962, 'TwrBsMxt_[kN-m]': 1577.847935110908, 'TwrBsMyt_[kN-m]': 3176.500448829208, 'TwrBsMzt_[kN-m]': 578.2330697578121, 'YawBrMxn_[kN-m]': 98.73721577812995, 'YawBrMyn_[kN-m]': 578.0626329452621, 'YawBrMzn_[kN-m]': 578.2807988361528}"
-7.317237894508405,1,873.709168,-7.317237894508405,-7.317237894508405,-7.521941817525025,"[2446.842867066364, 2948.8836139631057, 779.7807693904766, 1114.9047388603756, 2283.617723795738, 632.878109483069, 1304.5718064853338, 2534.0173765841023]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2069.79699112 2112.33207358 2043.90791886 2157.67280157 1077.02092238
 1270.97061151 2218.11200198 2238.11047593]","[ 88.03250499 129.79527094  52.          68.94853494  73.12146268
  52.          78.99441366  66.97016884]","[ 88.03250499 129.79527094  52.          68.94853494  73.12146268
  52.          78.99441366  66.97016884]",[92.   92.   72.   72.   59.5  60.75 63.25 63.25],"[  3.96749501 -37.79527094  40.          23.05146506  18.87853732
  40.          13.00558634  25.02983116]","[  3.96749501 -37.79527094  40.          23.05146506  18.87853732
  40.          13.00558634  25.02983116]",[ 0.    0.   20.   20.   32.5  31.25 28.75 28.75],92.0,10.0,0.025,7066378247040,"{'RotTorq_[kN-m]': 89.54854162009426, 'RootMxc1_[kN-m]': 5636.153940177777, 'RootMyc1_[kN-m]': 1858.9555599143291, 'RootMzc1_[kN-m]': 68.60270332633046, 'TwrBsMxt_[kN-m]': 2539.1993267424614, 'TwrBsMyt_[kN-m]': 4043.7206965615446, 'TwrBsMzt_[kN-m]': 612.5459335105667, 'YawBrMxn_[kN-m]': 113.25714349186025, 'YawBrMyn_[kN-m]': 620.4470761695393, 'YawBrMzn_[kN-m]': 612.3870689446654}"
-6.840996874913706,1,873.709619,-6.840996874913706,-6.840996874913706,-9.743469986079683,"[1581.5960077122245, 2408.4106638227854, 2676.4007748419886, 982.2018218054862, 2227.2603701556636, 2836.0615139637525, 1941.3852123688403, 1059.8970498479932]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[2259.17061333 2498.32391    2099.01930588 2361.80174334 1677.27689149
 1743.66446186 2346.02303626 2424.22316421]","[123.27666422 101.75096108  98.97358075  95.51493276  54.
  87.81729936  68.93472205  54.        ]","[123.27666422 101.75096108  98.97358075  95.51493276  54.
  87.81729936  68.93472205  54.        ]",[94.   94.   75.25 76.5  69.   70.25 67.75 67.75],"[-29.27666422  -7.75096108  -4.97358075  -1.51493276  40.
   6.18270064  25.06527795  40.        ]","[-29.27666422  -7.75096108  -4.97358075  -1.51493276  40.
   6.18270064  25.06527795  40.        ]",[ 0.    0.   18.75 17.5  25.   23.75 26.25 26.25],94.0,10.0,0.075,6041532930167,"{'RotTorq_[kN-m]': 219.93905163249391, 'RootMxc1_[kN-m]': 5776.207602992805, 'RootMyc1_[kN-m]': 2785.1346682324147, 'RootMzc1_[kN-m]': 79.57938967607964, 'TwrBsMxt_[kN-m]': 3505.322897689155, 'TwrBsMyt_[kN-m]': 7009.456195725523, 'TwrBsMzt_[kN-m]': 1213.3146587845156, 'YawBrMxn_[kN-m]': 262.4124200466517, 'YawBrMyn_[kN-m]': 1134.5167937981826, 'YawBrMzn_[kN-m]': 1213.2975625476956}"
-8.019837304470483,1,873.710036,-8.019837304470483,-8.019837304470483,-10.756131212129485,"[3103.0347895741224, 2138.3806296394514, 544.5563151341129, 2112.2280931728396, 2355.9761055589524, 1318.0685042791913, 1474.5358813004043, 892.2421097709096]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2077.51159117 2190.52993791 2155.45866863 2248.57803124 1169.50526064
 1353.06776921 2213.67108537 2210.70293762]","[55.06742451 74.01680474 68.70185156 89.84870368 86.6478393  52.
 61.96451316 93.980751  ]","[55.06742451 74.01680474 68.70185156 89.84870368 86.6478393  52.
 61.96451316 93.980751  ]",[92.   92.   72.   72.   59.5  60.75 63.25 63.25],"[36.93257549 17.98319526 23.29814844  2.15129632  5.3521607  40.
 30.03548684 -1.980751  ]","[36.93257549 17.98319526 23.29814844  2.15129632  5.3521607  40.
 30.03548684 -1.980751  ]",[ 0.    0.   20.   20.   32.5  31.25 28.75 28.75],92.0,10.0,0.025,3764560267469,"{'RotTorq_[kN-m]': 96.81628836715893, 'RootMxc1_[kN-m]': 5555.647292645596, 'RootMyc1_[kN-m]': 1958.0814629647775, 'RootMzc1_[kN-m]': 70.57957044955123, 'TwrBsMxt_[kN-m]': 2054.890156589601, 'TwrBsMyt_[kN-m]': 3592.5988300891313, 'TwrBsMzt_[kN-m]': 530.1061405432799, 'YawBrMxn_[kN-m]': 115.72590590786017, 'YawBrMyn_[kN-m]': 569.5959030489288, 'YawBrMzn_[kN-m]': 530.1250709831196}"
-11.63255555111416,1,873.710564,-11.63255555111416,-11.63255555111416,-10.541584390821635,"[2969.453083714085, 2600.8635770108813, 889.8651173996675, 2025.6124188955255, 788.6787857439847, 1210.5496913535417, 2255.0692974394074, 2214.8423099505235]","[2336.27831635 2227.08184853 2079.90967481 2227.01755015 1586.47534689
 1642.6885678  2403.21583371 2420.91187299]","[2336.27831635 2227.08184853 2079.90967481 2227.01755015 1586.47534689
 1642.6885678  2403.21583371 2420.91187299]","[2331.2416136  2158.45061924 2040.60992196 2207.73798916 1572.37396379
 1584.23550549 2435.55304049 2386.98843408]","[ 84.12081956  71.86535085  63.70973592  54.         104.58256987
  65.46285894  72.25312937 104.01203367]","[ 84.12081956  71.86535085  63.70973592  54.         104.58256987
  65.46285894  72.25312937 104.01203367]",[94.   94.   72.75 75.25 67.75 67.75 69.   69.  ],"[  9.87918044  22.13464915  30.29026408  40.         -10.58256987
  28.53714106  21.74687063 -10.01203367]","[  9.87918044  22.13464915  30.29026408  40.         -10.58256987
  28.53714106  21.74687063 -10.01203367]",[ 0.    0.   21.25 18.75 26.25 26.25 25.   25.  ],94.0,10.0,0.025,7351734666922,"{'RotTorq_[kN-m]': 88.68120034085173, 'RootMxc1_[kN-m]': 5652.547314898826, 'RootMyc1_[kN-m]': 1854.3755872566699, 'RootMzc1_[kN-m]': 71.75441905097875, 'TwrBsMxt_[kN-m]': 1527.7917112610742, 'TwrBsMyt_[kN-m]': 3573.871856568291, 'TwrBsMzt_[kN-m]': 582.5337158583425, 'YawBrMxn_[kN-m]': 105.425523041524, 'YawBrMyn_[kN-m]': 611.6000954876714, 'YawBrMzn_[kN-m]': 582.574007962772}"
-9.35106953565847,1,873.710975,-9.35106953565847,-9.35106953565847,-12.139712272028886,"[1546.2907496131531, 2623.040429181574, 2297.2626006934397, 1184.401875119202, 2620.1331859926295, 2550.852116909723, 1210.4782371223316, 2680.4205371233393]","[2363.05984078 2273.29058407 2218.44653609 2405.40522663 1895.0986842
 2060.58104543 2583.86898864 2637.17895769]","[2363.05984078 2273.29058407 2218.44653609 2405.40522663 1895.0986842
 2060.58104543 2583.86898864 2637.17895769]","[2656.48016248 2105.60123423 2598.42230002 2287.09209535 2090.15723065
 1969.71769724 2667.60671015 2647.0316068 ]","[ 84.69374647  67.78937292  72.31471855 100.19220418  56.
  75.24032948  73.87888924  56.        ]","[ 84.69374647  67.78937292  72.31471855 100.19220418  56.
  75.24032948  73.87888924  56.        ]",[96.   96.   79.75 81.   76.   76.   74.75 74.75],"[11.30625353 28.21062708 23.68528145 -4.19220418 40.         20.75967052
 22.12111076 40.        ]","[11.30625353 28.21062708 23.68528145 -4.19220418 40.         20.75967052
 22.12111076 40.        ]",[ 0.    0.   16.25 15.   20.   20.   21.25 21.25],96.0,10.0,0.075,6741147310078,"{'RotTorq_[kN-m]': 279.2562976324379, 'RootMxc1_[kN-m]': 5720.868399636451, 'RootMyc1_[kN-m]': 3243.353077479242, 'RootMzc1_[kN-m]': 81.84414544728892, 'TwrBsMxt_[kN-m]': 3089.3565006232698, 'TwrBsMyt_[kN-m]': 7310.481146017932, 'TwrBsMzt_[kN-m]': 1203.6171871076665, 'YawBrMxn_[kN-m]': 312.04115309148744, 'YawBrMyn_[kN-m]': 1015.1619900063205, 'YawBrMzn_[kN-m]': 1203.3890707911355}"
-15.619849749543025,1,873.711384,-15.619849749543025,-15.619849749543025,-19.20629300566712,"[2956.571327097712, 3109.854027384402, 933.3744096541247, 1578.996478553509, 1523.0244469220565, 1153.2299982953211, 2376.9591832508454, 1969.6807014405358]","[2445.56076464 2226.17384658 2262.98780566 2435.52196586 1900.26950166
 2136.97402642 2584.86302505 2497.41297934]","[2445.56076464 2226.17384658 2262.98780566 2435.52196586 1900.26950166
 2136.97402642 2584.86302505 2497.41297934]","[2574.85197907 2414.24361752 2306.38908031 2637.24680018 1860.85460246
 2411.44124467 2618.85037381 2486.64926381]","[124.16623714  70.42986247  63.83704752  58.03224468  99.42069928
  56.          99.44408592 105.72579061]","[124.16623714  70.42986247  63.83704752  58.03224468  99.42069928
  56.          99.44408592 105.72579061]",[96.   96.   78.5  81.   74.75 76.   74.75 72.25],"[-28.16623714  25.57013753  32.16295248  37.96775532  -3.42069928
  40.          -3.44408592  -9.72579061]","[-28.16623714  25.57013753  32.16295248  37.96775532  -3.42069928
  40.          -3.44408592  -9.72579061]",[ 0.    0.   17.5  15.   21.25 20.   21.25 23.75],96.0,10.0,0.05,4411503410739,"{'RotTorq_[kN-m]': 175.4654738574456, 'RootMxc1_[kN-m]': 5815.482022201844, 'RootMyc1_[kN-m]': 2355.669175494347, 'RootMzc1_[kN-m]': 76.35088980503335, 'TwrBsMxt_[kN-m]': 2403.070309243967, 'TwrBsMyt_[kN-m]': 4806.213615327237, 'TwrBsMzt_[kN-m]': 795.4615632171398, 'YawBrMxn_[kN-m]': 191.82182040396157, 'YawBrMyn_[kN-m]': 770.1708868712553, 'YawBrMzn_[kN-m]': 795.3283818066304}"
-18.69765989258197,1,873.711791,-18.69765989258197,-18.69765989258197,-22.153285753876023,"[1545.5996944832775, 1978.3112441670828, 2740.924842065119, 2650.757550722754, 1705.5088547251755, 1072.4747198733523, 1293.6178811623247, 2045.4159561935144]","[2445.56076464 2226.17384658 2262.98780566 2435.52196586 1900.26950166
 2136.97402642 2584.86302505 2497.41297934]","[2445.56076464 2226.17384658 2262.98780566 2435.52196586 1900.26950166
 2136.97402642 2584.86302505 2497.41297934]","[2574.85197907 2414.24361752 2306.38908031 2637.24680018 1860.85460246
 2411.44124467 2618.85037381 2486.64926381]","[ 67.58184206  67.09732031  56.          83.24722245  92.82612891
 115.43265371  63.09232835  56.        ]","[ 67.58184206  67.09732031  56.          83.24722245  92.82612891
 115.43265371  63.09232835  56.        ]",[96.   96.   78.5  81.   74.75 76.   74.75 72.25],"[ 28.41815794  28.90267969  40.          12.75277755   3.17387109
 -19.43265371  32.90767165  40.        ]","[ 28.41815794  28.90267969  40.          12.75277755   3.17387109
 -19.43265371  32.90767165  40.        ]",[ 0.    0.   17.5  15.   21.25 20.   21.25 23.75],96.0,10.0,0.05,4627991829011,"{'RotTorq_[kN-m]': 168.51979386212227, 'RootMxc1_[kN-m]': 5707.585953799566, 'RootMyc1_[kN-m]': 2500.4279219121377, 'RootMzc1_[kN-m]': 75.20363635554136, 'TwrBsMxt_[kN-m]': 2407.4626180099103, 'TwrBsMyt_[kN-m]': 4987.509748949344, 'TwrBsMzt_[kN-m]': 854.0529074555234, 'YawBrMxn_[kN-m]': 189.36967073075573, 'YawBrMyn_[kN-m]': 788.8984990873652, 'YawBrMzn_[kN-m]': 854.1560723794448}"
-13.203255508435433,1,873.71219,-13.203255508435433,-13.203255508435433,-8.975515508357061,"[2256.4904330703266, 2990.671253806714, 994.236181026017, 703.3408280402392, 1925.4702915092423, 2455.8037401396136, 2172.8320489923044, 1141.240713060953]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[1953.60481671 2071.36225543 2073.0465855  2015.52955306 1747.21618112
 1760.89577672 2274.08368316 2187.93970074]","[ 67.15446268 111.44977381  98.03254663  65.35348959  54.
  54.          95.70801357  69.17300894]","[ 67.15446268 111.44977381  98.03254663  65.35348959  54.
  54.          95.70801357  69.17300894]",[94.   94.   75.25 76.5  69.   70.25 67.75 67.75],"[ 26.84553732 -17.44977381  -4.03254663  28.64651041  40.
  40.          -1.70801357  24.82699106]","[ 26.84553732 -17.44977381  -4.03254663  28.64651041  40.
  40.          -1.70801357  24.82699106]",[ 0.    0.   18.75 17.5  25.   23.75 26.25 26.25],94.0,10.0,0.075,6710059756017,"{'RotTorq_[kN-m]': 266.08055995121714, 'RootMxc1_[kN-m]': 5751.0944798235705, 'RootMyc1_[kN-m]': 2963.174156039934, 'RootMzc1_[kN-m]': 77.2559917932647, 'TwrBsMxt_[kN-m]': 4089.9226250582633, 'TwrBsMyt_[kN-m]': 7403.194792689168, 'TwrBsMzt_[kN-m]': 1098.8597503827411, 'YawBrMxn_[kN-m]': 282.96410224030916, 'YawBrMyn_[kN-m]': 1019.838827125817, 'YawBrMzn_[kN-m]': 1098.751008900136}"
-19.07922353389693,1,873.712578,-19.07922353389693,-19.07922353389693,-15.100251991965116,"[1432.4627437029865, 1485.4963668935557, 912.2154008706219, 1048.7469825843345, 2060.261197617556, 1785.3940220556765, 1333.1059751802732, 1080.4288645348156]","[1826.74504106 1848.58932041 1715.84153764 1902.52160543 1023.5118497
 1164.20027075 2115.98258495 2166.82513924]","[1826.74504106 1848.58932041 1715.84153764 1902.52160543 1023.5118497
 1164.20027075 2115.98258495 2166.82513924]","[1703.51606903 1685.18759694 1759.52614374 1612.73718926 1210.83263634
 1081.05063198 2072.79075664 1993.4927954 ]","[ 58.42273102  96.18264744  64.08983503 110.5407458   50.
  50.          50.          50.        ]","[ 58.42273102  96.18264744  64.08983503 110.5407458   50.
  50.          50.          50.        ]",[90.   90.   71.25 72.5  60.   60.   60.   60.  ],"[ 31.57726898  -6.18264744  25.91016497 -20.5407458   40.
  40.          40.          40.        ]","[ 31.57726898  -6.18264744  25.91016497 -20.5407458   40.
  40.          40.          40.        ]",[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],90.0,10.0,0.075,8449465342270,"{'RotTorq_[kN-m]': 264.85312348163023, 'RootMxc1_[kN-m]': 5678.472356248446, 'RootMyc1_[kN-m]': 3156.5381998431103, 'RootMzc1_[kN-m]': 72.23971968415681, 'TwrBsMxt_[kN-m]': 5199.669151471029, 'TwrBsMyt_[kN-m]': 7570.244702136499, 'TwrBsMzt_[kN-m]': 1155.8141428860342, 'YawBrMxn_[kN-m]': 288.0893379516846, 'YawBrMyn_[kN-m]': 964.590148783433, 'YawBrMzn_[kN-m]': 1155.9770536780695}"
