#{"t_start": 1762853295.4692905, "env_id": "None"}
,r,l,t,r.1,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL,RotTorq_[kN-m],RootMxc1_[kN-m],RootMyc1_[kN-m],RootMzc1_[kN-m],TwrBsMxt_[kN-m],TwrBsMyt_[kN-m],TwrBsMzt_[kN-m],YawBrMxn_[kN-m],YawBrMyn_[kN-m],YawBrMzn_[kN-m]
0,-2.322894228347532,1,882.595726,-2.322894228347532,-2.322894228347532,0.36208717496531,"[2757.288999445403, 2178.4491581682023, 1579.070110681122, 1497.793240489352, 2051.9019684712703, 2125.166355208351, 2229.70299147487, 2055.913055212179]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[2227.87042996 2240.29476986 2057.67488107 2222.70609578 1595.22209995
 1810.88763555 2329.48426669 2382.9503732 ]","[2202.55213158 2132.11927471 1943.14804843 2181.13802288 1591.49783236
 1827.51429679 2103.46444823 2434.41215039]","[90.18791103 99.22757053 80.0003686  73.56890106 67.70823383 68.4466114
 69.1949358  73.93578196]","[90.18791103 99.22757053 80.0003686  73.56890106 67.70823383 68.4466114
 69.1949358  73.93578196]",[94.   94.   75.25 76.5  69.   70.25 67.75 67.75],"[ 3.81208897 -5.22757053 13.9996314  20.43109894 26.29176617 25.5533886
 24.8050642  20.06421804]","[ 3.81208897 -5.22757053 13.9996314  20.43109894 26.29176617 25.5533886
 24.8050642  20.06421804]",[ 0.    0.   18.75 17.5  25.   23.75 26.25 26.25],94.0,10.0,0.075,7616843834683,"{'RotTorq_[kN-m]': 252.6935583396376, 'RootMxc1_[kN-m]': 5704.027572435916, 'RootMyc1_[kN-m]': 3116.9953708644916, 'RootMzc1_[kN-m]': 82.36031779423405, 'TwrBsMxt_[kN-m]': 2667.974843731692, 'TwrBsMyt_[kN-m]': 7474.275454911666, 'TwrBsMzt_[kN-m]': 1143.6875384065943, 'YawBrMxn_[kN-m]': 288.3807442214092, 'YawBrMyn_[kN-m]': 1112.1954194083726, 'YawBrMzn_[kN-m]': 1143.9509333880821}",9.773917463141355,-0.044155767293004404,-1.4389668174291228,0.162132576466203,8.708216231497866,2.1532595970463952,-3.4881060927298613,4.346886184780853,-0.8653989554704802,-3.462079471361669
1,2.266948981047825,1,882.596522,2.266948981047825,2.266948981047825,-0.068096998261593,"[2548.4991453320877, 2485.8481739059957, 1524.339686136243, 1485.644640723351, 2461.878036031538, 2054.041969731334, 2335.148132941817, 2378.583202848465]","[2291.67809785 2241.91800161 2089.04438238 2194.01980044 1543.87921095
 1703.54969927 2394.80725642 2432.17457622]","[2291.67809785 2241.91800161 2089.04438238 2194.01980044 1543.87921095
 1703.54969927 2394.80725642 2432.17457622]","[2303.26496092 2441.72626622 2114.84129936 2296.81363441 1595.55562379
 1668.3368753  2407.50634877 2457.70905852]","[94.25429249 96.07986116 71.92413235 78.85709906 66.42972374 67.0739212
 70.53290272 70.74503088]","[94.25429249 96.07986116 71.92413235 78.85709906 66.42972374 67.0739212
 70.53290272 70.74503088]",[94.   94.   74.   75.25 67.75 69.   69.   69.  ],"[-0.25429249 -2.07986116 22.07586765 15.14290094 27.57027626 26.9260788
 23.46709728 23.25496912]","[-0.25429249 -2.07986116 22.07586765 15.14290094 27.57027626 26.9260788
 23.46709728 23.25496912]",[ 0.    0.   20.   18.75 26.25 25.   25.   25.  ],94.0,10.0,0.05,5758474898299,"{'RotTorq_[kN-m]': 202.26609495298928, 'RootMxc1_[kN-m]': 5595.015253091468, 'RootMyc1_[kN-m]': 2829.191872561462, 'RootMzc1_[kN-m]': 81.9244519278301, 'TwrBsMxt_[kN-m]': 1937.1242729712815, 'TwrBsMyt_[kN-m]': 5443.139106629063, 'TwrBsMzt_[kN-m]': 1017.9334866614458, 'YawBrMxn_[kN-m]': 221.4931349418271, 'YawBrMyn_[kN-m]': 1005.4582013143712, 'YawBrMzn_[kN-m]': 1017.8988878352781}",21.968476413207373,0.2607512935817054,-1.0443690233159657,-0.35815514875564053,4.671230878406166,6.367247395185858,-1.1470383130771948,-5.690161921892263,-0.7084491020828563,-1.1477633340744535
2,-2.1922195993493334,1,882.596952,-2.1922195993493334,-2.1922195993493334,-0.8145460424591914,"[2086.9658533182483, 1983.0542163466941, 962.6239851257574, 1001.0385944734605, 1974.9548544758566, 1613.1156637728068, 1773.690781985646, 1865.2833971951172]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1777.64233542 1758.8441083  1756.39276916 1910.52381346 1055.57806664
 1178.18951439 1828.34200756 2104.11651674]","[93.8509655  84.18505192 67.71107674 68.48807335 59.48226213 53.86617184
 60.18970966 58.46747875]","[93.8509655  84.18505192 67.71107674 68.48807335 59.48226213 53.86617184
 60.18970966 58.46747875]",[90.   90.   70.   71.25 58.75 58.75 57.5  58.75],"[-3.8509655   5.81494808 22.28892326 21.51192665 30.51773787 36.13382816
 29.81029034 31.53252125]","[-3.8509655   5.81494808 22.28892326 21.51192665 30.51773787 36.13382816
 29.81029034 31.53252125]",[ 0.    0.   20.   18.75 31.25 31.25 32.5  31.25],90.0,10.0,0.05,5295705912559,"{'RotTorq_[kN-m]': 158.8801122376351, 'RootMxc1_[kN-m]': 5524.519826420757, 'RootMyc1_[kN-m]': 2612.134853960493, 'RootMzc1_[kN-m]': 73.7979063127897, 'TwrBsMxt_[kN-m]': 2311.201877608668, 'TwrBsMyt_[kN-m]': 5461.694657797155, 'TwrBsMzt_[kN-m]': 844.4336574461149, 'YawBrMxn_[kN-m]': 184.03031733461484, 'YawBrMyn_[kN-m]': 835.4284952607171, 'YawBrMzn_[kN-m]': 844.3616105001203}",-13.293449358905768,-0.11135160615751824,-2.3499282997957684,-1.4795930162391786,-2.207079540429716,-2.2482192046657774,-0.10674903096836018,-2.894112825718949,-1.8089411304917762,-0.10755091588915865
3,-0.4146177631601053,1,882.597383,-0.4146177631601053,-0.4146177631601053,-0.938653881649335,"[2399.2019976239053, 2636.4515793531536, 2037.482768530543, 1641.7062583374466, 2537.3934796125395, 2592.07104235934, 2152.1296144841713, 2477.279410953673]","[2492.35743879 2228.38998613 2356.80894941 2427.3475022  1818.38517439
 2091.25418069 2649.86021395 2486.22691436]","[2492.35743879 2228.38998613 2356.80894941 2427.3475022  1818.38517439
 2091.25418069 2649.86021395 2486.22691436]","[2493.24802746 2221.30496938 2390.88086577 2347.72128976 1785.91243471
 2066.58517067 2763.53265497 2579.57808096]","[94.81124973 97.39223099 79.76223803 82.2528491  66.98730087 71.36509991
 73.36599922 68.96353817]","[94.81124973 97.39223099 79.76223803 82.2528491  66.98730087 71.36509991
 73.36599922 68.96353817]",[96.   96.   78.5  79.75 72.25 74.75 76.   72.25],"[ 1.18875027 -1.39223099 16.23776197 13.7471509  29.01269913 24.63490009
 22.63400078 27.03646183]","[ 1.18875027 -1.39223099 16.23776197 13.7471509  29.01269913 24.63490009
 22.63400078 27.03646183]",[ 0.    0.   17.5  16.25 23.75 21.25 20.   23.75],96.0,10.0,0.025,7300672580833,"{'RotTorq_[kN-m]': 79.8444217064372, 'RootMxc1_[kN-m]': 5624.949675450896, 'RootMyc1_[kN-m]': 2150.8871596090203, 'RootMzc1_[kN-m]': 80.8690825698093, 'TwrBsMxt_[kN-m]': 1042.6787047217515, 'TwrBsMyt_[kN-m]': 3062.6887949812535, 'TwrBsMzt_[kN-m]': 883.5197000991186, 'YawBrMxn_[kN-m]': 123.33297560046255, 'YawBrMyn_[kN-m]': 861.350348658832, 'YawBrMzn_[kN-m]': 883.463678651121}",-11.62440950386958,0.29429407286973136,-1.8063153276207402,-1.5966963304287856,10.175000129766275,-1.5552539484015364,0.24992124186602543,-4.862567212468454,-5.147362937682822,0.25462194760327905
4,-3.0305456902415586,1,882.597791,-3.0305456902415586,-3.0305456902415586,-0.9913556345725596,"[2021.3235823369573, 1963.941395790544, 1232.0994750546013, 804.0417155972156, 1677.8114748304422, 1451.4502641772901, 2160.797298299189, 1835.6023307905475]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1731.00527125 1913.33931003 1508.83721475 1974.27375362  884.34451688
 1136.29393013 2006.84957876 2123.76316897]","[86.69082165 89.49625969 65.97571373 64.43095207 56.21668339 59.55260754
 56.80878639 57.08500862]","[86.69082165 89.49625969 65.97571373 64.43095207 56.21668339 59.55260754
 56.80878639 57.08500862]",[90.   90.   70.   71.25 58.75 58.75 57.5  58.75],"[ 3.30917835  0.50374031 24.02428627 25.56904793 33.78331661 30.44739246
 33.19121361 32.91499138]","[ 3.30917835  0.50374031 24.02428627 25.56904793 33.78331661 30.44739246
 33.19121361 32.91499138]",[ 0.    0.   20.   18.75 31.25 31.25 32.5  31.25],90.0,10.0,0.05,7345775032452,"{'RotTorq_[kN-m]': 185.28607798245764, 'RootMxc1_[kN-m]': 5521.01259358179, 'RootMyc1_[kN-m]': 2684.7051689057184, 'RootMzc1_[kN-m]': 74.16914415005776, 'TwrBsMxt_[kN-m]': 2752.796190986456, 'TwrBsMyt_[kN-m]': 6381.0837723169425, 'TwrBsMzt_[kN-m]': 868.5001703356195, 'YawBrMxn_[kN-m]': 207.80863267161445, 'YawBrMyn_[kN-m]': 890.9724656767697, 'YawBrMzn_[kN-m]': 868.4554399807937}",-0.6139938217432339,-0.4724675156810675,1.2328769884605715,-0.5676504204435108,14.495075785591496,1.2021064288071053,1.8681174746550486,4.6348977520433605,3.623714915470989,1.85109005505371
5,-1.1384387196671688,1,882.598182,-1.1384387196671688,-1.1384387196671688,-0.1339860784491674,"[2361.611086936973, 2138.5940768661694, 1101.1444566115847, 1172.86317691473, 2065.206629357906, 1999.0416135108824, 1997.544552293869, 2145.8500556403797]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2053.7479428  2050.47565029 2121.18743377 2117.1226018  1151.01435907
 1254.07535562 2194.54608482 2212.20953784]","[2052.4932779  2029.98898209 2098.43084075 2090.72217674 1135.05936664
 1189.9606128  2225.30703836 2179.99388562]","[94.27471113 88.22638702 69.25333691 72.30007839 59.26149082 61.16170835
 61.77779388 66.52196121]","[94.27471113 88.22638702 69.25333691 72.30007839 59.26149082 61.16170835
 61.77779388 66.52196121]",[92.   92.   72.   72.   59.5  60.75 63.25 63.25],"[-2.27471113  3.77361298 22.74666309 19.69992161 32.73850918 30.83829165
 30.22220612 25.47803879]","[-2.27471113  3.77361298 22.74666309 19.69992161 32.73850918 30.83829165
 30.22220612 25.47803879]",[ 0.    0.   20.   20.   32.5  31.25 28.75 28.75],92.0,10.0,0.025,8300380743048,"{'RotTorq_[kN-m]': 89.97696142549113, 'RootMxc1_[kN-m]': 5486.877333298936, 'RootMyc1_[kN-m]': 2267.9129604827863, 'RootMzc1_[kN-m]': 75.47892311140974, 'TwrBsMxt_[kN-m]': 1205.768986825648, 'TwrBsMyt_[kN-m]': 2916.762845784314, 'TwrBsMzt_[kN-m]': 637.3469278804835, 'YawBrMxn_[kN-m]': 104.28177710061574, 'YawBrMyn_[kN-m]': 712.8626548564977, 'YawBrMzn_[kN-m]': 637.3530312542457}",-0.27759843533588946,0.0579633973647816,-0.5093492387850332,-0.2775458411205771,3.0384499000434992,-1.2182464347220119,-1.3187614594029637,-0.37838060626464987,-1.1431682689901392,-1.3216419577775318
6,-5.902089760401897,1,882.598591,-5.902089760401897,-5.902089760401897,-0.8972092605712894,"[2155.8295335026028, 2107.8812881539393, 1019.5027696479398, 1043.5916474273074, 1969.7132734506786, 1787.3988249305396, 2073.8105400166123, 2119.498908835136]","[2025.25152971 2045.44764665 2022.23559276 2106.48013227 1230.96227197
 1329.18096411 2188.95229824 2224.22480317]","[2025.25152971 2045.44764665 2022.23559276 2106.48013227 1230.96227197
 1329.18096411 2188.95229824 2224.22480317]","[1975.44452395 1973.86943152 1930.59304143 2026.42720955 1122.75225736
 1173.01600448 2070.94678744 2133.4338306 ]","[89.59747028 86.21894073 68.46924973 69.0802021  60.4625864  58.61164284
 63.91727638 63.65486813]","[89.59747028 86.21894073 68.46924973 69.0802021  60.4625864  58.61164284
 63.91727638 63.65486813]",[92.   92.   73.25 73.25 62.   62.   63.25 63.25],"[ 2.40252972  5.78105927 23.53075027 22.9197979  31.5374136  33.38835716
 28.08272362 28.34513187]","[ 2.40252972  5.78105927 23.53075027 22.9197979  31.5374136  33.38835716
 28.08272362 28.34513187]",[ 0.    0.   18.75 18.75 30.   30.   28.75 28.75],92.0,10.0,0.05,8788953265409,"{'RotTorq_[kN-m]': 148.42504959799834, 'RootMxc1_[kN-m]': 5510.17897344947, 'RootMyc1_[kN-m]': 2584.919781040645, 'RootMzc1_[kN-m]': 74.73599271460083, 'TwrBsMxt_[kN-m]': 2066.0077782548865, 'TwrBsMyt_[kN-m]': 4696.523139216517, 'TwrBsMzt_[kN-m]': 857.021895086767, 'YawBrMxn_[kN-m]': 169.36813631806797, 'YawBrMyn_[kN-m]': 823.4881565712662, 'YawBrMzn_[kN-m]': 856.9937557834903}",-4.387914450016305,-0.29837702433985896,0.43408907296544275,-1.1163237670886914,10.961875978558382,1.6716405710913398,4.2855591826743815,-3.4487220699552132,2.1852824150293424,4.292898991478033
7,1.248010762509108,1,882.598991,1.248010762509108,1.248010762509108,-0.6268570788612343,"[2379.2280823069586, 2609.3250202820263, 1700.0843662958066, 1703.0796117864934, 2096.739296669271, 2025.6629329731948, 2189.3538060533974, 2398.4002930878305]","[2291.67809785 2241.91800161 2089.04438238 2194.01980044 1543.87921095
 1703.54969927 2394.80725642 2432.17457622]","[2291.67809785 2241.91800161 2089.04438238 2194.01980044 1543.87921095
 1703.54969927 2394.80725642 2432.17457622]","[2351.56285424 2122.31858697 2189.04010554 2058.80413241 1600.54945723
 1656.49619425 2613.26567787 2617.71696197]","[89.80502987 98.41461086 71.61777401 72.85226727 70.30982399 66.28304386
 68.92476463 64.90720654]","[89.80502987 98.41461086 71.61777401 72.85226727 70.30982399 66.28304386
 68.92476463 64.90720654]",[94.   94.   74.   75.25 67.75 69.   69.   69.  ],"[ 4.19497013 -4.41461086 22.38222599 21.14773273 23.69017601 27.71695614
 25.07523537 29.09279346]","[ 4.19497013 -4.41461086 22.38222599 21.14773273 23.69017601 27.71695614
 25.07523537 29.09279346]",[ 0.    0.   20.   18.75 26.25 25.   25.   25.  ],94.0,10.0,0.05,2557267360840,"{'RotTorq_[kN-m]': 174.21938866976762, 'RootMxc1_[kN-m]': 5547.304755469364, 'RootMyc1_[kN-m]': 2802.5747575709547, 'RootMzc1_[kN-m]': 82.92480810199217, 'TwrBsMxt_[kN-m]': 1828.9780594566068, 'TwrBsMyt_[kN-m]': 5139.455695469463, 'TwrBsMzt_[kN-m]': 959.8442890676588, 'YawBrMxn_[kN-m]': 218.1027693963722, 'YawBrMyn_[kN-m]': 973.5813011251669, 'YawBrMzn_[kN-m]': 959.036266603857}",-5.038631254836604,0.14618737700868217,-0.38603132607792784,-0.46976033539380635,11.230743111496025,3.4000546409236936,1.9388106702713337,13.202735957262554,1.1188207941190567,1.8642296260955087
8,6.422381776847326,1,882.599391,6.422381776847326,6.422381776847326,-0.8516520196676153,"[2240.5265946821805, 2148.6771225323105, 1336.2887742322073, 1199.2976595842304, 1831.655333135868, 2085.400565743161, 1893.876712910315, 1912.4851731208253]","[1826.74504106 1848.58932041 1715.84153764 1902.52160543 1023.5118497
 1164.20027075 2115.98258495 2166.82513924]","[1826.74504106 1848.58932041 1715.84153764 1902.52160543 1023.5118497
 1164.20027075 2115.98258495 2166.82513924]","[1936.20030401 1914.73207773 1924.63765108 1933.22685492 1140.77903614
 1077.47239185 2418.59393695 2428.38901897]","[92.67690659 89.14214611 72.75193214 72.74151087 58.34403515 63.44686747
 55.8419466  57.09689617]","[92.67690659 89.14214611 72.75193214 72.74151087 58.34403515 63.44686747
 55.8419466  57.09689617]",[90.   90.   71.25 72.5  60.   60.   60.   60.  ],"[-2.67690659  0.85785389 17.24806786 17.25848913 31.65596485 26.55313253
 34.1580534  32.90310383]","[-2.67690659  0.85785389 17.24806786 17.25848913 31.65596485 26.55313253
 34.1580534  32.90310383]",[ 0.    0.   18.75 17.5  30.   30.   30.   30.  ],90.0,10.0,0.075,4963345158565,"{'RotTorq_[kN-m]': 252.50427344017177, 'RootMxc1_[kN-m]': 5552.381911091, 'RootMyc1_[kN-m]': 3257.8526441079243, 'RootMzc1_[kN-m]': 82.4482035649855, 'TwrBsMxt_[kN-m]': 2723.1959068195997, 'TwrBsMyt_[kN-m]': 7101.507555886586, 'TwrBsMzt_[kN-m]': 1044.522386738065, 'YawBrMxn_[kN-m]': 268.4600493121215, 'YawBrMyn_[kN-m]': 1034.1486996292765, 'YawBrMzn_[kN-m]': 1044.2702021421076}",-3.1985590182433423,-0.1339154982661437,2.099980574928325,0.657463528851101,-2.5132685732315934,-0.703667993912817,1.4652834795943148,-1.939446076462099,3.0424849126619264,1.4033515392208156
9,1.501135320663355,1,882.599779,1.501135320663355,1.501135320663355,0.0225364819195632,"[1946.8858426744519, 1969.7572037906668, 1334.6495720911769, 1091.0817100146296, 1730.8944243573296, 1716.8147261923975, 2167.3514519798646, 1804.0355301820582]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1842.29091675 1846.23154496 1778.79845865 1917.80938232 1034.18344867
 1094.77936923 1966.84488777 2077.00931688]","[1841.7667603  1937.39777518 1804.81241249 2007.50669336  998.01384881
 1221.28925209 1865.12354088 2082.45952563]","[92.50680208 92.00462818 71.40982151 64.78796482 62.44738817 59.47693586
 59.27824497 56.54921055]","[92.50680208 92.00462818 71.40982151 64.78796482 62.44738817 59.47693586
 59.27824497 56.54921055]",[90.   90.   70.   71.25 58.75 58.75 57.5  58.75],"[-2.50680208 -2.00462818 18.59017849 25.21203518 27.55261183 30.52306414
 30.72175503 33.45078945]","[-2.50680208 -2.00462818 18.59017849 25.21203518 27.55261183 30.52306414
 30.72175503 33.45078945]",[ 0.    0.   20.   18.75 31.25 31.25 32.5  31.25],90.0,10.0,0.05,2151606081132,"{'RotTorq_[kN-m]': 198.80663302114615, 'RootMxc1_[kN-m]': 5499.183215596478, 'RootMyc1_[kN-m]': 2915.093500405782, 'RootMzc1_[kN-m]': 76.92899983205164, 'TwrBsMxt_[kN-m]': 2628.8571890783605, 'TwrBsMyt_[kN-m]': 5948.606690840147, 'TwrBsMzt_[kN-m]': 832.6740683043879, 'YawBrMxn_[kN-m]': 223.32015176258355, 'YawBrMyn_[kN-m]': 845.1058465834712, 'YawBrMzn_[kN-m]': 832.6345371608994}",-8.363306891019729,-0.14522340687416294,0.6392094615377151,0.5723420952557772,0.6573822238060373,-3.028481313285385,-0.4944900509520676,-0.8972346075902511,-1.125560108143343,-0.5107668069744739
