#{"t_start": 1764690959.51107, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt,power_floris_opt_stochastic,power_floris_opt_stochastic_1seed,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int,simseed,DEL
-6.473573511576879,1,456.347164,-6.473573511576879,-6.473573511576879,-0.8312501952199932,"[2780.9044244349416, 1018.0713591832963, 2744.974949709165]",[2926.96787907 1355.7944837  2714.13784932],[2926.96787907 1355.7944837  2714.13784932],[2695.71944249 1219.96819907 2683.11565706],[103.25000294  57.24969603  79.53700864],[95.25827026 72.51226044 75.94858027],[96.  76.  73.5],[-7.25000294 38.75030397 16.46299136],[ 0.74172974 23.48773956 20.05141973],[ 0.  20.  22.5],96.0,10.0,0.05,1553235830706,"{'RotTorq_[kN-m]': 143.01584440977146, 'RootMxc1_[kN-m]': 5814.733782840871, 'RootMyc1_[kN-m]': 2132.7723574606134, 'RootMzc1_[kN-m]': 78.867044627706, 'TwrBsMxt_[kN-m]': 2198.0351584169953, 'TwrBsMyt_[kN-m]': 5198.388372322511, 'TwrBsMzt_[kN-m]': 871.590139492817, 'YawBrMxn_[kN-m]': 173.78102335284976, 'YawBrMyn_[kN-m]': 784.1706449931836, 'YawBrMzn_[kN-m]': 871.6472847481567}"
-8.030321608233368,1,456.347859,-8.030321608233368,-8.030321608233368,-1.4873186094087278,"[2460.0795617600365, 896.8930700072352, 2581.556098491419]",[2849.13448276  996.41612474 2611.50005757],[2849.13448276  996.41612474 2611.50005757],[2781.87031023  846.61594519 2399.70082307],[108.84813602  57.036927    73.98100507],[100.85640335  72.29949141  70.39257669],[94.   70.25 69.  ],[-14.84813602  36.963073    20.01899493],[-6.85640335 21.70050859 23.60742331],[ 0.   23.75 25.  ],94.0,10.0,0.075,2106860310430,"{'RotTorq_[kN-m]': 332.09016684389036, 'RootMxc1_[kN-m]': 5811.065364475783, 'RootMyc1_[kN-m]': 3266.4551510266883, 'RootMzc1_[kN-m]': 81.0455258523496, 'TwrBsMxt_[kN-m]': 4107.554705913298, 'TwrBsMyt_[kN-m]': 7749.6451181056045, 'TwrBsMzt_[kN-m]': 1115.9399024809056, 'YawBrMxn_[kN-m]': 373.1952743546919, 'YawBrMyn_[kN-m]': 1011.2903076691846, 'YawBrMzn_[kN-m]': 1115.855730235081}"
-2.3307272785468056,1,456.348187,-2.3307272785468056,-2.3307272785468056,-0.049720324868002416,"[2195.776046872978, 529.6375577337286, 2541.159132835078]",[2500.07135636  554.93497178 2337.24508389],[2500.07135636  554.93497178 2337.24508389],[2492.88408912  504.72552573 2271.58298226],[97.37617405 50.         62.20056522],[89.38444138 57.358284   58.61213684],[90.  57.5 60. ],[-7.37617405 40.         27.79943478],[ 0.61555862 32.641716   31.38786316],[ 0.  32.5 30. ],90.0,10.0,0.025,9257307968128,"{'RotTorq_[kN-m]': 83.21574314735295, 'RootMxc1_[kN-m]': 5656.8627703623, 'RootMyc1_[kN-m]': 1750.4558087588114, 'RootMzc1_[kN-m]': 67.52778290840375, 'TwrBsMxt_[kN-m]': 3304.7828158121224, 'TwrBsMyt_[kN-m]': 4757.623834592087, 'TwrBsMzt_[kN-m]': 661.5068386854251, 'YawBrMxn_[kN-m]': 141.2080951586544, 'YawBrMyn_[kN-m]': 703.8657329379961, 'YawBrMzn_[kN-m]': 661.5632918657833}"
-3.922202341113175,1,456.348499,-3.922202341113175,-3.922202341113175,0.3389198814812048,"[2287.436003915737, 547.3824520441311, 2338.390866836497]",[2457.94352798  584.14873332 2342.3039768 ],[2457.94352798  584.14873332 2342.3039768 ],[2299.7649772   536.87897722 2319.09155569],[95.56367309 50.         63.00792205],[87.57194042 61.42888308 59.41949368],[90.   61.25 60.  ],[-5.56367309 40.         26.99207795],[ 2.42805958 28.57111692 30.58050632],[ 0.   28.75 30.  ],90.0,10.0,0.05,6087486032356,"{'RotTorq_[kN-m]': 149.30471142883425, 'RootMxc1_[kN-m]': 5675.972249747279, 'RootMyc1_[kN-m]': 2114.732522995499, 'RootMzc1_[kN-m]': 69.57059847588933, 'TwrBsMxt_[kN-m]': 3732.810382750435, 'TwrBsMyt_[kN-m]': 5842.769981133312, 'TwrBsMzt_[kN-m]': 786.0442812407954, 'YawBrMxn_[kN-m]': 186.69840902383396, 'YawBrMyn_[kN-m]': 779.3597684116195, 'YawBrMzn_[kN-m]': 786.0470056028371}"
2.5049761064858043,1,456.348797,2.5049761064858043,2.5049761064858043,-2.5219360330304865,"[2720.5116425536703, 1372.9893832310374, 3123.430327575743]",[2923.05837422 1343.01019254 2774.49826959],[2923.05837422 1343.01019254 2774.49826959],[3007.00987363 1582.6418745  2813.9948362 ],[97.98511036 56.         76.03983486],[89.99337769 70.74564075 72.45140648],[96.   76.   74.75],[-1.98511036 40.         19.96016514],[ 6.00662231 25.25435925 23.54859352],[ 0.   20.   21.25],96.0,10.0,0.075,126483430418,"{'RotTorq_[kN-m]': 241.8164470159439, 'RootMxc1_[kN-m]': 5925.659279624833, 'RootMyc1_[kN-m]': 2708.3133978612623, 'RootMzc1_[kN-m]': 82.2123147034928, 'TwrBsMxt_[kN-m]': 2655.1965186434286, 'TwrBsMyt_[kN-m]': 6054.586595485768, 'TwrBsMzt_[kN-m]': 1054.2192700916667, 'YawBrMxn_[kN-m]': 268.98313389263654, 'YawBrMyn_[kN-m]': 1025.0627818618773, 'YawBrMzn_[kN-m]': 1054.221679626739}"
0.06131835470370778,1,456.349111,0.06131835470370778,0.06131835470370778,0.21315076276250186,"[2382.658086393594, 594.086873618933, 2433.342732009094]",[2390.87280633  601.34591712 2414.55362473],[2390.87280633  601.34591712 2414.55362473],[2446.09723143  609.09624229 2343.38710263],[96.86584862 50.         65.58160293],[88.87411594 63.09761286 61.99317455],[90.   62.5  61.25],[-6.86584862 40.         24.41839707],[ 1.12588406 26.90238714 28.00682545],[ 0.   27.5  28.75],90.0,10.0,0.075,9538269499324,"{'RotTorq_[kN-m]': 185.53762991014946, 'RootMxc1_[kN-m]': 5690.628510376661, 'RootMyc1_[kN-m]': 2435.003515135011, 'RootMzc1_[kN-m]': 72.491287626499, 'TwrBsMxt_[kN-m]': 4680.386906342056, 'TwrBsMyt_[kN-m]': 7193.40911683545, 'TwrBsMzt_[kN-m]': 958.7695169203616, 'YawBrMxn_[kN-m]': 227.91523507571262, 'YawBrMyn_[kN-m]': 1010.6535110614323, 'YawBrMzn_[kN-m]': 957.938917467241}"
14.701191821710902,1,456.349407,14.701191821710902,14.701191821710902,-0.2491666563433282,"[2563.8852761636954, 772.3732256973739, 2865.3738205825275]",[2390.87280633  601.34591712 2414.55362473],[2390.87280633  601.34591712 2414.55362473],[2822.41337829  740.07154859 2654.63839386],[97.30247887 50.         63.29165924],[89.31074619 62.83722878 59.70323086],[90.   62.5  61.25],[-7.30247887 40.         26.70834076],[ 0.68925381 27.16277122 30.29676914],[ 0.   27.5  28.75],90.0,10.0,0.075,2603535129468,"{'RotTorq_[kN-m]': 260.2675463634441, 'RootMxc1_[kN-m]': 5730.320966500399, 'RootMyc1_[kN-m]': 3028.6144890617293, 'RootMzc1_[kN-m]': 81.4691042524568, 'TwrBsMxt_[kN-m]': 4134.880801484143, 'TwrBsMyt_[kN-m]': 8146.344555890155, 'TwrBsMzt_[kN-m]': 1211.0456547652282, 'YawBrMxn_[kN-m]': 283.7945772253027, 'YawBrMyn_[kN-m]': 1170.8845508380607, 'YawBrMzn_[kN-m]': 1210.98275523771}"
2.1049061090641055,1,456.34971,2.1049061090641055,2.1049061090641055,1.1036916176858842,"[2568.21408869613, 767.3271166062098, 2696.571594917055]",[2688.91168661  742.15238242 2476.69593006],[2688.91168661  742.15238242 2476.69593006],[2627.24884554  756.88077403 2582.13402887],[95.05328758 52.         67.83539474],[87.06155491 63.99530125 64.24696636],[92.  64.5 64.5],[-3.05328758 40.         24.16460526],[ 4.93844509 28.00469875 27.75303364],[ 0.  27.5 27.5],92.0,10.0,0.05,9873986505035,"{'RotTorq_[kN-m]': 190.05816111988983, 'RootMxc1_[kN-m]': 5661.286314719823, 'RootMyc1_[kN-m]': 2480.604443047285, 'RootMzc1_[kN-m]': 75.73324100493308, 'TwrBsMxt_[kN-m]': 3505.4053925304597, 'TwrBsMyt_[kN-m]': 7065.5674835661075, 'TwrBsMzt_[kN-m]': 880.4503370842991, 'YawBrMxn_[kN-m]': 218.46527291159876, 'YawBrMyn_[kN-m]': 842.8813338387196, 'YawBrMzn_[kN-m]': 880.2262070521101}"
-1.0549369975298692,1,456.350001,-1.0549369975298692,-1.0549369975298692,0.5862837536737235,"[2529.5094592109253, 652.7067261879341, 2682.466435116679]",[2730.05649098  726.02669073 2471.12778016],[2730.05649098  726.02669073 2471.12778016],[2674.39890417  677.04995527 2479.05049062],[98.72307403 52.         69.07544792],[90.73134136 60.86146545 65.48701954],[92.  62.  64.5],[-6.72307403 40.         22.92455208],[ 1.26865864 31.13853455 26.51298046],[ 0.  30.  27.5],92.0,10.0,0.025,7321960744886,"{'RotTorq_[kN-m]': 85.978574723242, 'RootMxc1_[kN-m]': 5682.857677226057, 'RootMyc1_[kN-m]': 1763.6510377498091, 'RootMzc1_[kN-m]': 71.26748143817471, 'TwrBsMxt_[kN-m]': 3374.9964225487547, 'TwrBsMyt_[kN-m]': 4534.370802884976, 'TwrBsMzt_[kN-m]': 687.1586711261222, 'YawBrMxn_[kN-m]': 121.97055381861257, 'YawBrMyn_[kN-m]': 690.3547240544439, 'YawBrMzn_[kN-m]': 687.3043132403691}"
-0.20040066346288643,1,456.350303,-0.20040066346288643,-0.20040066346288643,0.39135067725609657,"[2808.8158042905798, 1205.4330667523218, 3012.2086226542588]",[2923.05837422 1343.01019254 2774.49826959],[2923.05837422 1343.01019254 2774.49826959],[2918.75228177 1392.57631549 2687.7380019 ],[97.5391341  58.4438727  81.31962383],[89.54740143 73.70643711 77.73119545],[96.   76.   74.75],[-1.5391341  37.5561273  14.68037617],[ 6.45259857 22.29356289 18.26880455],[ 0.   20.   21.25],96.0,10.0,0.075,3871138702834,"{'RotTorq_[kN-m]': 216.44817831604374, 'RootMxc1_[kN-m]': 5833.956392366851, 'RootMyc1_[kN-m]': 2554.4796841196912, 'RootMzc1_[kN-m]': 82.46230305306561, 'TwrBsMxt_[kN-m]': 2970.0367106364024, 'TwrBsMyt_[kN-m]': 6007.305135536881, 'TwrBsMzt_[kN-m]': 1083.5272850224228, 'YawBrMxn_[kN-m]': 222.05223002101638, 'YawBrMyn_[kN-m]': 1023.9484430064562, 'YawBrMzn_[kN-m]': 1083.476207428687}"
