simseed,sum_turbine_powers,floris_opt,rew,rewbaseline,wdir,ws,TI,FFSeed
9744719684,6461.071246706182,6675.393914287828,-3.2106370100933757,3.386455258820386, 94.0,10.0,0.025,0
7702010071,5847.743598895437,6082.511517684261,-3.8597200861233283,-5.15704112606096, 92.0,10.0,0.05,8
2362895299,5809.799959513928,5634.8352801952,3.1050540187692484,-6.319966841777558, 90.0,10.0,0.075,6
2367314232,5538.138826909155,5467.168837650526,1.2981122655273152,-2.7855567571296644, 90.0,10.0,0.025,6
2536992171,6943.615372149503,6675.393914287828,4.018061874784365,1.4161095187251358, 94.0,10.0,0.025,9
3006555635,6730.244811017872,6708.632226432118,0.3221608199149775,-6.097113313887625, 94.0,10.0,0.05,5
1651663197,6808.20091978686,6675.393914287828,1.9895006527596175,-1.8289846213454766, 94.0,10.0,0.025,6
2239606729,5772.809932460002,6082.511517684261,-5.091672811861262,9.321730214163935, 92.0,10.0,0.05,2
380918096,5696.766388720621,5467.168837650526,4.199569427761854,3.304528004201357, 90.0,10.0,0.025,1
7454750601,6475.723956614008,6675.393914287828,-2.9911337104234716,3.386455258820386, 94.0,10.0,0.025,0
5470224490,5712.491932622713,6162.727860477773,-7.305789547230715,13.470662588316213, 92.0,10.0,0.075,2
6471207764,5290.881366680645,5505.842001501657,-3.904228177313909,-6.605487704194882, 90.0,10.0,0.05,8
7532811740,7102.841493384436,7265.4629093692565,-2.2382801758592734,2.1573210073447884, 96.0,10.0,0.025,0
5568403926,7662.210837325987,7259.535593727533,5.546845778211743,-0.320456820226324, 96.0,10.0,0.05,3
2465582530,6767.108868200647,6162.727860477773,9.807037101197233,5.246911247768544, 92.0,10.0,0.075,9
1432532082,5858.271250040448,6162.727860477773,-4.940289711474001,-8.160371465421763, 92.0,10.0,0.075,8
560014474,6240.072864232229,6708.632226432118,-6.984424639552565,5.690223407706308, 94.0,10.0,0.05,0
3051217736,6381.283584988717,6082.511517684261,4.91198522905888,-14.122483547336753, 92.0,10.0,0.05,7
8758519667,6486.787552784981,6744.809698019875,-3.8254918490975913,3.3255542481081397, 94.0,10.0,0.075,4
3551736468,5941.92189805489,6066.973800805253,-2.0611907493941146,-2.83397543094306, 92.0,10.0,0.025,8
9156271719,6417.710536007066,6675.393914287828,-3.860197339504164,4.759306345784315, 94.0,10.0,0.025,2
9758772832,6960.885823284916,6675.393914287828,4.276779957300035,1.4161095187251358, 94.0,10.0,0.025,9
850573978,7068.853264287956,6708.632226432118,5.369515360173744,-12.096400075975694, 94.0,10.0,0.05,7
7872130444,5537.861550577395,6082.511517684261,-8.954359815404436,5.5910710745713565, 92.0,10.0,0.05,0
4921348437,6485.198284502578,6162.727860477773,5.23259230855936,-5.660049914538537, 92.0,10.0,0.075,6
9759326819,7060.248354008839,7259.535593727533,-2.745178904982356,-6.265968259035211, 96.0,10.0,0.05,8
8983276914,6080.6138625029425,6744.809698019875,-9.847510385829354,14.098661241141542, 94.0,10.0,0.075,2
6910153222,5828.788132293583,6162.727860477773,-5.418699896287505,-8.160371465421763, 92.0,10.0,0.075,8
8364320925,7642.496454007691,7265.4629093692565,5.1893946654414345,3.927815959741777, 96.0,10.0,0.025,1
7015230573,7082.234997285736,7265.4629093692565,-2.521902793657326,4.241415549478021, 96.0,10.0,0.025,2
2986600579,5971.362412911458,5505.842001501657,8.455026702234372,7.0527623134028365, 90.0,10.0,0.05,1
9579960356,6090.9472666784895,6744.809698019875,-9.694305111875062,14.098661241141542, 94.0,10.0,0.075,2
9226480785,6919.330416574666,6675.393914287828,3.6542637845644275,1.4161095187251358, 94.0,10.0,0.025,9
7268520353,6462.085171478366,6675.393914287828,-3.1954480222193653,4.759306345784315, 94.0,10.0,0.025,2
1104246932,6100.837632573894,6162.727860477773,-1.0042667679809123,-8.533138726352508, 92.0,10.0,0.075,5
4400307286,7602.226221864833,7259.535593727533,4.720558549687335,1.9098025737424413, 96.0,10.0,0.05,9
5244206823,7342.7377708221065,7259.535593727533,1.146108811236675,-4.905065408296441, 96.0,10.0,0.05,5
9006158714,7192.91189172395,6708.632226432118,7.218754120754492,2.7467703373010655, 94.0,10.0,0.05,9
9029351359,7550.831708194242,7280.253599960612,3.7166027875058445,-4.842561412393738, 96.0,10.0,0.075,6
7689356440,5846.968119368879,5505.842001501657,6.195712077720061,-13.923897524805632, 90.0,10.0,0.05,7
3831486897,7874.968196447004,7280.253599960612,8.168871981184965,2.406009280450171, 96.0,10.0,0.075,9
5589471853,6597.712871620293,7280.253599960612,-9.375232867492569,5.34292517516278, 96.0,10.0,0.075,0
3404843766,7550.7509240491,7265.4629093692565,3.926632318388786,0.7215077836224015, 96.0,10.0,0.025,9
7790104950,6897.004195383075,6708.632226432118,2.8079042432639034,-3.432593539922287, 94.0,10.0,0.05,6
2907882483,5799.1170809083615,6082.511517684261,-4.659168107646982,9.321730214163935, 92.0,10.0,0.05,2
138017634,6469.0561653699615,6162.727860477773,4.970660912299964,-5.660049914538537, 92.0,10.0,0.075,6
8884603578,5594.701606726547,6082.511517684261,-8.019876485880188,5.5910710745713565, 92.0,10.0,0.05,0
2486859682,6722.352134665181,6162.727860477773,9.080788359588912,5.246911247768544, 92.0,10.0,0.075,9
7930331121,6563.112896941904,6675.393914287828,-1.682013358127086,-2.8645843405768296, 94.0,10.0,0.025,8
8931028718,5783.0036253010485,6066.973800805253,-4.680590106825806,3.1379789731005254, 92.0,10.0,0.025,0
631635805,7434.218160956081,7265.4629093692565,2.322704742862351,0.11791309545874998, 96.0,10.0,0.025,3
302522209,5875.794619206391,5634.8352801952,4.276244593308575,-6.319966841777558, 90.0,10.0,0.075,6
5641712210,7446.279992849828,7259.535593727533,2.572401453388401,-10.899743174498775, 96.0,10.0,0.05,7
6944876529,6904.35978954743,6675.393914287828,3.4299979626600043,1.4161095187251358, 94.0,10.0,0.025,9
527789757,6039.84075255909,6066.973800805253,-0.4472254065537801,-3.213100752833159, 92.0,10.0,0.025,5
8305694379,7017.643035151148,6708.632226432118,4.6061670738414096,-12.096400075975694, 94.0,10.0,0.05,7
2168290555,6086.749823271393,6162.727860477773,-1.2328637403191998,-8.533138726352508, 92.0,10.0,0.075,5
1590559122,5452.552363372915,5634.8352801952,-3.234928933290304,6.916997147063963, 90.0,10.0,0.075,4
1222278918,6325.8874374037405,6082.511517684261,4.001240589711826,-2.8644372635751156, 92.0,10.0,0.05,6
