#{"t_start": 1755768998.3144464, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-14.819555,1,546.381214,-14.81955558887342,"[2055.6006973098056, 1032.4573742682244, 1601.842613875549]",5505.842001501657,5505.842001501657,[100.82386402  65.25797606  62.18635788],[93.19314957 60.35498619 58.85202408],[90.   61.25 60.  ],[-10.82386402  24.74202394  27.81364212],[-3.19314957 29.64501381 31.14797592],[ 0.   28.75 30.  ],90.0,10.0,0.05
3.7486768,1,546.387864,3.748676752551109,"[2905.1189294212027, 2269.3284568311287, 2363.374242165673]",7265.4629093692565,7265.4629093692565,[107.51478675  83.40480185  78.85663833],[99.8840723  78.50181198 75.52230453],[96.   74.75 73.5 ],[-11.51478675  12.59519815  17.14336167],[-3.8840723  17.49818802 20.47769547],[ 0.   21.25 22.5 ],96.0,10.0,0.025
3.6952298,1,546.388126,3.6952298123783853,"[2765.894392846244, 2413.0259946742553, 2348.8717297066737]",7259.535593727533,7259.535593727533,[103.07862762  82.98779345  76.41792621],[95.44791317 78.08480358 73.08359241],[96.  76.  73.5],[-7.07862762 13.01220655 19.58207379],[ 0.55208683 17.91519642 22.91640759],[ 0.  20.  22.5],96.0,10.0,0.05
-12.493425,1,546.388336,-12.493425135267772,"[2260.2419081479784, 1582.3171591582734, 2027.9352143161225]",6708.632226432118,6708.632226432118,[102.50605634  73.08493757  70.34339084],[94.87534189 68.18194771 67.00905704],[94. 69. 69.],[-8.50605634 20.91506243 23.65660916],[-0.87534189 25.81805229 26.99094296],[ 0. 25. 25.],94.0,10.0,0.05
0.9869571,1,546.388542,0.9869570736549005,"[2565.836344400125, 1766.7288543841184, 2408.7119879349766]",6675.393914287828,6675.393914287828,[102.40830472  72.47916842  72.24849357],[94.77759027 67.57617855 68.91415977],[94. 69. 69.],[-8.40830472 21.52083158 21.75150643],[-0.77759027 26.42382145 25.08584023],[ 0. 25. 25.],94.0,10.0,0.025
11.11609,1,546.388744,11.116090202913353,"[3072.776102875527, 2101.5762225674307, 2915.1808316901215]",7280.253599960612,7280.253599960612,[99.08705715 79.81342173 83.41440286],[91.4563427  74.91043186 80.08006907],[96.   76.   74.75],[-3.08705715 16.18657827 12.58559714],[ 4.5436573  21.08956814 15.91993093],[ 0.   20.   21.25],96.0,10.0,0.075
9.0653925,1,546.388952,9.065392965783484,"[2694.1895963941665, 1227.8350660664346, 2082.9435525523404]",5505.842001501657,5505.842001501657,[99.8836675  65.71406603 66.02488746],[92.25295305 60.81107616 62.69055367],[90.   61.25 60.  ],[-9.8836675  24.28593397 23.97511254],[-2.25295305 29.18892384 27.30944633],[ 0.   28.75 30.  ],90.0,10.0,0.05
9.320557,1,546.389152,9.32055708807384,"[2927.839798819931, 1861.818223399211, 2583.805514186616]",6744.809698019875,6744.809698019875,[101.01289562  74.59485197  77.40168466],[93.38218117 69.69186211 74.06735086],[94.   70.25 69.  ],[-7.01289562 19.40514803 16.59831534],[ 0.61781883 24.30813789 19.93264914],[ 0.   23.75 25.  ],94.0,10.0,0.075
5.638354,1,546.389356,5.638353609422087,"[2790.573502365914, 1936.5827432759138, 2359.732388072179]",6708.632226432118,6708.632226432118,[101.21569923  74.06844997  74.97358217],[93.58498478 69.16546011 71.63924837],[94. 69. 69.],[-7.21569923 19.93155003 19.02641783],[ 0.41501522 24.83453989 22.36075163],[ 0. 25. 25.],94.0,10.0,0.05
-18.865181,1,546.389555,-18.865180629783882,"[2026.0513465667057, 1260.6021434758934, 1713.464627834027]",6162.727860477773,6162.727860477773,[101.09683135  70.05494547  65.32950344],[93.46611691 65.1519556  61.99516964],[92.   65.75 64.5 ],[-9.09683135 21.94505453 26.67049656],[-1.46611691 26.8480444  30.00483036],[ 0.   26.25 27.5 ],92.0,10.0,0.075
