#{"t_start": 1757064886.3788307, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
2.7175617,1,446.772638,2.717561614695851,"[2504.8984856230613, 1052.6927244031808, 2510.7158070870873]",5907.7599990897115,5907.7599990897115,[92.13648899 61.97219922 71.41254842],[84.14475632 77.23476362 67.82412004],[92.  64.5 64.5],[-0.13648899 30.02780078 20.58745158],[ 7.85524368 14.76523638 24.17587996],[ 0.  27.5 27.5],92.0,10.0,0.05
5.479968,1,446.779292,5.479967898992246,"[2672.840290637128, 1533.9334404888616, 2549.7803090536395]",6405.5328938379225,6405.5328938379225,[92.9280978  67.54194762 72.9911722 ],[84.93636513 82.80451202 69.40274382],[94. 69. 69.],[ 1.0719022  26.45805238 21.0088278 ],[ 9.06363487 11.19548798 24.59725618],[ 0. 25. 25.],94.0,10.0,0.025
-0.7663053,1,446.779561,-0.7663053429076095,"[2526.364529600222, 960.3808124651748, 1878.59462072683]",5406.772348175144,5406.772348175144,[91.44676121 63.95477892 69.60122574],[83.45502853 79.21734333 66.01279736],[90.   62.5  61.25],[-1.44676121 26.04522108 20.39877426],[ 6.54497147 10.78265667 23.98720264],[ 0.   27.5  28.75],90.0,10.0,0.075
9.077507,1,446.779778,9.077507358221757,"[2630.798389633703, 1371.7295760158004, 2448.359223403843]",5914.039791785825,5914.039791785825,[90.79805477 64.74313571 70.03916919],[82.8063221  80.00570011 66.45074081],[92.   65.75 64.5 ],[ 1.20194523 27.25686429 21.96083081],[ 9.1936779  11.99429989 25.54925919],[ 0.   26.25 27.5 ],92.0,10.0,0.075
5.948484,1,446.779987,5.948484118643564,"[2773.9741296961147, 1920.8012523281204, 2651.962209867884]",6934.254560608033,6934.254560608033,[96.4212323  73.1968043  77.14392746],[88.42949963 88.45936871 73.55549908],[96.   74.75 73.5 ],[-0.4212323  22.8031957  18.85607254],[ 7.57050037  7.54063129 22.44450092],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-0.81816566,1,446.780189,-0.818165646786541,"[2653.99661155265, 1832.282721603798, 2453.374645056949]",6996.900212088641,6996.900212088641,[94.02590282 75.71890809 76.40934074],[86.03417015 90.98147249 72.82091236],[96.  76.  73.5],[ 1.97409718 20.28109191 19.59065926],[ 9.96582985  5.01852751 23.17908764],[ 0.  20.  22.5],96.0,10.0,0.05
-4.316956,1,446.780396,-4.3169561500258204,"[2420.704180794985, 799.6722625299129, 1952.9879134478033]",5406.772348175144,5406.772348175144,[90.74252041 62.49188067 69.06379926],[82.75078773 77.75444508 65.47537088],[90.   62.5  61.25],[-0.74252041 27.50811933 20.93620074],[ 7.24921227 12.24555492 24.52462912],[ 0.   27.5  28.75],90.0,10.0,0.075
-0.92667717,1,446.780596,-0.9266771812279336,"[2410.1861530487777, 771.6256276246587, 2152.6884861431886]",5384.396238102012,5384.396238102012,[90.09049328 57.65443207 66.50772798],[82.0987606  72.91699648 62.9192996 ],[90.   61.25 60.  ],[-0.09049328 32.34556793 23.49227202],[ 7.9012394  17.08300352 27.0807004 ],[ 0.   28.75 30.  ],90.0,10.0,0.05
2.126483,1,446.780797,2.1264828578413097,"[2258.756742486391, 1217.1673125478876, 2557.463447718482]",5907.7599990897115,5907.7599990897115,[90.10080917 62.24049641 66.3604182 ],[82.1090765  77.50306082 62.77198982],[92.  64.5 64.5],[ 1.89919083 29.75950359 25.6395818 ],[ 9.8909235  14.49693918 29.22801018],[ 0.  27.5 27.5],92.0,10.0,0.05
8.830953,1,446.780994,8.830952831620086,"[2799.051537154778, 1625.642222160381, 2558.1040240128445]",6416.187308523867,6416.187308523867,[92.903102   68.43938853 76.52308595],[84.91136932 83.70195293 72.93465757],[94. 69. 69.],[ 1.096898   25.56061147 17.47691405],[ 9.08863068 10.29804707 21.06534243],[ 0. 25. 25.],94.0,10.0,0.05
